date,NERC1,NERC2,NERC3,NERC4,NERC5,NERC6,NERC7,NERC8,NERC9,NERC10,NERC11,NERC12,NERC15,NERC17,NERC18,NERC20
1980-01-01,-1.0,-1.0,-1.0,11643.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-02,-1.0,-1.0,-1.0,11643.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-03,3674.65,-1.0,-1.0,11643.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-04,3674.65,-1.0,2632.49,11643.95,-1.0,-1.0,-1.0,-1.0,4516.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-05,3674.65,-1.0,2632.49,11643.95,-1.0,-1.0,-1.0,-1.0,4516.16,5082.46,3324.0,5564.73,-1.0,-1.0,-1.0,-1.0
1980-01-06,-1.0,-1.0,-1.0,11643.95,4238.99,14582.62,-1.0,-1.0,4516.16,5082.46,3324.0,5564.73,4163.63,9899.29,-1.0,-1.0
1980-01-07,-1.0,-1.0,-1.0,11643.95,4238.99,14582.62,7744.88,3042.4,-1.0,5082.46,-1.0,5564.73,4163.63,9899.29,19435.83,7371.69
1980-01-08,-1.0,-1.0,-1.0,11643.95,-1.0,14582.62,7744.88,3042.4,-1.0,-1.0,-1.0,-1.0,-1.0,9899.29,19435.83,7371.69
1980-01-09,-1.0,-1.0,-1.0,-1.0,-1.0,14582.62,7744.88,-1.0,-1.0,-1.0,-1.0,-1.0,5015.7,9899.29,19435.83,7371.69
1980-01-10,-1.0,-1.0,-1.0,-1.0,-1.0,14582.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5015.7,9899.29,19435.83,7371.69
1980-01-11,-1.0,-1.0,-1.0,-1.0,-1.0,14582.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19435.83,-1.0
1980-01-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2745.88,19435.83,-1.0
1980-01-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2745.88,-1.0,-1.0
1980-01-18,-1.0,6267.92,-1.0,-1.0,-1.0,14535.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-19,13061.73,6267.92,-1.0,-1.0,-1.0,14535.74,11959.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-20,13061.73,6267.92,-1.0,-1.0,-1.0,14535.74,11959.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-21,13061.73,6267.92,-1.0,-1.0,-1.0,14535.74,11959.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-22,13061.73,-1.0,-1.0,-1.0,-1.0,14535.74,11959.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-01-23,13061.73,-1.0,2648.21,-1.0,-1.0,14535.74,11959.25,-1.0,2892.12,-1.0,3974.56,-1.0,-1.0,4142.98,56108.52,2840.37
1980-01-24,13061.73,-1.0,2648.21,2200.3,10257.39,-1.0,-1.0,-1.0,2892.12,-1.0,3974.56,-1.0,5329.24,4142.98,56108.52,2840.37
1980-01-25,13061.73,-1.0,-1.0,2200.3,10257.39,25667.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5329.24,-1.0,56108.52,-1.0
1980-01-26,13061.73,-1.0,-1.0,-1.0,10257.39,25667.6,17132.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63948.43,56108.52,-1.0
1980-01-27,13061.73,-1.0,-1.0,-1.0,10257.39,25667.6,17132.64,23391.05,-1.0,-1.0,-1.0,-1.0,37854.6,63948.43,56108.52,68829.15
1980-01-28,-1.0,-1.0,-1.0,-1.0,-1.0,25667.6,17132.64,23391.05,-1.0,-1.0,-1.0,-1.0,37854.6,63948.43,56108.52,68829.15
1980-01-29,-1.0,2424.01,-1.0,-1.0,30961.15,25667.6,17132.64,23391.05,-1.0,-1.0,36816.85,-1.0,37854.6,63948.43,56108.52,68829.15
1980-01-30,-1.0,2424.01,-1.0,-1.0,30961.15,25667.6,17132.64,23391.05,-1.0,-1.0,36816.85,46464.08,37854.6,63948.43,56108.52,68829.15
1980-01-31,-1.0,-1.0,6056.38,-1.0,30961.15,25667.6,17132.64,23391.05,11269.33,21884.91,36816.85,46464.08,37854.6,63948.43,56108.52,68829.15
1980-02-01,-1.0,-1.0,6056.38,12317.63,30961.15,25667.6,-1.0,23391.05,11269.33,21884.91,36816.85,46464.08,37854.6,63948.43,56108.52,68829.15
