"perm_num","start_yr","type","NERC_ID","start_date","end_date","centroid_date","extr_temp","duration","spatial_coverage","impact","extreme_type"
1,1980,"heat_wave","NERC18",1980-05-29,1980-05-30,1980-05-29,299.531094454742,2,38.3966244725738,731.923709182718,"heat_dur_temp11"
2,1980,"heat_wave","NERC18",1980-06-13,1980-06-14,1980-06-14,301.741869384557,2,43.8818565400844,1030.51005569108,"heat_dur_temp11"
3,1980,"heat_wave","NERC18",1980-06-23,1980-06-27,1980-06-26,305.284514826033,5,86.9198312236287,6642.63724506919,"heat_dur_temp33"
4,1980,"heat_wave","NERC18",1980-07-07,1980-07-16,1980-07-11,308.081620091242,10,95.1476793248945,17204.2419011606,"heat_dur_temp44"
5,1980,"heat_wave","NERC18",1980-07-18,1980-07-20,1980-07-19,304.800948511933,3,57.1729957805907,2538.64370046445,"heat_dur_temp22"
6,1980,"heat_wave","NERC18",1980-07-30,1980-07-31,1980-07-30,305.927011457352,2,32.4894514767933,1034.91973182794,"heat_dur_temp13"
7,1980,"heat_wave","NERC18",1980-08-07,1980-08-10,1980-08-07,306.57771292394,4,72.1518987341772,4784.45385652952,"heat_dur_temp34"
8,1980,"heat_wave","NERC18",1980-08-19,1980-08-21,1980-08-19,307.354624843105,3,80.168776371308,4173.89711416449,"heat_dur_temp24"
9,1980,"heat_wave","NERC18",1980-08-24,1980-08-26,1980-08-25,306.289849845677,3,70.253164556962,3433.24050544964,"heat_dur_temp23"
10,1980,"heat_wave","NERC18",1980-08-29,1980-08-30,1980-08-29,304.126930195464,2,47.0464135021097,1329.24279898248,"heat_dur_temp12"
11,1980,"heat_wave","NERC18",1980-09-07,1980-09-08,1980-09-08,305.951230810619,2,54.2194092827004,1729.73262376754,"heat_dur_temp13"
12,1981,"heat_wave","NERC18",1981-06-13,1981-06-14,1981-06-13,303.845587958737,2,58.0168776371308,1606.55556483235,"heat_dur_temp12"
13,1981,"heat_wave","NERC18",1981-06-28,1981-06-29,1981-06-28,303.722441030227,2,53.5864978902954,1470.67511463192,"heat_dur_temp12"
14,1981,"heat_wave","NERC18",1981-07-06,1981-07-08,1981-07-08,307.341727105615,3,90.7172995780591,4719.58395912307,"heat_dur_temp24"
15,1981,"heat_wave","NERC18",1981-07-11,1981-07-15,1981-07-12,308.412511249988,5,96.2025316455696,8856.65098100687,"heat_dur_temp34"
16,1981,"heat_wave","NERC18",1981-07-17,1981-07-20,1981-07-17,304.556488188581,4,70.042194092827,4078.27348405814,"heat_dur_temp32"
17,1981,"heat_wave","NERC18",1981-07-31,1981-08-06,1981-07-31,304.561822754763,7,84.8101265822785,8644.93021770107,"heat_dur_temp42"
18,1982,"heat_wave","NERC18",1982-07-03,1982-07-06,1982-07-05,304.962726703987,4,82.4894514767933,4937.06847363623,"heat_dur_temp32"
19,1982,"heat_wave","NERC18",1982-07-09,1982-07-10,1982-07-09,300.549239563482,2,40.7172995780591,859.073095254019,"heat_dur_temp11"
20,1982,"heat_wave","NERC18",1982-07-14,1982-07-18,1982-07-16,304.939576127826,5,94.3037974683544,7044.29380710783,"heat_dur_temp32"
21,1982,"heat_wave","NERC18",1982-07-21,1982-07-22,1982-07-21,303.84738815957,2,58.2278481012658,1612.60722870942,"heat_dur_temp12"
22,1982,"heat_wave","NERC18",1982-07-24,1982-07-27,1982-07-25,303.720997503842,4,83.7552742616034,4596.82363630825,"heat_dur_temp32"
23,1982,"heat_wave","NERC18",1982-08-03,1982-08-07,1982-08-03,305.649571141623,5,85.6540084388186,6702.24249314235,"heat_dur_temp33"
24,1982,"heat_wave","NERC18",1982-09-10,1982-09-12,1982-09-11,303.438400928903,3,53.1645569620253,2143.33989498959,"heat_dur_temp21"
