start_date,end_date,centroid_date,highest_temperature,duration,NERC_ID,spatial_coverage
1980-06-21,1980-06-28,1980-06-26,305.591218076343,8,NERC18,29.957805907173
1980-07-01,1980-07-21,1980-07-11,308.831649747108,21,NERC18,52.9535864978903
1981-06-24,1981-07-26,1981-07-12,308.934455978822,33,NERC18,33.3333333333333
1981-07-30,1981-08-09,1981-07-31,305.696755073631,11,NERC18,32.0675105485232
1982-07-01,1982-08-08,1982-07-20,306.42536368022,39,NERC18,20.6751054852321
1982-08-14,1982-08-22,1982-08-19,304.398912179168,9,NERC18,55.2742616033755
1983-06-18,1983-06-27,1983-06-24,304.256294257283,10,NERC18,51.2658227848101
1983-06-29,1983-07-04,1983-07-02,304.128030207305,6,NERC18,39.662447257384
1983-07-07,1983-09-06,1983-09-02,308.456954683564,62,NERC18,12.4472573839662
1984-06-21,1984-06-23,1984-06-22,302.396651309709,3,NERC18,32.7004219409283
1984-07-20,1984-07-26,1984-07-22,305.904992208344,7,NERC18,45.5696202531646
1984-07-31,1984-08-19,1984-08-06,306.71169420116,20,NERC18,35.2320675105485
1984-08-25,1984-08-29,1984-08-28,310.07580158723,5,NERC18,36.9198312236287
1985-07-07,1985-07-11,1985-07-07,307.568460496398,5,NERC18,40.084388185654
1986-06-18,1986-06-23,1986-06-19,304.630339659476,6,NERC18,56.7510548523207
1986-06-25,1986-08-01,1986-07-13,305.752135938874,38,NERC18,25.1054852320675
1987-06-11,1987-06-25,1987-06-14,306.055815519005,15,NERC18,50
1987-07-02,1987-07-12,1987-07-10,305.709088512106,11,NERC18,31.4345991561181
1987-07-16,1987-08-04,1987-07-31,309.790775895369,20,NERC18,45.3586497890295
1987-08-12,1987-08-17,1987-08-15,306.74565556014,6,NERC18,44.0928270042194
1988-05-28,1988-06-02,1988-05-28,303.83291791281,6,NERC18,51.4767932489452
1988-06-17,1988-06-29,1988-06-21,311.418338828602,13,NERC18,46.2025316455696
1988-07-03,1988-07-19,1988-07-15,311.088440039867,17,NERC18,35.4430379746835
1988-07-22,1988-08-23,1988-08-16,313.043559097721,33,NERC18,13.2911392405063
1989-07-02,1989-08-05,1989-07-19,311.28199948412,35,NERC18,16.2447257383966
1990-06-11,1990-06-17,1990-06-12,303.351885088874,7,NERC18,43.8818565400844
1990-06-24,1990-07-11,1990-07-03,309.872286603721,18,NERC18,41.5611814345992
1990-07-17,1990-07-20,1990-07-17,304.430446561182,4,NERC18,50.8438818565401
1990-07-24,1990-07-30,1990-07-28,302.650834233543,7,NERC18,39.662447257384
1990-08-21,1990-09-07,1990-08-27,307.280290248684,18,NERC18,46.4135021097046
1991-05-27,1991-06-04,1991-05-28,301.699142926948,9,NERC18,45.5696202531646
1991-06-08,1991-06-15,1991-06-12,303.065559173721,8,NERC18,50.42194092827
1991-06-24,1991-07-23,1991-07-17,307.288717620763,30,NERC18,41.5611814345992
1991-08-21,1991-08-31,1991-08-25,308.935687288589,11,NERC18,37.1308016877637
1992-08-06,1992-08-10,1992-08-09,305.974521903791,5,NERC18,35.8649789029536
1993-08-08,1993-08-30,1993-08-10,303.955822435645,23,NERC18,40.9282700421941
1994-06-13,1994-07-02,1994-06-14,305.456393378135,20,NERC18,41.9831223628692
1994-07-03,1994-07-08,1994-07-05,304.530912989629,6,NERC18,20.6751054852321
1994-08-23,1994-08-27,1994-08-27,306.936811257579,5,NERC18,31.2236286919831
1994-09-10,1994-09-15,1994-09-14,303.887767411757,6,NERC18,39.662447257384
1995-06-14,1995-06-29,1995-06-17,304.562267978336,16,NERC18,54.0084388185654
1995-07-07,1995-07-31,1995-07-13,308.682256480979,25,NERC18,45.5696202531646
1995-08-02,1995-08-19,1995-08-08,306.411257727415,18,NERC18,47.2573839662447
1995-08-21,1995-08-31,1995-08-30,305.570641113265,11,NERC18,51.2658227848101
1996-06-25,1996-07-08,1996-06-28,305.433169275771,14,NERC18,32.4894514767933
1996-07-15,1996-07-22,1996-07-18,305.242575231719,8,NERC18,43.6708860759494
1996-08-02,1996-08-08,1996-08-06,305.939945035365,7,NERC18,47.8902953586498
1997-06-19,1997-07-02,1997-06-28,304.678919582401,14,NERC18,39.873417721519
1997-07-08,1997-08-09,1997-07-16,307.301531628411,33,NERC18,22.9957805907173
1998-06-16,1998-07-30,1998-07-20,307.818346138262,45,NERC18,9.49367088607595
1998-08-19,1998-08-29,1998-08-23,305.940209463477,11,NERC18,43.2489451476793
1999-06-03,1999-06-11,1999-06-08,303.373853808354,9,NERC18,21.0970464135021
1999-07-01,1999-07-09,1999-07-04,305.548349993438,9,NERC18,53.5864978902954
1999-07-12,1999-08-13,1999-07-29,309.225325436361,33,NERC18,16.0337552742616
1999-08-26,1999-08-29,1999-08-27,306.140071918211,4,NERC18,45.9915611814346
2000-06-08,2000-06-11,2000-06-08,306.819314791701,4,NERC18,42.6160337552743
2000-06-30,2000-07-17,2000-07-08,306.518740046275,18,NERC18,43.4599156118143
2000-07-25,2000-08-17,2000-08-14,309.814537601371,24,NERC18,37.3417721518987
2001-06-24,2001-06-30,2001-06-25,304.969308541016,7,NERC18,69.1983122362869
2001-07-03,2001-08-09,2001-08-07,308.710591935706,38,NERC18,39.0295358649789
2002-06-17,2002-07-22,2002-07-20,309.823690515611,36,NERC18,32.7004219409283
2002-07-24,2002-08-01,2002-07-31,309.703524106762,9,NERC18,63.7130801687764
2002-08-21,2002-08-27,2002-08-26,304.146425879828,7,NERC18,42.6160337552743
2002-09-07,2002-09-10,2002-09-07,308.487316181885,4,NERC18,21.5189873417722
2003-06-30,2003-07-11,2003-07-03,306.960063505497,12,NERC18,38.1856540084388
2003-07-25,2003-08-02,2003-07-26,308.944348488485,9,NERC18,46.4135021097046
2003-08-05,2003-08-29,2003-08-24,311.305237684428,25,NERC18,25.5274261603376
2004-07-09,2004-07-22,2004-07-19,305.983798154796,14,NERC18,59.0717299578059
2004-07-31,2004-08-04,2004-08-02,306.571292681757,5,NERC18,47.8902953586498
2005-06-17,2005-06-30,2005-06-23,306.678643529877,14,NERC18,42.1940928270042
2005-07-02,2005-07-26,2005-07-23,309.402602691714,25,NERC18,28.0590717299578
2005-07-29,2005-08-04,2005-08-02,309.023936374989,7,NERC18,45.3586497890295
2005-09-08,2005-09-13,2005-09-10,307.490434827037,6,NERC18,30.8016877637131
2006-05-27,2006-05-31,2006-05-28,305.439820808823,5,NERC18,53.7974683544304
2006-06-15,2006-06-21,2006-06-16,303.659902978315,7,NERC18,46.4135021097046
2006-06-29,2006-07-04,2006-06-30,306.315257468291,6,NERC18,49.3670886075949
2006-07-06,2006-08-28,2006-07-31,313.05976131156,54,NERC18,14.7679324894515
2007-06-10,2007-06-18,2007-06-11,302.997440667693,9,NERC18,58.0168776371308
2007-06-30,2007-07-10,2007-07-07,308.201174953148,11,NERC18,43.0379746835443
2007-07-14,2007-08-29,2007-08-11,307.995863342821,47,NERC18,18.3544303797468
2008-07-05,2008-07-12,2008-07-11,305.312359702301,8,NERC18,38.3966244725738
2008-07-15,2008-08-11,2008-08-03,305.387361470317,28,NERC18,29.957805907173
2009-06-14,2009-06-29,2009-06-23,305.694761043025,16,NERC18,27.0042194092827
2009-08-06,2009-08-17,2009-08-13,305.603355218971,12,NERC18,52.3206751054852
2010-06-16,2010-06-28,2010-06-26,303.91268426226,13,NERC18,46.2025316455696
2010-06-30,2010-08-15,2010-08-12,306.358370389956,47,NERC18,27.2151898734177
2010-08-18,2010-08-24,2010-08-22,305.767272038817,7,NERC18,58.0168776371308
2010-08-28,2010-09-02,2010-08-29,304.664193177831,6,NERC18,24.4725738396625
2011-06-05,2011-06-08,2011-06-06,305.478663770364,4,NERC18,41.7721518987342
2011-06-29,2011-08-09,2011-07-20,309.023194713445,42,NERC18,52.3206751054852
2012-06-14,2012-08-04,2012-07-09,310.701696141643,52,NERC18,12.2362869198312
2013-06-19,2013-06-29,2013-06-25,304.146882734541,11,NERC18,48.1012658227848
2013-07-01,2013-07-26,2013-07-18,306.220793868955,26,NERC18,11.6033755274262
2013-08-16,2013-09-01,2013-08-26,309.167616954821,17,NERC18,20.464135021097
2014-06-17,2014-06-23,2014-06-21,302.727280744798,7,NERC18,43.6708860759494
2014-06-26,2014-07-01,2014-06-29,301.846728607819,6,NERC18,49.789029535865
2014-07-05,2014-07-08,2014-07-06,305.43613318489,4,NERC18,47.4683544303798
2014-07-19,2014-07-27,2014-07-21,307.154437290085,9,NERC18,40.295358649789
2014-08-15,2014-08-27,2014-08-21,303.896168502001,13,NERC18,34.1772151898734
2015-07-09,2015-08-18,2015-08-14,306.119175037378,41,NERC18,33.5443037974684
2015-08-27,2015-09-08,2015-09-03,306.252889373355,13,NERC18,30.168776371308
2016-06-09,2016-06-30,2016-06-10,305.700646926991,22,NERC18,45.7805907172996
2016-07-02,2016-08-20,2016-07-21,307.702375405375,50,NERC18,15.1898734177215
2016-09-05,2016-09-08,2016-09-05,301.059301003056,4,NERC18,48.9451476793249
2017-06-08,2017-06-18,2017-06-10,303.247801242252,11,NERC18,35.6540084388186
2017-07-02,2017-08-03,2017-07-21,306.557071596569,33,NERC18,27.0042194092827
2018-05-23,2018-06-02,2018-05-27,306.877699065984,11,NERC18,51.2658227848101
2018-06-05,2018-07-26,2018-06-30,307.933530449652,52,NERC18,23.2067510548523
2018-08-03,2018-08-20,2018-08-12,306.622478216617,18,NERC18,37.3417721518987
2018-08-31,2018-09-05,2018-08-31,304.073221078559,6,NERC18,47.0464135021097
2019-06-14,2019-07-22,2019-07-19,306.504370928813,39,NERC18,15.6118143459916
2019-07-24,2019-07-29,2019-07-27,303.236285859384,6,NERC18,60.126582278481
2019-08-01,2019-08-14,2019-08-04,303.15469246458,14,NERC18,34.8101265822785
2019-09-15,2019-09-22,2019-09-16,303.545329662053,8,NERC18,43.4599156118143
2020-06-16,2020-06-18,2020-06-17,303.02994555007,3,NERC18,37.9746835443038
2020-06-24,2020-08-02,2020-07-25,306.355792432321,40,NERC18,28.0590717299578
2020-08-07,2020-08-28,2020-08-17,307.111696067371,22,NERC18,29.957805907173
2021-06-02,2021-06-20,2021-06-10,306.605353929467,19,NERC18,30.168776371308
2021-06-23,2021-09-04,2021-07-28,309.279805959633,74,NERC18,11.6033755274262
2022-06-10,2022-06-25,2022-06-20,306.679414415053,16,NERC18,39.0295358649789
2022-06-28,2022-07-28,2022-07-18,307.979264992753,31,NERC18,39.0295358649789
2022-07-31,2022-08-19,2022-08-02,309.101557725774,20,NERC18,23.2067510548523
2022-08-27,2022-08-29,2022-08-28,305.853677839277,3,NERC18,20.6751054852321
2023-05-30,2023-06-10,2023-06-06,302.453633584717,12,NERC18,49.57805907173
2023-06-17,2023-07-05,2023-07-03,304.895237509322,19,NERC18,35.6540084388186
2023-07-19,2023-08-14,2023-07-27,309.31845915184,27,NERC18,29.957805907173
2023-08-16,2023-08-26,2023-08-23,311.217233631012,11,NERC18,17.9324894514768
2023-09-01,2023-09-06,2023-09-03,310.822151563733,6,NERC18,20.042194092827
2024-06-12,2024-06-29,2024-06-24,305.949442348103,18,NERC18,37.3417721518987
2024-07-01,2024-08-08,2024-07-30,306.859321141306,39,NERC18,17.5105485232068
2024-08-14,2024-08-31,2024-08-22,308.252694243989,18,NERC18,15.8227848101266
2024-09-14,2024-09-21,2024-09-15,303.956975960208,8,NERC18,53.1645569620253
1980-07-11,1980-08-03,1980-07-22,305.051236907419,24,NERC6,37.7777777777778
1981-07-02,1981-07-07,1981-07-05,304.427049080624,6,NERC6,35.5555555555556
