start_date,end_date,centroid_date,highest_temperature,duration,NERC_ID,spatial_coverage
1980-07-10,1980-07-11,1980-07-11,308.639767932489,2,NERC18,66.8776371308017
1980-07-14,1980-07-15,1980-07-14,307.19776371308,2,NERC18,67.9324894514768
1981-07-06,1981-07-08,1981-07-08,307.255569620253,3,NERC18,54.2194092827004
1981-07-11,1981-07-13,1981-07-12,308.636540084388,3,NERC18,70.4641350210971
1983-07-19,1983-07-22,1983-07-19,307.658080168776,4,NERC18,82.7004219409283
1983-08-03,1983-08-07,1983-08-03,306.69805907173,5,NERC18,73.2067510548523
1983-08-16,1983-08-19,1983-08-16,308.241540084388,4,NERC18,59.915611814346
1983-08-25,1983-08-26,1983-08-25,307.159789029536,2,NERC18,58.4388185654009
1984-08-06,1984-08-07,1984-08-06,306.57835443038,2,NERC18,54.4303797468355
1984-08-27,1984-08-28,1984-08-28,309.844599156118,2,NERC18,56.7510548523207
1986-07-17,1986-07-18,1986-07-17,305.696793248945,2,NERC18,72.3628691983122
1987-07-20,1987-07-23,1987-07-20,306.583080168776,4,NERC18,78.0590717299578
1987-07-26,1987-08-02,1987-07-31,309.455506329114,8,NERC18,86.7088607594937
1988-06-19,1988-06-22,1988-06-21,311.140084388186,4,NERC18,93.4599156118144
1988-06-24,1988-06-25,1988-06-24,310.61805907173,2,NERC18,60.5485232067511
1988-07-05,1988-07-07,1988-07-06,309.96135021097,3,NERC18,93.4599156118144
1988-07-14,1988-07-16,1988-07-15,310.862890295359,3,NERC18,79.746835443038
1988-07-27,1988-08-03,1988-07-31,312.121582278481,8,NERC18,94.9367088607595
1988-08-10,1988-08-12,1988-08-11,310.67835443038,3,NERC18,84.1772151898734
1988-08-14,1988-08-17,1988-08-16,312.834451476793,4,NERC18,90.5063291139241
1989-07-05,1989-07-06,1989-07-05,308.922932489451,2,NERC18,59.0717299578059
1989-07-08,1989-07-10,1989-07-09,310.99970464135,3,NERC18,79.957805907173
1989-08-02,1989-08-04,1989-08-04,310.159135021097,3,NERC18,83.3333333333333
1990-07-02,1990-07-04,1990-07-03,309.644662447257,3,NERC18,73.6286919831224
1991-06-26,1991-06-27,1991-06-26,306.052616033755,2,NERC18,45.7805907172996
1991-07-16,1991-07-18,1991-07-17,307.198691983122,3,NERC18,60.7594936708861
1991-08-25,1991-08-29,1991-08-25,308.73,5,NERC18,79.957805907173
1995-07-12,1995-07-14,1995-07-13,308.562827004219,3,NERC18,81.6455696202532
1996-06-28,1996-06-29,1996-06-28,305.345443037975,2,NERC18,46.4135021097046
1997-07-16,1997-07-18,1997-07-16,307.183670886076,3,NERC18,59.2827004219409
1998-07-19,1998-07-21,1998-07-20,307.747510548523,3,NERC18,56.1181434599156
1999-07-04,1999-07-05,1999-07-04,305.449556962025,2,NERC18,73.8396624472574
1999-07-22,1999-07-25,1999-07-25,307.289852320675,4,NERC18,72.7848101265823
1999-07-28,1999-07-30,1999-07-29,309.146033755274,3,NERC18,81.8565400843882
2000-07-08,2000-07-09,2000-07-09,306.315843881857,2,NERC18,51.4767932489452
2000-08-11,2000-08-12,2000-08-11,308.356497890295,2,NERC18,51.2658227848101
2001-07-18,2001-07-23,2001-07-22,307.360443037975,6,NERC18,83.7552742616034
2001-07-31,2001-08-01,2001-07-31,307.376202531646,2,NERC18,59.2827004219409
2001-08-03,2001-08-08,2001-08-07,308.669324894515,6,NERC18,95.5696202531646
