time,Union_Gap_GH,Mabton_GH,Kiona_GH,Union_Gap_UD,Mabton_UD,Kiona_UD
2025-01-01 08:00:00+00:00,40.88,13.22,5.72,2250,3390,4060
2025-01-01 08:15:00+00:00,40.88,13.21,5.72,2250,3370,4060
2025-01-01 08:30:00+00:00,40.88,13.21,5.72,2250,3370,4060
2025-01-01 08:45:00+00:00,40.88,13.21,5.71,2250,3370,4050
2025-01-01 09:00:00+00:00,40.88,13.21,5.71,2250,3370,4050
2025-01-01 09:15:00+00:00,40.88,13.21,5.71,2250,3370,4050
2025-01-01 09:30:00+00:00,40.88,13.21,5.71,2250,3370,4050
2025-01-01 09:45:00+00:00,40.88,13.21,5.7,2250,3370,4030
2025-01-01 10:00:00+00:00,40.88,13.21,5.69,2250,3370,4020
2025-01-01 10:15:00+00:00,40.88,13.21,5.7,2250,3370,4030
2025-01-01 10:30:00+00:00,40.88,13.2,5.69,2250,3350,4020
2025-01-01 10:45:00+00:00,40.88,13.2,5.69,2250,3350,4020
2025-01-01 11:00:00+00:00,40.88,13.2,5.68,2250,3350,4000
2025-01-01 11:15:00+00:00,40.88,13.2,5.68,2250,3350,4000
2025-01-01 11:30:00+00:00,40.88,13.2,5.68,2250,3350,4000
2025-01-01 11:45:00+00:00,40.88,13.2,5.68,2250,3350,4000
2025-01-01 12:00:00+00:00,40.88,13.19,5.68,2250,3330,4000
2025-01-01 12:15:00+00:00,40.88,13.19,5.67,2250,3330,3990
2025-01-01 12:30:00+00:00,40.88,13.19,5.67,2250,3330,3990
2025-01-01 12:45:00+00:00,40.88,13.19,5.65,2250,3330,3970
2025-01-01 13:00:00+00:00,40.88,13.19,5.65,2250,3330,3970
2025-01-01 13:15:00+00:00,40.88,13.19,5.64,2250,3330,3960
2025-01-01 13:30:00+00:00,40.88,13.18,5.64,2250,3300,3960
2025-01-01 13:45:00+00:00,40.88,13.18,5.63,2250,3300,3940
2025-01-01 14:00:00+00:00,40.88,13.19,5.63,2250,3330,3940
2025-01-01 14:15:00+00:00,40.88,13.19,5.63,2250,3330,3940
2025-01-01 14:30:00+00:00,40.88,13.18,5.63,2250,3300,3940
2025-01-01 14:45:00+00:00,40.88,13.18,5.62,2250,3300,3930
2025-01-01 15:00:00+00:00,40.88,13.18,5.62,2250,3300,3930
2025-01-01 15:15:00+00:00,40.88,13.18,5.62,2250,3300,3930
2025-01-01 15:30:00+00:00,40.88,13.18,5.61,2250,3300,3910
2025-01-01 15:45:00+00:00,40.88,13.18,5.61,2250,3300,3910
2025-01-01 16:00:00+00:00,40.88,13.18,5.61,2250,3300,3910
2025-01-01 16:15:00+00:00,40.88,13.18,5.61,2250,3300,3910
2025-01-01 16:30:00+00:00,40.88,13.18,5.6,2250,3300,3900
2025-01-01 16:45:00+00:00,40.88,13.18,5.6,2250,3300,3900
2025-01-01 17:00:00+00:00,40.87,13.18,5.6,2230,3300,3900
2025-01-01 17:15:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 17:30:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 17:45:00+00:00,40.87,13.18,5.6,2230,3300,3900
2025-01-01 18:00:00+00:00,40.88,13.18,5.6,2250,3300,3900
2025-01-01 18:15:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 18:30:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 18:45:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 19:00:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 19:15:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 19:30:00+00:00,40.87,13.18,5.58,2230,3300,3870
2025-01-01 19:45:00+00:00,40.87,13.18,5.59,2230,3300,3890
2025-01-01 20:00:00+00:00,40.87,13.18,5.58,2230,3300,3870
2025-01-01 20:15:00+00:00,40.87,13.18,5.58,2230,3300,3870
2025-01-01 20:30:00+00:00,40.88,13.18,5.57,2250,3300,3860
2025-01-01 20:45:00+00:00,40.87,13.18,5.57,2230,3300,3860
2025-01-01 21:00:00+00:00,40.87,13.18,5.57,2230,3300,3860
2025-01-01 21:15:00+00:00,40.87,13.17,5.57,2230,3280,3860
2025-01-01 21:30:00+00:00,40.87,13.17,5.56,2230,3280,3840
2025-01-01 21:45:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-01 22:00:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-01 22:15:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-01 22:30:00+00:00,40.87,13.17,5.56,2230,3280,3840
2025-01-01 22:45:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-01 23:00:00+00:00,40.87,13.17,5.56,2230,3280,3840
2025-01-01 23:15:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-01 23:30:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-01 23:45:00+00:00,40.87,13.17,5.56,2230,3280,3840
2025-01-02 00:00:00+00:00,40.87,13.18,5.56,2230,3300,3840
2025-01-02 00:15:00+00:00,40.87,13.17,5.56,2230,3280,3840
2025-01-02 00:30:00+00:00,40.87,13.17,5.56,2230,3280,3840
2025-01-02 00:45:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 01:00:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 01:15:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 01:30:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 01:45:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 02:00:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 02:15:00+00:00,40.87,13.17,5.55,2230,3280,3830
2025-01-02 02:30:00+00:00,40.87,13.17,5.54,2230,3280,3810
2025-01-02 02:45:00+00:00,40.87,13.17,5.54,2230,3280,3810
2025-01-02 03:00:00+00:00,40.87,13.17,5.54,2230,3280,3810
2025-01-02 03:15:00+00:00,40.87,13.17,5.54,2230,3280,3810
2025-01-02 03:30:00+00:00,40.87,13.17,5.54,2230,3280,3810
2025-01-02 03:45:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 04:00:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 04:15:00+00:00,40.87,13.16,5.53,2230,3260,3800
2025-01-02 04:30:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 04:45:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 05:00:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 05:15:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 05:30:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 05:45:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 06:00:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 06:15:00+00:00,40.87,13.16,5.53,2230,3260,3800
2025-01-02 06:30:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 06:45:00+00:00,40.87,13.16,5.53,2230,3260,3800
2025-01-02 07:00:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 07:15:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 07:30:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 07:45:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 08:00:00+00:00,40.87,13.16,5.54,2230,3260,3810
2025-01-02 08:15:00+00:00,40.87,13.15,5.53,2230,3240,3800
2025-01-02 08:30:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 08:45:00+00:00,40.87,13.15,5.53,2230,3240,3800
2025-01-02 09:00:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 09:15:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 09:30:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 09:45:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 10:00:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 10:15:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 10:30:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 10:45:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 11:00:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 11:15:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 11:30:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 11:45:00+00:00,40.87,13.15,5.54,2230,3240,3810
2025-01-02 12:00:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 12:15:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 12:30:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 12:45:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 13:00:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 13:15:00+00:00,40.86,13.14,5.53,2220,3220,3800
2025-01-02 13:30:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 13:45:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 14:00:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 14:15:00+00:00,40.86,13.15,5.52,2220,3240,3780
2025-01-02 14:30:00+00:00,40.86,13.15,5.53,2220,3240,3800
2025-01-02 14:45:00+00:00,40.86,13.15,5.52,2220,3240,3780
2025-01-02 15:00:00+00:00,40.86,13.14,5.52,2220,3220,3780
2025-01-02 15:15:00+00:00,40.86,13.15,5.52,2220,3240,3780
2025-01-02 15:30:00+00:00,40.86,13.15,5.52,2220,3240,3780
2025-01-02 15:45:00+00:00,40.85,13.14,5.52,2200,3220,3780
2025-01-02 16:00:00+00:00,40.85,13.15,5.51,2200,3240,3770
2025-01-02 16:15:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 16:30:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 16:45:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 17:00:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 17:15:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 17:30:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 17:45:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 18:00:00+00:00,40.85,13.14,5.5,2200,3220,3750
2025-01-02 18:15:00+00:00,40.85,13.14,5.5,2200,3220,3750
2025-01-02 18:30:00+00:00,40.85,13.14,5.5,2200,3220,3750
2025-01-02 18:45:00+00:00,40.85,13.14,5.51,2200,3220,3770
2025-01-02 19:00:00+00:00,40.84,13.14,5.5,2190,3220,3750
2025-01-02 19:15:00+00:00,40.84,13.14,5.51,2190,3220,3770
2025-01-02 19:30:00+00:00,40.84,13.14,5.51,2190,3220,3770
2025-01-02 19:45:00+00:00,40.84,13.13,5.51,2190,3190,3770
2025-01-02 20:00:00+00:00,40.84,13.14,5.51,2190,3220,3770
2025-01-02 20:15:00+00:00,40.84,13.14,5.51,2190,3220,3770
2025-01-02 20:30:00+00:00,40.84,13.13,5.51,2190,3190,3770
2025-01-02 20:45:00+00:00,40.84,13.13,5.51,2190,3190,3770
2025-01-02 21:00:00+00:00,40.84,13.13,5.51,2190,3190,3770
2025-01-02 21:15:00+00:00,40.84,13.13,5.52,2190,3190,3780
2025-01-02 21:30:00+00:00,40.84,13.14,5.51,2190,3220,3770
2025-01-02 21:45:00+00:00,40.84,13.14,5.52,2190,3220,3780
2025-01-02 22:00:00+00:00,40.84,13.14,5.52,2190,3220,3780
2025-01-02 22:15:00+00:00,40.84,13.14,5.52,2190,3220,3780
2025-01-02 22:30:00+00:00,40.84,13.14,5.52,2190,3220,3780
2025-01-02 22:45:00+00:00,40.84,13.14,5.52,2190,3220,3780
2025-01-02 23:00:00+00:00,40.84,13.13,5.52,2190,3200,3780
2025-01-02 23:15:00+00:00,40.84,13.13,5.52,2190,3200,3780
2025-01-02 23:30:00+00:00,40.84,13.13,5.52,2190,3200,3780
2025-01-02 23:45:00+00:00,40.84,13.14,5.53,2190,3220,3800
2025-01-03 00:00:00+00:00,40.84,13.13,5.53,2190,3200,3800
2025-01-03 00:15:00+00:00,40.84,13.14,5.53,2190,3220,3800
2025-01-03 00:30:00+00:00,40.84,13.14,5.54,2190,3220,3810
2025-01-03 00:45:00+00:00,40.84,13.14,5.54,2190,3220,3810
2025-01-03 01:00:00+00:00,40.84,13.14,5.54,2190,3220,3810
2025-01-03 01:15:00+00:00,40.84,13.14,5.55,2190,3220,3830
2025-01-03 01:30:00+00:00,40.84,13.14,5.55,2190,3220,3830
2025-01-03 01:45:00+00:00,40.84,13.14,5.55,2190,3220,3830
2025-01-03 02:00:00+00:00,40.84,13.13,5.55,2190,3200,3830
2025-01-03 02:15:00+00:00,40.84,13.13,5.55,2190,3200,3830
2025-01-03 02:30:00+00:00,40.84,13.14,5.54,2190,3220,3810
2025-01-03 02:45:00+00:00,40.84,13.13,5.54,2190,3200,3810
2025-01-03 03:00:00+00:00,40.84,13.14,5.54,2190,3220,3810
2025-01-03 03:15:00+00:00,40.84,13.14,5.54,2190,3220,3810
2025-01-03 03:30:00+00:00,40.84,13.13,5.54,2190,3200,3810
2025-01-03 03:45:00+00:00,40.84,13.13,5.54,2190,3200,3810
