id,monitoring_location_name,site_type,state_name,county_name,county_code,hydrologic_unit_code,basin_code,altitude,altitude_accuracy,vertical_datum,vertical_datum_name,drainage_area,contributing_drainage_area,aquifer_code,national_aquifer_code,aquifer_type_code,county_significance
USGS-12422000,"SPOKANE RIVER BELOW N GREENE ST AT SPOKANE, WA",Stream,Washington,Spokane County,063,170103050402,,,,,,4220.0,,,,,significant
USGS-12422500,"Spokane River at Spokane, WA",Stream,Washington,Spokane County,063,170103050402,,1696.6,10.0,NGVD29,National Geodetic Vertical Datum of 1929,4290.0,4290.0,,,,significant
USGS-12422990,"HANGMAN CREEK AT STATE LINE ROAD NEAR TEKOA, WA",Stream,Washington,Whitman County,075,170103060105,,2483.75,0.08,NAVD88,North American Vertical Datum of 1988,127.0,,,,,significant
USGS-12424000,"Hangman Creek at Spokane, WA",Stream,Washington,Spokane County,063,170103060306,,1717.42,10.0,NGVD29,National Geodetic Vertical Datum of 1929,689.0,689.0,,,,significant
USGS-12426000,"SPOKANE RIVER BELOW NINE MILE DAM AT SPOKANE, WA",Stream,Washington,Spokane County,063,170103070106,,1550.0,20.0,NGVD29,National Geodetic Vertical Datum of 1929,5220.0,,,,,significant
USGS-12431000,"LITTLE SPOKANE RIVER AT DARTFORD, WA",Stream,Washington,Spokane County,063,170103080306,,1589.71,0.08,NAVD88,North American Vertical Datum of 1988,665.0,,,,,significant
USGS-12431500,"LITTLE SPOKANE RIVER NEAR DARTFORD, WA",Stream,Washington,Spokane County,063,170103080306,,1550.0,10.0,NGVD29,National Geodetic Vertical Datum of 1929,698.0,,,,,significant
USGS-12438905,"NINEMILE CREEK AT EASTLAKE RD NEAR OROVILLE, WA",Stream,Washington,Okanogan County,047,170200061504,,972.0,4.3,NAVD88,North American Vertical Datum of 1988,47.1,,,,,core
USGS-12439500,"OKANOGAN RIVER AT OROVILLE, WA",Stream,Washington,Okanogan County,047,170200061506,,900.0,10.0,NGVD29,National Geodetic Vertical Datum of 1929,3195.0,,,,,core
USGS-12442500,"SIMILKAMEEN RIVER NEAR NIGHTHAWK, WA",Stream,Washington,Okanogan County,047,170200072009,,1137.7,10.0,NGVD29,National Geodetic Vertical Datum of 1929,3550.0,,,,,core
USGS-12444290,"ANTOINE CREEK AT US HWY 97 NEAR ELLISFORDE, WA",Stream,Washington,Okanogan County,047,170200061605,,917.59,0.1,NAVD88,North American Vertical Datum of 1988,73.4,,,,,core
USGS-12444550,"BONAPARTE CREEK AT TONASKET, WA",Stream,Washington,Okanogan County,047,170200061703,,916.38,0.1,NAVD88,North American Vertical Datum of 1988,161.0,,,,,core
