source_dataset,time_raw,time,injection_pressure,net_flow,tl_interval_pressure,tl_bottom_pressure,tn_interval_pressure,tn_bottom_pressure,tc_interval_pressure,tc_bottom_pressure,tu_interval_pressure,tu_bottom_pressure,ts_interval_pressure,ts_bottom_pressure,flag_duplicate_timestamp,flag_time_gap_gt_expected
ftes_1hour,12/10/2024 21:00,2024-12-10T21:00:00,10.95115945,0.012400204,3.586389551,19.969146,-6.535680673,-11.94238012,-6.38428751,49.23986129,8.611721918,9.725629592,-13.19920592,-8.91001498,False,False
ftes_1hour,12/10/2024 22:00,2024-12-10T22:00:00,11.27015056,0.012723778,3.492797096,19.96754736,-6.492635203,-11.99393625,-6.398667131,49.23505773,95.43442028,9.989025373,-13.14723057,-8.976204709,False,False
ftes_1hour,12/10/2024 23:00,2024-12-10T23:00:00,11.66561208,0.011896016,3.491959601,20.0410731,-6.488387621,-12.00473219,-6.117650411,49.20574492,256.9321725,10.57999358,-13.05933648,-8.936182858,False,False
ftes_1hour,12/11/2024 0:00,2024-12-11T00:00:00,11.42469805,0.011880557,3.581529737,20.06679785,-6.490295395,-12.05000535,-6.467954774,49.03963299,91.51485132,10.29688481,-12.98773664,-8.952147044,False,False
ftes_1hour,12/11/2024 1:00,2024-12-11T01:00:00,11.44843451,0.011824587,3.507324601,20.06374724,-6.540969932,-12.02169944,-6.541316209,49.04653053,79.88270578,9.93490713,-12.95492814,-8.961259233,False,False
ftes_1hour,12/11/2024 2:00,2024-12-11T02:00:00,11.45220575,0.012130176,3.281254287,20.06661209,-6.628884554,-12.0902505,-6.938159507,48.83647677,74.74590987,10.03117401,-12.95464994,-8.961841124,False,False
ftes_1hour,12/11/2024 3:00,2024-12-11T03:00:00,11.30291003,0.012215237,3.281364935,20.18163559,-6.612620753,-12.00693317,-7.102180188,48.92635242,71.79543944,11.25282137,-12.89828672,-8.993306465,False,False
ftes_1hour,12/11/2024 4:00,2024-12-11T04:00:00,11.20042174,0.012192456,3.306368459,20.18331933,-6.674547908,-11.98624464,-7.0403318,48.80118452,69.55926124,11.58861717,-12.91032747,-8.976046889,False,False
ftes_1hour,12/11/2024 5:00,2024-12-11T05:00:00,11.38388022,0.011766226,3.27651129,20.11923674,-6.558811389,-12.01991962,-6.611444474,48.88132512,68.07248087,11.62566692,-12.95924907,-8.985951329,False,False
ftes_1hour,12/11/2024 6:00,2024-12-11T06:00:00,10.50314125,0.011512971,3.292062042,20.12501877,-6.689482249,-12.09607719,-6.555412513,49.03973672,67.30688362,11.791349,-12.91223458,-8.970035208,False,False
