source_dataset,time_raw,time,net_flow,injection_pressure,tl_interval_pressure,tl_bottom_pressure,tn_interval_pressure,tn_bottom_pressure,tc_interval_pressure,tc_bottom_pressure,tu_interval_pressure,tu_bottom_pressure,ts_interval_pressure,ts_bottom_pressure,flag_duplicate_timestamp,flag_time_gap_gt_expected,tc_injecting,tc_producing,delta_P_delta_Q
ftes_1hour,12/10/2024 21:00,2024-12-10T21:00:00,0.012400204,10.95115945,3.586389551,19.969146,-6.535680673,-11.94238012,-6.38428751,49.23986129,8.611721918,9.725629592,-13.19920592,-8.91001498,FALSE,FALSE,0,0,0
ftes_1hour,12/10/2024 22:00,2024-12-10T22:00:00,0.012723778,11.27015056,3.492797096,19.96754736,-6.492635203,-11.99393625,-6.398667131,49.23505773,95.43442028,9.989025373,-13.14723057,-8.976204709,FALSE,FALSE,0,0,985.8366556
ftes_1hour,12/10/2024 23:00,2024-12-10T23:00:00,0.011896016,11.66561208,3.491959601,20.0410731,-6.488387621,-12.00473219,-6.117650411,49.20574492,256.9321725,10.57999358,-13.05933648,-8.936182858,FALSE,FALSE,0,0,-477.7478551
ftes_1hour,12/11/2024 0:00,2024-12-11T00:00:00,0.011880557,11.42469805,3.581529737,20.06679785,-6.490295395,-12.05000535,-6.467954774,49.03963299,91.51485132,10.29688481,-12.98773664,-8.952147044,FALSE,FALSE,0,0,15584.06301
ftes_1hour,12/11/2024 1:00,2024-12-11T01:00:00,0.011824587,11.44843451,3.507324601,20.06374724,-6.540969932,-12.02169944,-6.541316209,49.04653053,79.88270578,9.93490713,-12.95492814,-8.961259233,FALSE,FALSE,0,0,-424.0925496
ftes_1hour,12/11/2024 2:00,2024-12-11T02:00:00,0.012130176,11.45220575,3.281254287,20.06661209,-6.628884554,-12.0902505,-6.938159507,48.83647677,74.74590987,10.03117401,-12.95464994,-8.961841124,FALSE,FALSE,0,0,12.34088923
ftes_1hour,12/11/2024 3:00,2024-12-11T03:00:00,0.012215237,11.30291003,3.281364935,20.18163559,-6.612620753,-12.00693317,-7.102180188,48.92635242,71.79543944,11.25282137,-12.89828672,-8.993306465,FALSE,FALSE,0,0,-1755.160649
ftes_1hour,12/11/2024 4:00,2024-12-11T04:00:00,0.012192456,11.20042174,3.306368459,20.18331933,-6.674547908,-11.98624464,-7.0403318,48.80118452,69.55926124,11.58861717,-12.91032747,-8.976046889,FALSE,FALSE,0,0,4498.84948
ftes_1hour,12/11/2024 5:00,2024-12-11T05:00:00,0.011766226,11.38388022,3.27651129,20.11923674,-6.558811389,-12.01991962,-6.611444474,48.88132512,68.07248087,11.62566692,-12.95924907,-8.985951329,FALSE,FALSE,0,0,-430.4213218
ftes_1hour,12/11/2024 6:00,2024-12-11T06:00:00,0.011512971,10.50314125,3.292062042,20.12501877,-6.689482249,-12.09607719,-6.555412513,49.03973672,67.30688362,11.791349,-12.91223458,-8.970035208,FALSE,FALSE,0,0,3477.676532
ftes_1hour,12/11/2024 7:00,2024-12-11T07:00:00,0.011769692,10.5089586,3.260223374,20.12225819,-6.695414475,-12.09649284,-6.719160206,49.05929889,66.49309615,11.54439305,-12.86035957,-8.987151533,FALSE,FALSE,0,0,22.6602031
ftes_1hour,12/11/2024 8:00,2024-12-11T08:00:00,0.011862728,10.54140035,3.213292839,20.20105444,-6.721927846,-12.09742537,-6.767789694,49.01698836,66.28707508,11.77149175,-12.81927788,-8.976739195,FALSE,FALSE,0,0,348.7010405
ftes_1hour,12/11/2024 9:00,2024-12-11T09:00:00,0.011663427,11.11612402,3.189139413,20.16143927,-6.734682972,-12.18261032,-7.249395722,49.04503072,66.39474576,11.97175554,-12.7793038,-8.981407758,FALSE,FALSE,0,0,-2883.696871
ftes_1hour,12/11/2024 10:00,2024-12-11T10:00:00,0.011863105,10.54001565,3.286457155,20.20206413,-6.695165405,-12.14694655,-7.194084712,48.86462286,66.64458526,11.90939174,-12.83748418,-8.987590916,FALSE,FALSE,0,0,-2885.187001
ftes_1hour,12/11/2024 11:00,2024-12-11T11:00:00,0.011777336,10.67955056,3.275877042,20.2580144,-6.777492419,-12.21333169,-7.220546157,48.9954198,66.3248479,11.84632811,-12.93961914,-9.012742878,FALSE,FALSE,0,0,-1626.868799
ftes_1hour,12/11/2024 12:00,2024-12-11T12:00:00,0.012146952,10.82196934,3.208884524,20.17181676,-6.792523223,-12.12442266,-6.791704806,49.19959273,65.99196609,11.60998775,-12.86316021,-8.969760389,FALSE,FALSE,0,0,385.3155166
ftes_1hour,12/11/2024 13:00,2024-12-11T13:00:00,0.011916397,11.04757667,3.211615034,20.17966864,-6.788021999,-12.19289813,-7.120207409,49.13697806,65.84221493,11.56047335,-12.89339073,-9.013612053,FALSE,FALSE,0,0,-978.5401748
ftes_1hour,12/11/2024 14:00,2024-12-11T14:00:00,0.011699254,11.18400586,3.260027574,20.20536515,-6.830834645,-12.15945902,-6.984243122,49.17402279,65.74503788,11.71308206,-12.91352013,-9.006295631,FALSE,FALSE,0,0,-628.291909
ftes_1hour,12/11/2024 15:00,2024-12-11T15:00:00,0.010096879,12.24327329,3.227419862,20.52110896,-6.86938329,-12.16991164,-7.569422202,49.70134021,169.7023091,11.83455555,-12.7397093,-9.026636747,FALSE,FALSE,0,0,-661.0608815
ftes_1hour,12/11/2024 16:00,2024-12-11T16:00:00,0.011691358,11.65829146,3.302439557,20.20666189,-6.756986472,-12.15829979,-6.985606783,49.27847393,1005.172422,10.70241092,-12.91977021,-9.005201515,FALSE,FALSE,0,0,-366.8796077
ftes_1hour,12/11/2024 17:00,2024-12-11T17:00:00,0.012458771,11.80692165,3.225597706,20.35259071,-6.822442765,-12.1418953,-7.285116407,49.27773451,2058.884937,10.87164859,-12.70811375,-8.97259107,FALSE,FALSE,0,0,193.6769249
ftes_1hour,12/11/2024 18:00,2024-12-11T18:00:00,0.012042524,12.57668248,3.330763691,20.42352789,-6.766757557,-12.18535939,-7.073792181,48.88788953,2972.343429,11.18592121,-12.60227367,-8.944362859,FALSE,FALSE,0,0,-1849.288595
ftes_1hour,12/11/2024 19:00,2024-12-11T19:00:00,0.012853413,49.26727657,50.54030594,24.19332103,-5.952606853,-11.85987336,30.24365049,53.67392608,3398.821494,11.70501574,-12.85032129,-8.984977854,FALSE,FALSE,0,0,45247.36936
ftes_1hour,12/11/2024 20:00,2024-12-11T20:00:00,1.548586775,98.29571914,75.18416155,31.7892411,-1.325339247,-10.69203083,80.49794991,69.30601087,3731.229556,12.08727945,-13.03315232,-9.024542304,FALSE,FALSE,0,0,31.92510092
ftes_1hour,12/11/2024 21:00,2024-12-11T21:00:00,2.499886184,12.47087714,4.508904958,21.75312791,-2.567876375,-9.750515403,-5.060973514,51.04041832,4700.539191,12.82812783,-13.17525787,-8.992183657,FALSE,FALSE,0,0,-90.21853813
ftes_1hour,12/11/2024 22:00,2024-12-11T22:00:00,2.318734611,12.89325308,4.525870831,21.65024897,0.277383904,-7.695131641,-4.986624039,51.11323247,4682.724986,12.45564563,-13.15740139,-8.992958144,FALSE,FALSE,0,0,-2.331616188
ftes_1hour,12/11/2024 23:00,2024-12-11T23:00:00,0.011327656,32.78263512,5.09299764,22.11107971,1883.954141,-10.83941391,15.13582521,51.91034211,3736.453274,15.16243241,-12.89392846,-9.005496557,FALSE,FALSE,0,0,-8.61979808
ftes_1hour,12/12/2024 0:00,2024-12-12T00:00:00,0.011563039,385.4789808,7.010539873,22.31743543,2761.901773,-11.18534362,369.2239909,55.31426722,3238.490252,17.05662481,-12.82091261,-8.995112227,FALSE,FALSE,0,0,1498393.451
ftes_1hour,12/12/2024 1:00,2024-12-12T01:00:00,0.011757033,724.0561236,27.64002735,22.62098503,2753.783475,-10.84713557,707.67709,63.37897782,3056.52169,18.23145778,-12.77641939,-8.994774841,FALSE,FALSE,0,0,1745296.982
ftes_1hour,12/12/2024 2:00,2024-12-12T02:00:00,0.01198104,853.3295645,137.4361871,23.42377332,2724.132065,-9.965116839,836.6285085,70.33637112,2945.591036,19.54400979,-12.77387964,-8.973088263,FALSE,FALSE,0,0,577095.5412
ftes_1hour,12/12/2024 3:00,2024-12-12T03:00:00,0.012023243,891.5550321,301.5300292,25.92099627,2686.584814,-10.00449733,874.801316,76.33244561,2861.211468,20.68077127,-12.86237433,-9.029113653,FALSE,FALSE,0,0,905752.3778
ftes_1hour,12/12/2024 4:00,2024-12-12T04:00:00,0.01228998,898.7573851,370.5434056,34.01931764,2644.710341,-9.974858262,881.7160756,81.27182362,2790.079908,22.14283497,-12.87857892,-9.066717078,FALSE,FALSE,0,0,27001.70205
ftes_1hour,12/12/2024 5:00,2024-12-12T05:00:00,0.01218777,885.4427817,384.1316743,51.55370168,2599.873492,-9.970852414,868.4161504,86.42390031,2727.44146,23.41535175,-12.91554126,-9.057565724,FALSE,FALSE,0,0,130267.1304
ftes_1hour,12/12/2024 6:00,2024-12-12T06:00:00,0.01202967,862.8381257,404.8199751,74.26515366,2553.118299,-9.996590361,845.4811537,91.58991323,2670.62964,25.00092189,-12.86661102,-9.044321122,FALSE,FALSE,0,0,142976.9513
ftes_1hour,12/12/2024 7:00,2024-12-12T07:00:00,0.011918514,834.7394765,422.2428515,98.76463492,2505.981049,-9.959479146,817.554342,96.81027644,2618.001253,26.79380254,-12.88441833,-9.034669394,FALSE,FALSE,0,0,252785.7174
ftes_1hour,12/12/2024 8:00,2024-12-12T08:00:00,0.011619155,804.7512274,437.7923962,122.0788752,2458.618781,-9.99336902,787.5817344,102.5643592,2568.111476,28.38609994,-12.79383012,-8.994085034,FALSE,FALSE,0,0,100174.8706
ftes_1hour,12/12/2024 9:00,2024-12-12T09:00:00,0.011279705,773.6779778,448.1300821,143.587833,2411.585642,-10.08548618,756.0635369,108.5795801,2521.501858,29.96440328,-12.79686658,-9.036852155,FALSE,FALSE,0,0,91539.98998
ftes_1hour,12/12/2024 10:00,2024-12-12T10:00:00,0.011508643,742.8984392,453.3713127,163.3381507,2365.257468,-10.04250461,725.4753472,114.3168773,2476.481152,31.65859933,-12.86610427,-9.055773167,FALSE,FALSE,0,0,-134444.8654
ftes_1hour,12/12/2024 11:00,2024-12-12T11:00:00,0.011557299,713.8232675,452.8986179,181.6959747,2319.225665,-9.997314768,696.5387021,120.4755828,2432.906079,33.11906668,-12.91361984,-9.069381556,FALSE,FALSE,0,0,-597566.0083
ftes_1hour,12/12/2024 12:00,2024-12-12T12:00:00,0.01185117,684.9892315,449.6882747,198.5190342,2273.649837,-10.01991289,668.196896,126.5773282,2391.353683,34.83323779,-12.98195053,-9.050899025,FALSE,FALSE,0,0,-98118.00416
ftes_1hour,12/12/2024 13:00,2024-12-12T13:00:00,0.928126784,414.7725817,273.8109706,137.0700395,1368.797765,-9.936962608,397.4103249,100.9949697,3086.601324,26.39565254,-12.99978115,-9.033718695,FALSE,FALSE,1,0,-294.9076082
ftes_1hour,12/12/2024 14:00,2024-12-12T14:00:00,2.498945375,13.03789024,4.710674742,21.87490417,-5.757019767,-9.820047206,-5.512524057,51.35999496,4726.524483,9.777252639,-13.00490013,-9.030970884,FALSE,FALSE,1,0,-255.7486229
ftes_1hour,12/12/2024 15:00,2024-12-12T15:00:00,2.499831389,13.24100835,4.563885802,21.6978422,-2.531791784,-9.279168617,-5.307780954,51.42627887,4680.862159,9.947024165,-13.02500685,-9.123467309,FALSE,FALSE,1,0,229.2493234
ftes_1hour,12/12/2024 16:00,2024-12-12T16:00:00,1.73588309,13.54212373,4.387365004,21.53243985,800.9763268,-9.39343325,-5.189566271,51.43383676,3937.039449,11.33509329,-12.98029637,-9.125345025,FALSE,FALSE,1,0,-0.394156752
ftes_1hour,12/12/2024 17:00,2024-12-12T17:00:00,2.475697779,12.48219078,3.721213932,20.89386527,3209.560603,-10.81810252,-5.752235117,50.6984603,14.60685158,9.430361299,-13.15268798,-9.116200511,FALSE,FALSE,1,0,-1.432700602
ftes_1hour,12/12/2024 18:00,2024-12-12T18:00:00,2.499978085,11.87081045,4.462387876,21.55844415,3195.677772,-10.23057039,-5.104177278,51.16938762,13.18863229,9.172904411,-13.25259282,-9.083086037,FALSE,FALSE,1,0,-25.18009163
ftes_1hour,12/12/2024 19:00,2024-12-12T19:00:00,2.500213001,11.56134908,4.436418634,21.45409636,3200.594558,-10.48022912,-6.163932089,50.26167967,12.41619471,9.160770779,-13.26504246,-9.05624532,FALSE,FALSE,1,0,-1317.327768
ftes_1hour,12/12/2024 20:00,2024-12-12T20:00:00,2.499890079,11.0675419,4.39788365,21.40665137,3203.533292,-10.60992282,-5.907480546,50.43379263,11.30121358,8.938479088,-13.27253509,-9.058766848,FALSE,FALSE,1,0,1529.184075
ftes_1hour,12/12/2024 21:00,2024-12-12T21:00:00,2.500291371,263.8410659,4.277048354,21.45407013,3203.104037,-10.76520529,245.8644309,51.03307604,10.84979501,9.037694182,-13.24865689,-9.027814907,FALSE,FALSE,1,0,629899.2355
ftes_1hour,12/12/2024 22:00,2024-12-12T22:00:00,2.499737316,160.3101831,4.463688104,21.6659206,3200.033464,-10.62430506,144.4461592,50.26732495,10.63101737,9.145639628,-13.28921398,-9.059438527,FALSE,FALSE,1,0,186860.2987
ftes_1hour,12/12/2024 23:00,2024-12-12T23:00:00,2.500232872,10.3756501,4.601646056,22.11401219,3199.632124,-10.49301192,-7.216885664,49.00489388,11.08272887,10.36805346,-13.22138521,-9.026285064,FALSE,FALSE,1,0,-302558.2033
