row_index,time,injection_ec,net_flow,tl_interval_flow,tl_bottom_flow,tl_collar_flow,tl_interval_ec,tl_bottom_ec,tl_interval_pressure,tl_bottom_pressure,tl_packer_pressure,tl_tec_int_u,tl_tec_int_l,tl_tec_bot_u,tl_tec_bot_l,tn_interval_flow,tn_bottom_flow,tn_collar_flow,tn_interval_ec,tn_bottom_ec,tn_interval_pressure,tn_bottom_pressure,tn_packer_pressure,tn_tec_int_u,tn_tec_int_l,tn_tec_bot_u,tn_tec_bot_l,tc_interval_flow,tc_bottom_flow,tc_collar_flow,tc_interval_ec,tc_bottom_ec,tc_interval_pressure,tc_bottom_pressure,injection_pressure,tc_packer_pressure,tc_tec_int_u,tc_tec_int_l,tc_tec_bot_u,tc_tec_bot_l,tu_interval_flow,tu_bottom_flow,tu_collar_flow,tu_interval_ec,tu_bottom_ec,tu_interval_pressure,tu_bottom_pressure,pt_403,tu_packer_pressure,tu_tec_int_u,tu_tec_int_l,tu_tec_bot_u,tu_tec_bot_l,ts_interval_flow,ts_bottom_flow,ts_collar_flow,ts_interval_ec,ts_bottom_ec,ts_interval_pressure,ts_bottom_pressure,pt_503,pt_504,ts_packer_pressure,tl_packer_center_depth,tn_packer_center_depth,tc_packer_center_depth,ts_packer_center_depth
0,2024-12-10 21:00:00,0.0,0.000365,0.13938,0.868902,0.181953,0.066239,0.206884,0.000419,0.007638,0.0,0.0,0.001465,0.00344,0.002684,0.002428,0.0,0.008015,0.282296,0.190257,0.001985,0.734033,0.009426,0.473581,0.405064,0.436558,0.21049,0.007563,0.017161,0.789058,0.002987,0.366015,0.0,0.0,0.000405,0.0,0.000601,0.000173,0.000503,0.00144,0.101581,0.567596,0.349891,0.000171,0.042018,0.0,0.000847,0.0,0.0,1.0,1.0,1.0,1.0,0.526764,0.096013,0.015311,0.010821,0.088424,0.000981,0.026477,0.001825,0.371963,0.000677,1.0,1.0,1.0,0.0
1,2024-12-10 22:00:00,0.0,0.000447,0.078916,0.882791,0.181215,0.0672,0.209769,0.00038,0.007586,0.0,0.0,0.001605,0.003064,0.002813,0.002399,0.0,0.002696,0.284377,0.191062,0.001998,0.729034,0.009436,0.473549,0.405056,0.436528,0.210382,0.008701,0.020762,0.830992,0.03949,0.365451,0.0,0.0,0.000468,0.0,0.00016,0.0,0.00023,0.000938,0.087947,0.59407,0.46587,0.000137,0.04189,0.026864,0.000955,0.026824,0.0,1.0,1.0,1.0,1.0,0.460462,0.150529,0.008842,0.003785,0.084148,0.000995,0.025948,0.001716,0.506922,0.000769,1.0,0.368454,1.0,0.0
2,2024-12-10 23:00:00,0.0,0.000237,0.132705,0.751016,0.179093,0.066659,0.209946,0.00038,0.009992,0.0,0.0,0.0,0.0,0.000113,0.002398,0.0,0.003267,0.284279,0.191234,0.001999,0.727988,0.009638,0.47287,0.404316,0.435792,0.209294,0.008028,0.018414,0.850056,0.03993,0.365729,0.0,0.0,0.000545,0.0,0.000115,0.0,0.000177,0.000894,0.067121,0.566537,0.520326,0.0,0.041422,0.077846,0.001198,0.077835,0.099187,1.0,1.0,1.0,1.0,0.473236,0.162734,0.018294,0.00249,0.084241,0.001017,0.026268,0.001988,0.612769,0.001148,1.0,0.359482,1.0,0.0
3,2024-12-11 00:00:00,0.0,0.000233,0.090302,0.82893,0.178847,0.066797,0.209313,0.000417,0.010834,0.0,0.0,0.000282,0.00044,0.000458,0.002528,0.0,0.003768,0.285234,0.190651,0.001998,0.723598,0.009768,0.473151,0.404686,0.436079,0.209477,0.009462,0.017617,0.834944,0.036138,0.365466,0.0,0.0,0.000498,0.0,0.000234,1e-05,0.000264,0.001099,0.070867,0.597247,0.526957,0.0,0.041234,0.025627,0.001082,0.025611,0.050052,1.0,1.0,1.0,1.0,0.465328,0.234337,0.023208,0.0018,0.08352,0.001036,0.02614,0.001971,0.649575,0.00116,1.0,0.359482,1.0,0.0
4,2024-12-11 01:00:00,0.0,0.000219,0.141735,0.869241,0.179298,0.067026,0.209362,0.000386,0.010734,0.0,0.0,0.001904,0.003527,0.002977,0.002353,0.0,0.003567,0.284819,0.191721,0.001984,0.726343,0.009696,0.473286,0.404925,0.436246,0.209737,0.008672,0.012375,0.841664,0.04066,0.36551,0.0,0.0,0.000503,0.0,0.000312,5.6e-05,0.000345,0.001212,0.080231,0.592305,0.446087,0.00032,0.041074,0.021955,0.000933,0.021961,0.032531,1.0,1.0,1.0,1.0,0.44708,0.240033,0.024238,0.002431,0.08375,0.001044,0.026067,0.002018,0.628154,0.001155,1.0,0.359482,1.0,0.0
5,2024-12-11 02:00:00,0.0,0.000296,0.067138,0.827913,0.178631,0.066551,0.209641,0.000293,0.010827,0.0,0.0,0.001949,0.003695,0.002937,0.00234,0.0,0.003222,0.284418,0.191372,0.001958,0.719697,0.009615,0.473964,0.405707,0.436972,0.21078,0.008434,0.013879,0.830819,0.041332,0.365436,0.0,0.0,0.000503,0.0,0.000342,7.6e-05,0.000393,0.001285,0.075886,0.569714,0.495652,0.0,0.041043,0.020333,0.000973,0.020265,0.020697,1.0,1.0,1.0,1.0,0.4118,0.379577,0.023544,0.001024,0.084377,0.001044,0.026062,0.002078,0.640081,0.001142,1.0,0.359482,1.0,0.0
6,2024-12-11 03:00:00,0.0,0.000318,0.0,0.765244,0.180021,0.066562,0.209302,0.000293,0.014591,0.0,0.0,0.001943,0.003726,0.003068,0.002222,0.0,0.00293,0.284388,0.19112,0.001963,0.727774,0.009646,0.473962,0.405675,0.436968,0.210824,0.007545,0.01274,0.841029,0.035513,0.36548,0.0,0.0,0.000474,0.0,0.000755,0.000342,0.000645,0.001786,0.078882,0.529474,0.487717,1.9e-05,0.041004,0.019402,0.001475,0.019171,0.011909,1.0,1.0,1.0,1.0,0.432482,0.327502,0.025981,0.001837,0.083824,0.001058,0.025811,0.001937,0.573076,0.001115,1.0,0.359482,1.0,0.0
7,2024-12-11 04:00:00,0.0,0.000312,0.145662,0.764905,0.179623,0.066821,0.209384,0.000304,0.014646,0.0,0.0,0.002018,0.003735,0.003026,0.00241,0.0,0.003822,0.284702,0.191463,0.001945,0.72978,0.009677,0.473987,0.405724,0.436984,0.210909,0.007534,0.018437,0.833329,0.037679,0.365614,0.0,0.0,0.000454,0.0,0.000753,0.000339,0.000653,0.001796,0.070717,0.509001,0.517826,0.0,0.041298,0.018696,0.001613,0.01855,0.005052,1.0,1.0,1.0,1.0,0.557786,0.25834,0.014051,0.002602,0.084018,0.001055,0.025949,0.001936,0.557023,0.001229,1.0,0.359482,1.0,0.0
8,2024-12-11 05:00:00,0.0,0.000204,0.174715,0.805894,0.179893,0.066604,0.209399,0.000291,0.012549,0.0,0.0,0.001934,0.003678,0.003072,0.002333,0.0,0.002897,0.284556,0.191246,0.001978,0.726515,0.00946,0.473299,0.404973,0.436272,0.210063,0.006361,0.015771,0.837049,0.033951,0.36546,0.0,0.0,0.00049,0.0,0.000336,5.3e-05,0.000384,0.001268,0.066971,0.481468,0.446304,0.0,0.040952,0.018227,0.001629,0.018188,0.0,1.0,1.0,1.0,1.0,0.648418,0.240846,0.024889,0.001927,0.083974,0.001043,0.02587,0.001991,0.604491,0.001284,1.0,0.359482,1.0,0.0
9,2024-12-11 06:00:00,0.0,0.00014,0.200236,0.748306,0.178253,0.0667,0.209604,0.000298,0.012739,0.0,0.0,0.001921,0.003681,0.00303,0.00237,0.0,0.003262,0.284385,0.190982,0.00194,0.719132,0.00954,0.474,0.405727,0.436979,0.210977,0.007551,0.02238,0.835693,0.039554,0.36549,0.0,0.0,0.000317,0.0,0.000753,0.000352,0.000654,0.00182,0.060229,0.491705,0.463152,0.0,0.041325,0.017985,0.001697,0.017627,0.0,1.0,1.0,1.0,1.0,0.510341,0.223759,0.025225,0.002804,0.083488,0.001055,0.025997,0.001728,0.502182,0.001276,1.0,0.359482,1.0,0.0
