row_index,time,injection_ec,net_flow,tl_interval_flow,tl_bottom_flow,tl_collar_flow,tl_interval_ec,tl_bottom_ec,tl_interval_pressure,tl_bottom_pressure,tl_packer_pressure,tl_tec_int_u,tl_tec_int_l,tl_tec_bot_u,tl_tec_bot_l,tn_interval_flow,tn_bottom_flow,tn_collar_flow,tn_interval_ec,tn_bottom_ec,tn_interval_pressure,tn_bottom_pressure,tn_packer_pressure,tn_tec_int_u,tn_tec_int_l,tn_tec_bot_u,tn_tec_bot_l,tc_interval_flow,tc_bottom_flow,tc_collar_flow,tc_interval_ec,tc_bottom_ec,tc_interval_pressure,tc_bottom_pressure,injection_pressure,tc_packer_pressure,tc_tec_int_u,tc_tec_int_l,tc_tec_bot_u,tc_tec_bot_l,tu_interval_flow,tu_bottom_flow,tu_collar_flow,tu_interval_ec,tu_bottom_ec,tu_interval_pressure,tu_bottom_pressure,pt_403,tu_packer_pressure,tu_tec_int_u,tu_tec_int_l,tu_tec_bot_u,tu_tec_bot_l,ts_interval_flow,ts_bottom_flow,ts_collar_flow,ts_interval_ec,ts_bottom_ec,ts_interval_pressure,ts_bottom_pressure,pt_503,pt_504,ts_packer_pressure,tl_packer_center_depth,tn_packer_center_depth,tc_packer_center_depth,ts_packer_center_depth
0,2024-12-10 21:00:00,347.418539,0.0124,0.005904,0.002726,0.096397,494.424453,475.018459,3.58639,19.969146,48.802272,25.797092,25.929091,25.881106,26.039396,0.002701,0.001183,0.009537,409.271821,417.59568,-6.535681,-11.94238,48.146336,24.653951,24.722848,24.691474,24.752777,-0.000434,-0.000107,0.063301,140.539914,467.700824,-6.100836,50.262132,10.951159,54.965931,25.385815,25.452466,25.408861,25.552926,-0.005007,0.015468,0.0057,338.755322,583.499284,10.335302,9.72563,43.155737,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.004948,-0.001569,0.027054,421.143695,659.244667,-13.199206,-8.910015,-36.995119,133.997148,6.696567,170.2,137.772667,165.6,0.0
1,2024-12-10 22:00:00,347.418539,0.012724,0.00575,0.002767,0.096006,496.156704,481.429017,3.492797,19.967547,48.802272,25.797092,25.929787,25.880073,26.039791,0.002665,0.001183,0.006362,412.302737,419.339464,-6.492635,-11.993936,48.185955,24.65361,24.722771,24.691153,24.751957,-0.000238,5.1e-05,0.064755,145.720178,466.209215,-6.100836,50.262132,11.270151,54.965931,25.3781,25.447862,25.401394,25.545902,-0.005189,0.015543,0.006767,338.695389,583.276749,95.43442,9.989025,128.00727,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005057,-0.001435,0.026746,415.655432,653.486356,-13.147231,-8.976205,-37.421589,135.252259,7.094411,170.2,135.137435,165.6,0.0
2,2024-12-10 23:00:00,347.418539,0.011896,0.005887,0.002378,0.094881,495.182646,481.82356,3.49196,20.041073,48.802272,25.797092,25.921823,25.871661,26.03149,0.002664,0.001183,0.006703,412.160198,419.712927,-6.488388,-12.004732,48.969758,24.646249,24.715108,24.683515,24.743691,-0.000354,-5.2e-05,0.065416,145.782635,466.944336,-6.100836,50.262132,11.665612,54.965931,25.377307,25.447862,25.399941,25.545288,-0.005467,0.015465,0.007268,338.45531,582.463032,256.932173,10.579994,289.363951,1396.651979,25.357824,25.382229,25.434719,25.368439,-0.005036,-0.001405,0.027196,414.645293,653.610777,-13.059336,-8.936183,-36.360131,136.236615,8.741295,170.2,135.1,165.6,0.0
3,2024-12-11 00:00:00,347.418539,0.011881,0.005779,0.002608,0.094751,495.430387,480.416265,3.58153,20.066798,48.802272,25.797092,25.923222,25.872868,26.032553,0.002823,0.001183,0.007002,413.551451,418.448489,-6.490295,-12.050005,49.472335,24.649296,24.718939,24.686493,24.745081,-0.000107,-8.7e-05,0.064892,145.244526,466.249015,-6.100836,50.262132,11.424698,54.965931,25.379397,25.448131,25.402328,25.548152,-0.005417,0.015552,0.007329,338.45531,582.136147,91.514851,10.296885,124.169686,1273.80528,25.357824,25.382229,25.434719,25.368439,-0.005049,-0.001229,0.02743,414.10722,652.640197,-12.987737,-8.952147,-36.426901,136.578906,8.795222,170.2,135.1,165.6,0.0
4,2024-12-11 01:00:00,347.418539,0.011825,0.00591,0.002727,0.09499,495.842963,480.524842,3.507325,20.063747,48.802272,25.797092,25.931268,25.881345,26.040296,0.002609,0.001183,0.006882,412.946527,420.767846,-6.54097,-12.021699,49.19425,24.650755,24.721412,24.688234,24.747057,-0.000243,-0.000317,0.065125,145.886237,466.366987,-6.100836,50.262132,11.448435,54.965931,25.380757,25.449345,25.40455,25.549734,-0.005292,0.015538,0.006585,339.017981,581.856605,79.882706,9.934907,112.622318,1229.999642,25.357824,25.382229,25.434719,25.368439,-0.005079,-0.001215,0.027479,414.599368,652.949434,-12.954928,-8.961259,-36.242786,136.379699,8.770848,170.2,135.1,165.6,0.0
5,2024-12-11 02:00:00,347.418539,0.01213,0.00572,0.002605,0.094636,494.987248,481.14481,3.281254,20.066612,48.802272,25.797092,25.931493,25.881806,26.040171,0.002593,0.001183,0.006676,412.362081,420.011758,-6.628885,-12.09025,48.877992,24.658106,24.729505,24.695767,24.754975,-0.000284,-0.000251,0.064749,145.981514,466.170961,-6.100836,50.262132,11.452206,54.965931,25.381283,25.449872,25.405841,25.550763,-0.00535,0.015474,0.007041,338.45531,581.802547,74.74591,10.031174,107.258552,1200.411604,25.357824,25.382229,25.434719,25.368439,-0.005137,-0.000872,0.027446,413.501728,653.794305,-12.95465,-8.961841,-36.009649,136.490616,8.715966,170.2,135.1,165.6,0.0
6,2024-12-11 03:00:00,347.418539,0.012215,0.005549,0.00242,0.095373,495.007262,480.391115,3.281365,20.181636,48.802272,25.797092,25.931464,25.881889,26.040575,0.002449,0.001183,0.006502,412.318304,419.46592,-6.612621,-12.006933,49.000979,24.658088,24.729166,24.69573,24.755312,-0.000437,-0.000301,0.065103,145.155805,466.286542,-6.100836,50.262132,11.30291,54.965931,25.388506,25.456971,25.412746,25.557772,-0.00531,0.01536,0.006968,338.489085,581.73478,71.795439,11.252821,103.796205,1178.440318,25.357824,25.382229,25.434719,25.368439,-0.005103,-0.001,0.027562,414.136399,653.048991,-12.898287,-8.993306,-36.559108,135.867482,8.596816,170.2,135.1,165.6,0.0
7,2024-12-11 04:00:00,347.418539,0.012192,0.00592,0.002419,0.095162,495.473563,480.575142,3.306368,20.183319,48.802272,25.797092,25.931835,25.881915,26.040447,0.002679,0.001183,0.007034,412.775905,420.207497,-6.674548,-11.986245,49.120449,24.658359,24.729676,24.695892,24.755954,-0.000439,-5.1e-05,0.064836,145.463154,466.641816,-6.100836,50.262132,11.200422,54.965931,25.388469,25.45688,25.412958,25.557906,-0.005419,0.015302,0.007245,338.45531,582.246846,69.559261,11.588617,101.834896,1161.29621,25.357824,25.382229,25.434719,25.368439,-0.004897,-0.00117,0.026994,414.733002,653.310201,-12.910327,-8.976047,-36.563101,135.718187,9.092954,170.2,135.1,165.6,0.0
8,2024-12-11 05:00:00,347.418539,0.011766,0.005994,0.00254,0.095305,495.082342,480.606965,3.276511,20.119237,48.802272,25.797092,25.931419,25.881759,26.040588,0.002585,0.001183,0.006482,412.562934,419.738736,-6.558811,-12.01992,48.277528,24.650892,24.721911,24.688495,24.749535,-0.000641,-0.000168,0.064965,144.934127,466.233945,-6.100836,50.262132,11.38388,54.965931,25.381177,25.44926,25.405615,25.550515,-0.005469,0.015224,0.006587,338.45531,581.645746,68.072481,11.625667,100.689431,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.004748,-0.001213,0.02751,414.20642,653.2509,-12.959249,-8.985951,-36.347931,136.159639,9.334633,170.2,135.1,165.6,0.0
9,2024-12-11 06:00:00,347.418539,0.011513,0.006059,0.00237,0.094436,495.255006,481.062426,3.292062,20.125019,48.802272,25.797092,25.931352,25.881767,26.040457,0.00263,0.001183,0.0067,412.314467,419.165721,-6.689482,-12.096077,48.58976,24.658498,24.72971,24.695841,24.756473,-0.000436,0.000122,0.064918,145.729296,466.314056,-6.100836,50.262132,10.503141,54.965931,25.388478,25.457236,25.412972,25.558243,-0.005559,0.015253,0.006742,338.45531,582.293729,67.306884,11.791349,98.912862,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.004975,-0.001255,0.027526,414.890331,652.59706,-12.912235,-8.970035,-37.373877,135.208177,9.296609,170.2,135.1,165.6,0.0
10,2024-12-11 07:00:00,347.418539,0.01177,0.00577,0.002407,0.09592,495.026475,479.963114,3.260223,20.122258,48.802272,25.797092,25.931786,25.882182,26.040458,0.00247,0.001183,0.006429,413.207426,419.962227,-6.695414,-12.096493,48.004437,24.658989,24.730659,24.696525,24.757053,-0.000226,0.000268,0.065529,145.350125,467.21911,-6.100836,50.262132,10.508959,54.965931,25.38914,25.457638,25.413212,25.558469,-0.005385,0.015436,0.006426,338.45531,583.606143,66.493096,11.544393,98.25676,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005148,-0.001444,0.027484,414.544907,652.160074,-12.86036,-8.987152,-37.530477,135.280507,9.27513,170.2,135.1,165.6,0.0
11,2024-12-11 08:00:00,347.418539,0.011863,0.006044,0.002685,0.095426,495.525641,480.126735,3.213293,20.201054,48.802272,25.797092,25.931875,25.882053,26.040621,0.002488,0.001183,0.006732,413.600035,421.216353,-6.721928,-12.097425,48.778681,24.658629,24.730341,24.69641,24.757632,-0.00015,0.000313,0.065086,146.157636,465.703018,-6.100836,50.262132,10.5414,54.965931,25.38182,25.450316,25.406251,25.551312,-0.004907,0.015418,0.006948,338.45531,581.913389,66.287075,11.771492,97.640966,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005385,-0.00118,0.027449,413.416635,653.144572,-12.819278,-8.976739,-37.402217,134.880002,9.033535,170.2,135.1,165.6,0.0
12,2024-12-11 09:00:00,347.418539,0.011663,0.006254,0.002842,0.094808,494.969998,480.863321,3.189139,20.161439,48.802272,25.797092,25.932311,25.882857,26.041041,0.002463,0.001183,0.006851,413.580418,419.222438,-6.734683,-12.18261,49.395011,24.659373,24.731276,24.697146,24.758572,-0.000131,0.000269,0.064649,145.907862,465.722392,-6.100836,50.262132,11.116124,54.965931,25.389505,25.45805,25.413933,25.558964,-0.00505,0.015509,0.006811,338.45531,581.973969,66.394746,11.971756,97.769205,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005147,-0.001161,0.027433,414.493194,652.487141,-12.779304,-8.981408,-36.914692,135.710201,8.745892,170.2,135.1,165.6,0.0
13,2024-12-11 10:00:00,347.418539,0.011863,0.00614,0.002732,0.095481,495.217444,482.262824,3.286457,20.202064,48.802272,25.797092,25.924798,25.875248,26.0336,0.002514,0.001183,0.006674,413.128243,419.624366,-6.695165,-12.146947,49.072618,24.652431,24.724283,24.690125,24.752056,4.6e-05,0.000158,0.064866,145.592735,468.04311,-6.100836,50.262132,10.540016,54.965931,25.382463,25.450919,25.406784,25.551865,-0.005078,0.0152,0.006856,338.45531,582.917216,66.644585,11.909392,97.007706,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005101,-0.000985,0.027259,413.564969,653.033979,-12.837484,-8.987591,-37.34481,134.659814,9.101099,170.2,135.1,165.6,0.0
14,2024-12-11 11:00:00,347.418539,0.011777,0.006247,0.002843,0.095703,496.851848,481.115095,3.275877,20.258014,48.802272,25.797092,25.924986,25.875292,26.033748,0.002179,0.001426,0.006414,413.341581,418.996895,-6.777492,-12.213332,48.801725,24.645547,24.717317,24.683165,24.745735,-0.000389,-7.2e-05,0.065366,146.085842,466.428806,-6.100836,50.262132,10.679551,54.965931,25.375304,25.447862,25.399503,25.544555,-0.005346,0.015294,0.006407,338.45531,582.005459,66.324848,11.846328,96.873285,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005006,-0.001008,0.027179,413.679047,652.782964,-12.939619,-9.012743,-37.257854,134.878321,9.205338,170.2,135.1,165.6,0.0
