column,min,max
injection_ec,347.418539,376.828907
net_flow,0.010958,3.965278
tl_interval_flow,0.005549,0.008096
tl_bottom_flow,0.000161,0.003113
tl_collar_flow,-5.3e-05,0.53003
tl_interval_ec,375.015513,2177.717837
tl_bottom_ec,15.20038,2237.786488
tl_interval_pressure,2.567521,2436.161955
tl_bottom_pressure,19.735722,50.29591
tl_packer_pressure,48.802272,2656.759242
tl_tec_int_u,25.797092,28.46119
tl_tec_int_l,25.921823,30.882589
tl_tec_bot_u,25.871661,28.617004
tl_tec_bot_l,26.031144,29.105158
tn_interval_flow,-0.000268,1.222418
tn_bottom_flow,0.001183,0.446539
tn_collar_flow,0.004753,0.60161
tn_interval_ec,-1.825251,1454.439315
tn_bottom_ec,5.34098,2172.169753
tn_interval_pressure,-13.331026,3409.762381
tn_bottom_pressure,-19.513547,-9.199066
tn_packer_pressure,11.63971,3884.735725
tn_tec_int_u,19.518137,30.362782
tn_tec_int_l,20.532815,30.876943
tn_tec_bot_u,20.158556,30.541857
tn_tec_bot_l,23.154436,30.747852
tc_interval_flow,-0.001736,0.17042
tc_bottom_flow,-0.00086,0.043019
tc_collar_flow,0.035942,0.070615
tc_interval_ec,140.116091,282.027058
tc_bottom_ec,-500.010817,2143.902479
tc_interval_pressure,-6.100836,5118.070109
tc_bottom_pressure,50.262132,108.098362
injection_pressure,8.884743,5109.760974
tc_packer_pressure,54.965931,5586.378899
tc_tec_int_u,25.375304,42.865293
tc_tec_int_l,25.447862,52.069541
tc_tec_bot_u,25.395107,52.728687
tc_tec_bot_l,25.532782,39.522251
tu_interval_flow,-0.006363,0.006986
tu_bottom_flow,0.01386,0.016693
tu_collar_flow,0.002481,0.011681
tu_interval_ec,338.45531,2096.151663
tu_bottom_ec,510.405164,2249.999672
tu_interval_pressure,10.335302,3178.069973
tu_bottom_pressure,7.665967,2439.083511
pt_403,43.155737,3206.371508
tu_packer_pressure,1148.666436,3648.852556
tu_tec_int_u,25.178856,25.357824
tu_tec_int_l,25.234051,25.382229
tu_tec_bot_u,25.255313,25.434719
tu_tec_bot_l,25.179052,25.368439
ts_interval_flow,-0.005814,-0.00417
ts_bottom_flow,-0.001805,0.000653
ts_collar_flow,0.026325,0.073937
ts_interval_ec,412.703392,1192.705074
ts_bottom_ec,540.160663,1886.896186
ts_interval_pressure,-17.029558,3886.143771
ts_bottom_pressure,-12.221785,112.860113
pt_503,-44.113281,3856.160059
pt_504,130.537941,139.837821
ts_packer_pressure,3.756366,4346.595808
tl_packer_center_depth,149.0,170.2
tn_packer_center_depth,133.6,137.772667
tc_packer_center_depth,142.0,165.6
ts_packer_center_depth,0.0,166.9
