window_id,start_time,end_time,split,regime_label,gnn_top_pairs,parsed_top_pairs,confidence,parse_ok,parse_error,top3_overlap_rate,jaccard_at_3,top1_match_rate
1976,2025-03-04T05:00:00,2025-03-04T16:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1977,2025-03-04T06:00:00,2025-03-04T17:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1978,2025-03-04T07:00:00,2025-03-04T18:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1979,2025-03-04T08:00:00,2025-03-04T19:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1980,2025-03-04T09:00:00,2025-03-04T20:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1981,2025-03-04T10:00:00,2025-03-04T21:00:00,test,idle,"[""tc_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1982,2025-03-04T11:00:00,2025-03-04T22:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1983,2025-03-04T12:00:00,2025-03-04T23:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1984,2025-03-04T13:00:00,2025-03-05T00:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tn_interval_pressure__ts_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
1985,2025-03-04T14:00:00,2025-03-05T01:00:00,test,idle,"[""tc_interval_pressure__tu_interval_pressure"", ""ts_bottom_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
1986,2025-03-04T15:00:00,2025-03-05T02:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_interval_pressure__ts_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
1987,2025-03-04T16:00:00,2025-03-05T03:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1988,2025-03-04T17:00:00,2025-03-05T04:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1989,2025-03-04T18:00:00,2025-03-05T05:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
1990,2025-03-04T19:00:00,2025-03-05T06:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1991,2025-03-04T20:00:00,2025-03-05T07:00:00,test,idle,"[""tl_bottom_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure"", ""tl_interval_pressure__tn_bottom_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
1992,2025-03-04T21:00:00,2025-03-05T08:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1993,2025-03-04T22:00:00,2025-03-05T09:00:00,test,idle,"[""tl_bottom_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure"", ""tl_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure""]",0.7,True,,0.0,0.0,0.0
1994,2025-03-04T23:00:00,2025-03-05T10:00:00,test,idle,"[""tl_bottom_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure"", ""tl_interval_pressure__tn_bottom_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
1995,2025-03-05T00:00:00,2025-03-05T11:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
1996,2025-03-05T01:00:00,2025-03-05T12:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1997,2025-03-05T02:00:00,2025-03-05T13:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tl_interval_pressure"", ""tc_bottom_pressure__tl_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1998,2025-03-05T03:00:00,2025-03-05T14:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_interval_pressure__ts_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
1999,2025-03-05T04:00:00,2025-03-05T15:00:00,test,idle,"[""tl_interval_pressure__tn_bottom_pressure"", ""tn_bottom_pressure__tu_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_bottom_pressure"", ""tl_interval_pressure__tu_bottom_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,1.0
2000,2025-03-05T05:00:00,2025-03-05T16:00:00,test,idle,"[""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tl_interval_pressure__tn_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.6666666666666666,0.5,0.0
2001,2025-03-05T06:00:00,2025-03-05T17:00:00,test,idle,"[""tl_bottom_pressure__ts_bottom_pressure"", ""tl_bottom_pressure__ts_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2002,2025-03-05T07:00:00,2025-03-05T18:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2003,2025-03-05T08:00:00,2025-03-05T19:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2004,2025-03-05T09:00:00,2025-03-05T20:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2005,2025-03-05T10:00:00,2025-03-05T21:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2006,2025-03-05T11:00:00,2025-03-05T22:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2007,2025-03-05T12:00:00,2025-03-05T23:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2008,2025-03-05T13:00:00,2025-03-06T00:00:00,test,idle,"[""tc_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure"", ""ts_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2009,2025-03-05T14:00:00,2025-03-06T01:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2010,2025-03-05T15:00:00,2025-03-06T02:00:00,test,idle,"[""tc_bottom_pressure__tu_interval_pressure"", ""tl_bottom_pressure__tu_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tn_bottom_pressure__tu_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
2011,2025-03-05T16:00:00,2025-03-06T03:00:00,test,idle,"[""tc_interval_pressure__tn_interval_pressure"", ""tc_interval_pressure__ts_bottom_pressure"", ""tc_interval_pressure__ts_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tn_bottom_pressure"", ""tl_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2012,2025-03-05T17:00:00,2025-03-06T04:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_bottom_pressure__tn_bottom_pressure"", ""tl_bottom_pressure__tu_bottom_pressure"", ""tc_bottom_pressure__tu_bottom_pressure""]",0.8,True,,0.0,0.0,0.0
2013,2025-03-05T18:00:00,2025-03-06T05:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
