Time,t+1h_classification,t+1h_confidence,t+1h_binary,actual_above_1h,t+6h_classification,t+6h_confidence,t+6h_binary,actual_above_6h,t+12h_classification,t+12h_confidence,t+12h_binary,actual_above_12h,t+24h_classification,t+24h_confidence,t+24h_binary,actual_above_24h,split
2024-12-14 19:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2024-12-15 02:00:00,below,0.92,0,0,below,0.86,0,0,below,0.79,0,0,below,0.68,0,0,Train
2024-12-15 03:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.48,0,0,Train
2024-12-15 05:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.48,0,0,Train
2024-12-15 11:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.48,0,0,Train
2024-12-15 21:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.5,0,0,Train
2024-12-16 11:00:00,above,0.78,1,0,above,0.68,1,0,above,0.58,1,0,above,0.48,1,0,Train
2024-12-16 13:00:00,above,0.78,1,0,above,0.68,1,0,above,0.58,1,0,above,0.48,1,0,Train
2024-12-16 14:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.5,0,0,Train
2024-12-16 15:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2024-12-16 20:00:00,above,0.68,1,0,above,0.58,1,0,above,0.5,1,0,above,0.4,1,0,Train
2024-12-17 01:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.5,0,0,Train
2024-12-17 02:00:00,above,0.78,1,0,above,0.68,1,0,above,0.58,1,0,above,0.48,1,0,Train
2024-12-17 10:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2024-12-17 20:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.5,0,0,Train
2024-12-18 09:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2024-12-18 20:00:00,below,0.78,0,0,below,0.68,0,0,below,0.58,0,0,below,0.5,0,0,Train
2024-12-19 13:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2024-12-19 15:00:00,below,0.98,0,0,below,0.96,0,0,below,0.94,0,0,below,0.92,0,0,Train
2024-12-20 20:00:00,above,0.78,1,0,above,0.68,1,0,above,0.58,1,0,above,0.48,1,0,Train
2024-12-22 03:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2024-12-22 08:00:00,above,0.68,1,0,above,0.58,1,0,above,0.5,1,0,above,0.4,1,0,Train
2024-12-22 12:00:00,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,below,0.95,0,0,Train
2024-12-22 14:00:00,below,0.98,0,0,below,0.96,0,0,below,0.94,0,0,below,0.92,0,0,Train
2024-12-22 15:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2024-12-22 16:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2024-12-22 19:00:00,below,0.95,0,0,below,0.92,0,0,below,0.88,0,0,below,0.81,0,0,Train
2024-12-22 22:00:00,below,0.68,0,0,below,0.58,0,0,below,0.5,0,0,below,0.4,0,0,Train
2024-12-23 19:00:00,above,0.78,1,0,above,0.68,1,0,above,0.58,1,0,above,0.48,1,0,Train
2024-12-24 00:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2024-12-24 03:00:00,above,0.78,1,0,above,0.69,1,0,above,0.61,1,0,above,0.53,1,0,Train
2024-12-24 06:00:00,above,0.78,1,0,above,0.69,1,0,above,0.61,1,0,above,0.53,1,0,Train
2024-12-24 15:00:00,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,below,0.95,0,0,Train
2024-12-24 16:00:00,below,0.98,0,0,below,0.97,0,0,below,0.95,0,0,below,0.92,0,0,Train
2024-12-24 21:00:00,above,0.78,1,0,above,0.68,1,0,above,0.58,1,0,above,0.48,1,0,Train
2024-12-25 22:00:00,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,below,0.95,0,0,Train
2024-12-26 08:00:00,below,0.96,0,0,below,0.93,0,0,below,0.9,0,0,below,0.86,0,0,Train
2024-12-28 02:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2024-12-28 16:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2024-12-28 22:00:00,below,0.95,0,0,below,0.92,0,0,below,0.88,0,0,below,0.83,0,0,Train
2024-12-29 01:00:00,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,below,0.95,0,0,Train
2024-12-29 04:00:00,below,0.96,0,0,below,0.94,0,0,below,0.92,0,0,below,0.89,0,0,Train
2024-12-29 13:00:00,above,0.68,1,0,above,0.58,1,0,above,0.51,1,0,above,0.43,1,0,Train
2024-12-29 17:00:00,above,0.68,1,0,above,0.58,1,0,above,0.51,1,0,above,0.44,1,0,Train
2024-12-29 19:00:00,below,0.96,0,0,below,0.93,0,0,below,0.9,0,0,below,0.86,0,0,Train
2024-12-30 23:00:00,above,0.78,1,0,above,0.71,1,0,above,0.65,1,0,above,0.58,1,0,Train
2024-12-31 13:00:00,above,0.78,1,0,above,0.71,1,0,above,0.64,1,0,above,0.57,1,0,Train
2025-01-01 04:00:00,above,0.68,1,0,above,0.58,1,0,above,0.51,1,0,above,0.44,1,0,Train
2025-01-01 06:00:00,below,0.78,0,0,below,0.71,0,0,below,0.64,0,0,below,0.57,0,0,Train
2025-01-01 11:00:00,above,0.68,1,0,above,0.57,1,0,above,0.5,1,0,above,0.4,1,0,Train
2025-01-01 15:00:00,below,0.96,0,0,below,0.93,0,0,below,0.9,0,0,below,0.86,0,0,Train
2025-01-01 20:00:00,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,below,0.95,0,0,Train
2025-01-01 21:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2025-01-02 04:00:00,above,0.78,1,0,above,0.71,1,0,above,0.64,1,0,above,0.57,1,0,Train
2025-01-02 21:00:00,above,0.68,1,0,above,0.58,1,0,above,0.51,1,0,above,0.44,1,0,Train
2025-01-03 01:00:00,above,0.68,1,0,above,0.58,1,0,below,0.48,0,0,below,0.38,0,0,Train
2025-01-04 04:00:00,above,0.68,1,0,above,0.58,1,0,above,0.5,1,0,above,0.4,1,0,Train
2025-01-04 20:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-05 02:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-05 03:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-05 07:00:00,above,0.68,1,0,above,0.57,1,0,below,0.45,0,0,below,0.35,0,0,Train
2025-01-05 11:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-05 12:00:00,above,0.68,1,0,above,0.58,1,0,below,0.48,0,0,below,0.38,0,0,Train
2025-01-05 19:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-06 02:00:00,above,0.68,1,0,above,0.58,1,0,below,0.48,0,0,below,0.38,0,0,Train
2025-01-07 03:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-08 04:00:00,above,0.68,1,0,above,0.58,1,0,above,0.5,1,0,above,0.4,1,0,Train
2025-01-08 12:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2025-01-08 16:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-09 08:00:00,above,0.78,1,0,above,0.68,1,0,above,0.61,1,0,above,0.55,1,0,Train
2025-01-09 09:00:00,above,0.68,1,0,above,0.58,1,0,below,0.48,0,0,below,0.38,0,0,Train
2025-01-09 15:00:00,below,0.68,0,0,below,0.61,0,0,below,0.55,0,0,below,0.48,0,0,Train
2025-01-09 21:00:00,below,0.68,0,0,below,0.61,0,0,below,0.54,0,0,below,0.47,0,0,Train
2025-01-11 02:00:00,above,0.78,1,0,above,0.69,1,0,above,0.61,1,0,above,0.53,1,0,Train
2025-01-11 06:00:00,below,0.99,0,0,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,Train
2025-01-11 09:00:00,below,0.99,0,0,below,0.98,0,0,below,0.97,0,0,below,0.96,0,0,Train
2025-01-11 12:00:00,below,0.99,0,0,below,0.99,0,0,below,0.98,0,0,below,0.97,0,0,Train
2025-01-11 13:00:00,below,0.99,0,0,below,0.99,0,0,below,0.98,0,0,below,0.97,0,0,Train
2025-01-12 20:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-12 23:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2025-01-13 09:00:00,below,0.97,0,0,below,0.95,0,0,below,0.93,0,0,below,0.9,0,0,Train
2025-01-14 02:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-14 03:00:00,above,0.68,1,0,above,0.57,1,0,below,0.48,0,0,below,0.39,0,0,Train
2025-01-15 04:00:00,above,0.68,1,0,above,0.57,1,0,below,0.48,0,0,below,0.39,0,0,Train
2025-01-15 11:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-15 13:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,0,Train
2025-01-15 19:00:00,above,0.68,1,0,above,0.58,1,0,below,0.48,0,0,below,0.38,0,0,Train
2025-01-16 13:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,1,Train
2025-01-16 14:00:00,above,0.85,1,0,above,0.78,1,0,above,0.7,1,0,above,0.6,1,1,Train
2025-01-16 19:00:00,above,0.85,1,0,above,0.78,1,0,above,0.7,1,0,above,0.6,1,1,Train
2025-01-16 20:00:00,above,0.78,1,0,above,0.66,1,0,above,0.57,1,0,above,0.5,1,1,Train
2025-01-17 04:00:00,above,0.85,1,0,above,0.78,1,1,above,0.7,1,1,above,0.6,1,1,Train
2025-01-17 05:00:00,above,0.78,1,0,above,0.66,1,1,above,0.57,1,1,above,0.5,1,1,Train
2025-01-17 09:00:00,above,0.85,1,1,above,0.78,1,1,above,0.7,1,1,above,0.6,1,1,Train
2025-01-17 14:00:00,above,0.94,1,1,above,0.89,1,1,above,0.83,1,1,above,0.71,1,1,Train
2025-01-18 01:00:00,above,0.96,1,1,above,0.91,1,1,above,0.86,1,1,above,0.78,1,1,Train
2025-01-18 21:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Train
2025-01-19 05:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Train
2025-01-19 13:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Train
2025-01-19 19:00:00,above,0.88,1,1,above,0.79,1,1,above,0.71,1,1,above,0.62,1,1,Train
2025-01-20 03:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-20 07:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-20 10:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-20 11:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-20 16:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Test
2025-01-20 17:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-20 19:00:00,above,0.98,1,1,above,0.95,1,1,above,0.92,1,1,above,0.88,1,1,Test
2025-01-20 20:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-21 01:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-21 02:00:00,above,0.88,1,1,above,0.79,1,1,above,0.71,1,1,above,0.62,1,1,Test
2025-01-21 07:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-21 10:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-21 15:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Test
2025-01-21 22:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-21 23:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-22 08:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Test
2025-01-22 13:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-22 19:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Test
2025-01-22 20:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-22 21:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-22 22:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-23 02:00:00,above,0.98,1,1,above,0.95,1,1,above,0.92,1,1,above,0.88,1,1,Test
2025-01-23 04:00:00,above,0.97,1,1,above,0.93,1,1,above,0.89,1,1,above,0.81,1,1,Test
2025-01-23 05:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-23 06:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.8,1,1,Test
2025-01-23 07:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-23 08:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Test
2025-01-23 11:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-23 13:00:00,above,0.92,1,1,above,0.86,1,1,above,0.8,1,1,above,0.72,1,1,Test
2025-01-23 15:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.73,1,1,Test
2025-01-23 19:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-23 21:00:00,above,0.96,1,1,above,0.92,1,1,above,0.87,1,1,above,0.78,1,1,Test
2025-01-24 01:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-24 02:00:00,above,0.96,1,1,above,0.92,1,1,above,0.87,1,1,above,0.78,1,1,Test
2025-01-24 06:00:00,above,0.98,1,1,above,0.95,1,1,above,0.92,1,1,above,0.88,1,1,Test
2025-01-24 09:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-24 14:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-24 16:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-24 18:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-24 19:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-24 20:00:00,above,0.93,1,1,above,0.88,1,1,above,0.82,1,1,above,0.75,1,1,Test
2025-01-24 22:00:00,above,0.92,1,1,above,0.87,1,1,above,0.81,1,1,above,0.68,1,1,Test
2025-01-24 23:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
2025-01-25 00:00:00,above,0.96,1,1,above,0.92,1,1,above,0.88,1,1,above,0.78,1,1,Test
