start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage
1980-06-05,1980-06-07,1980-06-07,308.5895625,3,NERC,56.5625
1980-06-27,1980-06-29,1980-06-28,309.355227272727,3,NERC,47.7272727272727
1980-07-05,1980-07-07,1980-07-06,308.832809917355,3,NERC,49.5867768595041
1980-07-06,1980-07-09,1980-07-09,309.811851851852,4,NERC,80.2469135802469
1980-07-08,1980-07-10,1980-07-08,308.424917355372,3,NERC,52.4793388429752
1980-07-08,1980-07-10,1980-07-10,312.1914375,3,NERC,41.25
1980-07-08,1980-07-12,1980-07-12,310.519798657718,5,NERC,63.758389261745
1980-07-12,1980-07-17,1980-07-13,311.097479338843,6,NERC,77.6859504132231
1980-07-12,1980-07-15,1980-07-14,308.854561403509,4,NERC,70.1754385964912
1980-07-14,1980-07-16,1980-07-14,313.05053125,3,NERC,26.25
1980-07-15,1980-07-17,1980-07-16,310.038429752066,3,NERC,58.2644628099174
1980-07-15,1980-07-19,1980-07-16,311.813580246914,5,NERC,61.1111111111111
1980-07-25,1980-08-02,1980-07-25,309.197407407407,9,NERC,77.7777777777778
1980-08-03,1980-08-05,1980-08-03,310.703085106383,3,NERC,31.9148936170213
1980-08-03,1980-08-05,1980-08-03,307.964163090129,3,NERC,51.5021459227468
1980-08-09,1980-08-12,1980-08-09,307.965,4,NERC,67.3553719008265
1980-08-10,1980-08-12,1980-08-10,305.150729613734,3,NERC,67.381974248927
1980-08-18,1980-08-21,1980-08-20,308.588993288591,4,NERC,61.0738255033557
1980-08-21,1980-08-23,1980-08-22,306.936666666667,3,NERC,38.5964912280702
1980-09-01,1980-09-03,1980-09-02,301.16447761194,3,NERC,50.7462686567164
1980-09-20,1980-09-22,1980-09-21,308.9518125,3,NERC,44.6875
1980-09-21,1980-09-23,1980-09-22,305.612685950413,3,NERC,47.5206611570248
1980-09-21,1980-09-23,1980-09-23,306.105150214592,3,NERC,54.9356223175966
1980-09-30,1980-10-05,1980-10-01,307.708148148148,6,NERC,83.3333333333333
1980-10-07,1980-10-09,1980-10-07,304.405740740741,3,NERC,50.0
1980-10-15,1980-10-17,1980-10-15,303.590531914894,3,NERC,38.2978723404255
1981-04-10,1981-04-13,1981-04-13,302.99921875,4,NERC,70.3125
1981-04-11,1981-04-13,1981-04-13,300.950201342282,3,NERC,89.261744966443
1981-04-11,1981-04-14,1981-04-13,300.088347107438,4,NERC,49.5867768595041
1981-04-17,1981-04-19,1981-04-17,302.1978125,3,NERC,46.875
1981-04-26,1981-05-01,1981-04-30,301.535,6,NERC,52.2727272727273
1981-04-29,1981-05-01,1981-04-29,302.905740740741,3,NERC,64.8148148148148
1981-06-04,1981-06-06,1981-06-05,305.156481481481,3,NERC,50.0
1981-06-04,1981-06-06,1981-06-05,303.816008583691,3,NERC,59.2274678111588
1981-06-05,1981-06-12,1981-06-09,307.66805785124,8,NERC,80.1652892561984
1981-06-07,1981-06-10,1981-06-09,308.231363636364,4,NERC,56.8181818181818
1981-06-09,1981-06-11,1981-06-09,310.768085106383,3,NERC,52.1276595744681
1981-06-09,1981-06-15,1981-06-09,307.51024691358,7,NERC,98.1481481481482
1981-06-13,1981-06-15,1981-06-14,304.83711409396,3,NERC,85.9060402684564
1981-06-14,1981-06-17,1981-06-16,308.116909871245,4,NERC,75.1072961373391
1981-06-14,1981-06-16,1981-06-15,303.116388888889,3,NERC,46.031746031746
1981-06-19,1981-06-22,1981-06-21,306.881481481482,4,NERC,64.8148148148148
1981-06-21,1981-06-23,1981-06-22,310.071818181818,3,NERC,43.1818181818182
1981-07-10,1981-07-21,1981-07-14,309.752727272727,12,NERC,83.0578512396694
1981-07-11,1981-07-13,1981-07-12,308.636540084388,3,NERC,47.8902953586498
1981-07-15,1981-07-20,1981-07-15,308.129298245614,6,NERC,82.4561403508772
1981-08-07,1981-08-09,1981-08-07,309.648518518519,3,NERC,51.8518518518519
1981-10-04,1981-10-06,1981-10-04,306.296755319149,3,NERC,29.2553191489362
1981-10-12,1981-10-17,1981-10-14,298.94796875,6,NERC,65.0
1981-10-12,1981-10-17,1981-10-14,304.17835106383,6,NERC,80.8510638297872
1982-02-15,1982-02-17,1982-02-16,300.393157894737,3,NERC,43.859649122807
1982-03-12,1982-03-20,1982-03-18,302.637234042553,9,NERC,63.8297872340426
1982-03-15,1982-03-20,1982-03-18,301.986604938272,6,NERC,93.8271604938272
1982-03-18,1982-03-20,1982-03-18,301.853553719008,3,NERC,39.2561983471074
1982-04-14,1982-04-16,1982-04-14,305.650372340426,3,NERC,35.1063829787234
1982-05-23,1982-05-25,1982-05-24,303.195,3,NERC,50.0
1982-05-29,1982-05-31,1982-05-29,306.164917355372,3,NERC,23.1404958677686
1982-05-30,1982-06-01,1982-05-30,304.058583690987,3,NERC,65.6652360515021
1982-08-20,1982-08-22,1982-08-21,302.586533333333,3,NERC,33.7777777777778
1982-08-21,1982-08-23,1982-08-21,306.988148148148,3,NERC,57.4074074074074
1982-09-12,1982-09-14,1982-09-13,306.491419753086,3,NERC,42.5925925925926
1982-09-13,1982-09-15,1982-09-14,302.759462809917,3,NERC,55.3719008264463
1982-10-06,1982-10-09,1982-10-06,303.230802469136,4,NERC,85.8024691358025
1982-10-06,1982-10-08,1982-10-06,304.351276595745,3,NERC,49.468085106383
1982-10-07,1982-10-10,1982-10-09,298.768884297521,4,NERC,83.4710743801653
1982-10-08,1982-10-10,1982-10-10,303.095991735537,3,NERC,41.7355371900826
1982-12-01,1982-12-05,1982-12-01,301.396842105263,5,NERC,47.3684210526316
1982-12-01,1982-12-04,1982-12-02,298.35512345679,4,NERC,98.1481481481482
1982-12-01,1982-12-05,1982-12-02,298.271983471074,5,NERC,100.0
1983-03-06,1983-03-08,1983-03-06,300.322280701754,3,NERC,49.1228070175439
1983-04-07,1983-04-09,1983-04-08,302.529649122807,3,NERC,47.3684210526316
1983-05-24,1983-05-29,1983-05-28,300.957822222222,6,NERC,64.0
1983-05-26,1983-05-28,1983-05-27,302.644444444444,3,NERC,55.5555555555556
1983-06-13,1983-06-15,1983-06-13,300.565820895522,3,NERC,47.7611940298507
1983-06-14,1983-06-17,1983-06-15,301.365409836066,4,NERC,72.1311475409836
1983-07-02,1983-07-04,1983-07-03,303.788908730159,3,NERC,45.8333333333333
1983-07-19,1983-07-21,1983-07-19,307.658080168776,3,NERC,69.831223628692
1983-07-20,1983-07-22,1983-07-21,307.170214592275,3,NERC,50.2145922746781
1983-07-20,1983-07-24,1983-07-23,307.870578512397,5,NERC,74.7933884297521
1983-07-20,1983-07-23,1983-07-23,309.248926174497,4,NERC,58.3892617449665
1983-07-21,1983-07-24,1983-07-24,308.262520661157,4,NERC,63.2231404958678
