start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage
1980-06-05,1980-06-07,1980-06-07,308.617036865323,3,NERC,56.25
1980-06-19,1980-06-21,1980-06-20,310.985290818521,3,NERC,16.4893617021277
1980-06-27,1980-06-29,1980-06-28,309.454819862269,3,NERC,47.7272727272727
1980-07-05,1980-07-07,1980-07-06,308.817300724315,3,NERC,52.8925619834711
1980-07-06,1980-07-09,1980-07-09,309.868025279759,4,NERC,79.6296296296296
1980-07-08,1980-07-10,1980-07-10,312.166690837376,3,NERC,38.125
1980-07-08,1980-07-10,1980-07-08,308.350511658875,3,NERC,51.6528925619835
1980-07-08,1980-07-12,1980-07-12,310.855111626924,5,NERC,60.4026845637584
1980-07-12,1980-07-17,1980-07-13,311.181971299496,6,NERC,79.3388429752066
1980-07-12,1980-07-15,1980-07-14,309.572709440498,4,NERC,73.6842105263158
1980-07-14,1980-07-16,1980-07-14,313.075878906671,3,NERC,25.3125
1980-07-15,1980-07-19,1980-07-16,311.92839950628,5,NERC,61.7283950617284
1980-07-15,1980-07-17,1980-07-16,309.962651055108,3,NERC,58.2644628099174
1980-07-25,1980-08-02,1980-07-25,308.787071713448,9,NERC,83.3333333333333
1980-08-09,1980-08-12,1980-08-10,307.909882438388,4,NERC,67.3553719008265
1980-08-10,1980-08-12,1980-08-10,305.220234665673,3,NERC,66.5236051502146
1980-08-18,1980-08-21,1980-08-20,308.857042659161,4,NERC,58.3892617449665
1980-08-21,1980-08-23,1980-08-22,307.327344023179,3,NERC,45.6140350877193
1980-09-01,1980-09-03,1980-09-02,301.414007805676,3,NERC,47.7611940298507
1980-09-21,1980-09-23,1980-09-22,305.558529081046,3,NERC,47.1074380165289
1980-09-21,1980-09-23,1980-09-23,306.17767472973,3,NERC,51.931330472103
1980-09-30,1980-10-05,1980-10-01,307.791708374359,6,NERC,83.3333333333333
1981-04-10,1981-04-13,1981-04-13,302.984703332579,4,NERC,70.9375
1981-04-11,1981-04-13,1981-04-13,301.611585678829,3,NERC,89.261744966443
1981-04-11,1981-04-13,1981-04-13,300.067490728901,3,NERC,45.8677685950413
1981-04-28,1981-05-01,1981-04-29,302.716107693972,4,NERC,75.9259259259259
1981-04-29,1981-05-01,1981-04-30,301.648074133208,3,NERC,47.7272727272727
1981-06-04,1981-06-06,1981-06-04,305.22598424737,3,NERC,57.4074074074074
1981-06-04,1981-06-06,1981-06-05,303.808987675681,3,NERC,57.9399141630901
1981-06-05,1981-06-12,1981-06-09,307.572059446057,8,NERC,83.8842975206612
1981-06-07,1981-06-10,1981-06-09,308.162071923149,4,NERC,54.5454545454545
1981-06-09,1981-06-15,1981-06-09,307.58456887097,7,NERC,98.1481481481482
1981-06-09,1981-06-11,1981-06-09,311.080787598152,3,NERC,52.1276595744681
1981-06-13,1981-06-15,1981-06-14,304.897454785789,3,NERC,83.8926174496644
1981-06-14,1981-06-16,1981-06-15,302.580481124171,3,NERC,50.3968253968254
