start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-04-19,1980-04-22,1980-04-21,302.593101265823,4,NERC,90.7172995780591,-1.0,1210.372405063292,315.248563829787,16,,
1980-04-21,1980-04-23,1980-04-22,302.72610738255,3,NERC,35.5704697986577,9.0,2118.550727210942,315.248563829787,16,,
1980-05-02,1980-05-05,1980-05-04,299.857405063291,4,NERC,76.1603375527426,49.0,3317.980347464106,315.248563829787,16,,
1980-06-23,1980-07-04,1980-06-27,315.248563829787,12,NERC,88.8297872340426,-10.0,7100.963113421551,315.248563829787,16,,
1980-06-24,1980-06-28,1980-06-27,313.386125,5,NERC,63.4375,-2.0,8667.89373842155,315.248563829787,16,,
1980-06-26,1980-06-29,1980-06-28,309.355227272727,4,NERC,50.0,1.0,9905.314647512458,315.248563829787,16,,
1980-06-30,1980-07-02,1980-07-01,312.39790625,3,NERC,52.5,2.0,10842.508366262458,315.248563829787,16,,
1980-07-04,1980-07-19,1980-07-17,313.12015625,16,NERC,80.9375,-12.0,15852.430866262457,315.248563829787,16,,
1980-07-07,1980-07-16,1980-07-15,311.70610738255,10,NERC,88.5906040268456,-9.0,18969.49194008796,315.248563829787,16,,
1980-07-07,1980-07-17,1980-07-16,310.038429752066,11,NERC,85.9504132231405,-8.0,22379.914667360685,315.248563829787,16,,
1980-07-09,1980-07-16,1980-07-13,311.097479338843,8,NERC,91.7355371900827,-7.0,24868.694502071427,315.248563829787,16,,
1980-07-09,1980-07-18,1980-07-16,311.813580246914,10,NERC,93.8271604938272,-8.0,27986.83030454057,315.248563829787,16,,
1980-07-10,1980-07-15,1980-07-14,308.854561403509,6,NERC,61.4035087719298,-2.0,29839.957672961624,315.248563829787,16,,
