start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-06-24,1980-08-21,1980-07-30,314.054187666027,59,NERC,19.375,-57.0,18529.197072295596,315.565479665148,59,,
1980-06-24,1980-08-05,1980-06-27,315.565479665148,43,NERC,39.3617021276596,-42.0,32098.51269789696,315.565479665148,59,,
1980-06-24,1980-07-01,1980-06-29,314.134430019486,8,NERC,13.6363636363636,-7.0,34611.588138052844,315.565479665148,59,,
1980-06-25,1980-07-20,1980-07-16,311.361211942797,26,NERC,51.8518518518519,-20.0,42706.97964856557,315.565479665148,59,,
1980-06-30,1980-07-22,1980-07-13,311.053151162291,23,NERC,33.8842975206612,-21.0,49861.20212529827,315.565479665148,59,,
1980-07-01,1980-07-21,1980-07-15,312.121889200017,21,NERC,48.3221476510067,-20.0,56415.76179849862,315.565479665148,59,,
1980-07-01,1980-07-21,1980-07-16,310.317735918389,21,NERC,52.0661157024794,-13.0,62932.43425278479,315.565479665148,59,,
1980-07-08,1980-07-22,1980-07-17,309.218414197251,15,NERC,42.4892703862661,-12.0,67570.71046574356,315.565479665148,59,,
1980-07-10,1980-07-16,1980-07-14,307.654936661694,7,NERC,59.6491228070175,-5.0,69724.29502237542,315.565479665148,59,,
1980-07-11,1980-07-22,1980-07-20,306.537447136225,12,NERC,52.3809523809524,-8.0,73402.7443880101,315.565479665148,59,,
1980-07-14,1980-07-23,1980-07-21,306.615094431181,10,NERC,18.0327868852459,-8.0,76468.89533232192,315.565479665148,59,,
1980-07-15,1980-07-22,1980-07-16,313.425142861407,8,NERC,13.6363636363636,-3.0,78976.29647521318,315.565479665148,59,,
1980-07-19,1980-07-23,1980-07-21,305.654518852497,5,NERC,29.8507462686567,-2.0,80504.56906947566,315.565479665148,59,,
1980-07-21,1980-08-04,1980-07-28,308.375324458478,15,NERC,51.8518518518519,-10.0,85130.19893635283,315.565479665148,59,,
1980-07-25,1980-07-31,1980-07-26,313.222457812031,7,NERC,13.6363636363636,-2.0,87322.75614103705,315.565479665148,59,,
1980-07-29,1980-08-16,1980-08-01,310.133055539517,19,NERC,46.3519313304721,-17.0,93215.28419628787,315.565479665148,59,,
1980-07-29,1980-08-05,1980-07-30,309.963715668275,8,NERC,56.3758389261745,-7.0,95694.99392163407,315.565479665148,59,,
1980-07-30,1980-08-03,1980-07-31,309.123433132153,5,NERC,47.1074380165289,-4.0,97240.61108729483,315.565479665148,59,,
1980-07-30,1980-08-09,1980-08-08,304.384101734024,11,NERC,25.3731343283582,-4.0,100588.8362063691,315.565479665148,59,,
1980-08-05,1980-08-10,1980-08-08,304.912461937144,6,NERC,55.1587301587302,-5.0,102418.31097799196,315.565479665148,59,,
1980-08-05,1980-08-10,1980-08-08,304.42174648996,6,NERC,16.3934426229508,-4.0,104244.84145693172,315.565479665148,59,,
1980-08-06,1980-08-10,1980-08-08,308.412810324534,5,NERC,71.900826446281,-4.0,105786.9055085544,315.565479665148,59,,
1980-08-06,1980-08-22,1980-08-08,308.534739741425,17,NERC,42.5619834710744,-15.0,111031.99608415863,315.565479665148,59,,
1980-08-07,1980-08-13,1980-08-10,309.888411458577,7,NERC,47.6510067114094,7.0,113201.21496436866,315.565479665148,59,,
1980-08-20,1980-08-26,1980-08-21,310.549518399923,7,NERC,46.2962962962963,-4.0,115375.06159316812,315.565479665148,59,,
1980-08-20,1980-08-23,1980-08-21,308.861017202027,4,NERC,52.4793388429752,-3.0,116610.50566197623,315.565479665148,59,,
1980-08-22,1980-08-24,1980-08-23,312.138524247631,3,NERC,34.0425531914894,36.0,117546.92123471912,315.565479665148,59,,
1980-09-29,1980-10-05,1980-10-01,308.603026570709,7,NERC,44.4444444444444,242.0,119707.14242071408,315.565479665148,59,,
1981-06-04,1981-06-23,1981-06-17,308.451469051368,20,NERC,26.3157894736842,-9.0,6169.02938102736,313.583355649707,20,-1.982124015441002,-39.0
1981-06-14,1981-06-18,1981-06-16,308.720362165482,5,NERC,36.9098712446352,-2.0,7712.63119185477,313.583355649707,20,-1.982124015441002,-39.0
1981-06-16,1981-06-26,1981-06-19,307.379664543535,11,NERC,48.1481481481482,-8.0,11093.807501833655,313.583355649707,20,-1.982124015441002,-39.0
