model,mean_predicted_probability,fraction_positives
logistic_regression,0.00021079889907999632,0.02936378466557912
logistic_regression,0.0005594900341032418,0.007748776508972268
logistic_regression,0.0010873102146364134,0.01631321370309951
logistic_regression,0.009959582680362946,0.14355628058727568
logistic_regression,0.11209387048924167,0.10766721044045677
logistic_regression,0.25577058709800965,0.05507955936352509
logistic_regression,0.48209537140505304,0.12071778140293637
logistic_regression,0.7938958053060132,0.5053017944535073
logistic_regression,0.9495146152973969,0.8421696574225123
logistic_regression,0.9956104526190883,0.964110929853181
xgboost,0.0006509693363270617,0.0
xgboost,0.0007954286213925544,0.0
xgboost,0.002156993574798987,0.026280771789753826
xgboost,0.0030541821803457964,0.037407797681770286
xgboost,0.012522744167348202,0.14846278317152103
xgboost,0.09966204760712571,0.3548519736842105
xgboost,0.27856514641545504,0.37394451145958985
xgboost,0.6232518025042093,0.9634946677604594
xgboost,0.749201993662634,0.9
