model,accuracy,f1,precision,recall,n_evaluated
Week3 logistic_regression,0.8546,0.7661,0.6953,0.8529,24519
Week3 xgboost,0.8839,0.7504,0.9384,0.6252,24519
LLM gemma-3-12b-it (few_shot_v3) [parsed-only],0.6767,0.6275,0.4625,0.9756,24519
LLM gemma-3-12b-it (few_shot_v3) [worst-case],0.6767,0.6275,0.4625,0.9756,24519
LLM gemma-3-12b-it (zero_shot_v2) [parsed-only],0.405,0.4772,0.3162,0.9727,24519
LLM gemma-3-12b-it (zero_shot_v2) [worst-case],0.405,0.4772,0.3162,0.9727,24519
LLM phi-3.5-mini-instruct (few_shot_v3) [parsed-only],0.6309,0.5756,0.4239,0.8964,24519
LLM phi-3.5-mini-instruct (few_shot_v3) [worst-case],0.6309,0.5756,0.4239,0.8964,24519
LLM phi-3.5-mini-instruct (zero_shot_v2) [parsed-only],0.285,0.4385,0.2808,0.9997,24519
LLM phi-3.5-mini-instruct (zero_shot_v2) [worst-case],0.285,0.4385,0.2808,0.9997,24519
LLM phi-mini-moe-instruct (few_shot_v3) [parsed-only],0.2793,0.4366,0.2792,1.0,24519
LLM phi-mini-moe-instruct (few_shot_v3) [worst-case],0.2793,0.4366,0.2792,1.0,24519
LLM phi-mini-moe-instruct (zero_shot_v2) [parsed-only],0.2792,0.4365,0.2792,1.0,24519
LLM phi-mini-moe-instruct (zero_shot_v2) [worst-case],0.2792,0.4365,0.2792,1.0,24519
