"file_name","file_type","folder","description"
"cold_snap_library_NERC_average_pop_def9.csv","csv","extreme_data_raw","cold snap extreme event raw data for definition 9, area as average population"
"Event definitions.docx","docx","extreme_data_raw","area and event type descriptions from original data source"
"heat_wave_library_NERC_average_pop_def9.csv","csv","extreme_data_raw","heat wave extreme event raw data for definition 9, area as average population"
"jurisdiction_nerc_subregion_v1.gpkg","gpkg","extreme_data_raw","geopackage of NERC subregions for output mapping"
"cold_snap_impact_timeseries.csv","csv","extreme_data_clean","impact timeseries of cold snap extreme event by region"
"data_clean.csv","csv","extreme_data_clean","clean data with added features"
"data_dictionary.csv","csv","extreme_data_clean","Data dictionary for project."
"heat_wave_impact_timeseries.csv","csv","extreme_data_clean","impact timeseries of heat wave extreme event by region"
"README.csv","csv","extreme_data_clean","Describes all the files in the project."
"region_yr_extreme_count.csv","csv","extreme_data_clean","clean data summary, new feature counts of extreme events by region, year, and type"
"data_clean.R",".R","extreme_scripts_R","An R script that takes the raw data csv files, cleans them, adds new features, and writes to extreme_data_clean_folder."
"extreme_DD.R",".R","extreme_scripts_R","An R script that makes the data dictionary from the raw data files, clean data files, and R scripts."
