date,NERC1,NERC2,NERC3,NERC4,NERC5,NERC6,NERC7,NERC8,NERC9,NERC10,NERC11,NERC12,NERC15,NERC17,NERC18,NERC20
1980-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,731.92,-1.0
1980-05-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,731.92,-1.0
1980-06-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3826.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3826.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3243.68
1980-06-07,-1.0,-1.0,1176.84,-1.0,-1.0,-1.0,-1.0,3826.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3243.68
1980-06-08,-1.0,-1.0,1176.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1030.51,-1.0
1980-06-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1030.51,-1.0
1980-06-18,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-19,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-20,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-21,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-22,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-06-23,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6642.64,-1.0
1980-06-24,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,10525.49,4940.48,-1.0,-1.0,-1.0,-1.0,-1.0,6642.64,-1.0
1980-06-25,-1.0,-1.0,39068.95,-1.0,2603.92,-1.0,-1.0,10525.49,4940.48,-1.0,-1.0,-1.0,-1.0,-1.0,6642.64,-1.0
1980-06-26,-1.0,-1.0,39068.95,-1.0,2603.92,-1.0,1924.61,10525.49,4940.48,-1.0,-1.0,-1.0,-1.0,-1.0,6642.64,7082.65
1980-06-27,2632.85,-1.0,39068.95,-1.0,2603.92,-1.0,1924.61,10525.49,4940.48,-1.0,-1.0,-1.0,-1.0,-1.0,6642.64,7082.65
1980-06-28,2632.85,2225.95,39068.95,-1.0,-1.0,-1.0,-1.0,10525.49,-1.0,-1.0,2799.66,-1.0,-1.0,-1.0,-1.0,7082.65
1980-06-29,2632.85,2225.95,39068.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2799.66,2050.37,-1.0,-1.0,-1.0,7082.65
1980-06-30,2632.85,2225.95,39068.95,-1.0,-1.0,-1.0,1540.77,-1.0,-1.0,-1.0,-1.0,2050.37,-1.0,-1.0,-1.0,-1.0
1980-07-01,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,1540.77,47955.8,6924.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980-07-02,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,47955.8,6924.49,-1.0,8184.36,-1.0,-1.0,-1.0,-1.0,-1.0
1980-07-03,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,47955.8,6924.49,-1.0,8184.36,5469.85,-1.0,-1.0,-1.0,-1.0
1980-07-04,-1.0,-1.0,39068.95,-1.0,-1.0,-1.0,-1.0,47955.8,6924.49,7235.05,8184.36,5469.85,-1.0,1224.98,-1.0,30970.64
1980-07-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3062.0,47955.8,-1.0,7235.05,8184.36,5469.85,-1.0,1224.98,-1.0,30970.64
1980-07-06,680.49,-1.0,-1.0,-1.0,-1.0,-1.0,3062.0,47955.8,7280.75,7235.05,8184.36,5469.85,-1.0,-1.0,-1.0,30970.64
1980-07-07,680.49,-1.0,1583.9,1642.88,-1.0,-1.0,3062.0,47955.8,7280.75,7235.05,-1.0,-1.0,-1.0,-1.0,17204.24,30970.64
