start_date,end_date,centroid_date,lowest_temperature,duration,NERC_ID,spatial_coverage
1980-01-07,1980-01-12,1980-01-09,245.751274941073,6,NERC18,73.2067510548523
1980-01-23,1980-02-04,1980-01-29,246.192652631364,13,NERC18,98.5232067510549
1980-02-06,1980-02-12,1980-02-12,248.518962502368,7,NERC18,94.5147679324895
1980-02-16,1980-02-18,1980-02-17,244.622506971734,3,NERC18,97.8902953586498
1980-02-25,1980-02-27,1980-02-26,249.432152246483,3,NERC18,54.4303797468355
1980-02-29,1980-03-02,1980-02-29,246.017993365743,3,NERC18,95.5696202531646
1980-03-05,1980-03-06,1980-03-06,250.761465397316,2,NERC18,61.1814345991561
1980-12-02,1980-12-03,1980-12-03,255.094181243181,2,NERC18,36.2869198312236
1980-12-19,1980-12-21,1980-12-20,248.655286110692,3,NERC18,78.4810126582278
1980-12-24,1980-12-25,1980-12-25,247.376264079521,2,NERC18,79.957805907173
1981-01-03,1981-01-05,1981-01-04,247.648089092858,3,NERC18,64.9789029535865
1981-01-07,1981-01-12,1981-01-10,248.105850063737,6,NERC18,71.3080168776371
1981-01-16,1981-01-17,1981-01-16,252.698736351797,2,NERC18,58.8607594936709
1981-01-29,1981-01-30,1981-01-29,254.646104853477,2,NERC18,41.5611814345992
1981-02-02,1981-02-06,1981-02-03,246.97859483507,5,NERC18,84.5991561181435
1981-02-08,1981-02-13,1981-02-11,239.901461878157,6,NERC18,100
1981-12-15,1981-12-20,1981-12-18,248.001046030439,6,NERC18,87.5527426160338
1981-12-23,1981-12-25,1981-12-23,253.14533214793,3,NERC18,48.1012658227848
1981-12-28,1981-12-30,1981-12-29,249.955629717097,3,NERC18,71.5189873417722
1982-01-01,1982-01-21,1982-01-17,231.428978638604,21,NERC18,100
1982-01-23,1982-01-26,1982-01-24,240.102498135164,4,NERC18,94.9367088607595
1982-01-28,1982-02-13,1982-02-06,237.21036535134,17,NERC18,99.367088607595
1982-02-25,1982-02-26,1982-02-25,253.492851690272,2,NERC18,45.1476793248945
1982-03-05,1982-03-09,1982-03-07,246.871937781741,5,NERC18,78.2700421940928
1982-12-29,1982-12-30,1982-12-30,251.32727349374,2,NERC18,65.1898734177215
1983-01-15,1983-01-19,1983-01-18,250.202343117515,5,NERC18,66.8776371308017
1983-01-25,1983-01-27,1983-01-27,248.046489137918,3,NERC18,66.0337552742616
1983-02-03,1983-02-07,1983-02-04,245.029941807878,5,NERC18,82.0675105485232
1983-11-30,1983-12-01,1983-12-01,252.553799456208,2,NERC18,58.6497890295359
1983-12-06,1983-12-10,1983-12-08,252.047446246903,5,NERC18,71.9409282700422
1983-12-16,1983-12-31,1983-12-19,234.262428577817,16,NERC18,99.367088607595
1984-01-10,1984-01-22,1984-01-20,234.668695335068,13,NERC18,100
1984-01-29,1984-01-31,1984-01-31,253.591939952367,3,NERC18,31.8565400843882
1984-02-05,1984-02-08,1984-02-06,243.688399086366,4,NERC18,83.3333333333333
1984-03-06,1984-03-12,1984-03-11,249.601072348036,7,NERC18,72.5738396624473
1984-12-24,1984-12-25,1984-12-25,249.104926603826,2,NERC18,75.7383966244726
1985-01-01,1985-01-03,1985-01-02,247.263301609339,3,NERC18,78.9029535864979
1985-01-08,1985-01-09,1985-01-08,252.531862534609,2,NERC18,51.4767932489452
1985-01-11,1985-01-12,1985-01-12,250.182027580801,2,NERC18,87.1308016877637
1985-01-14,1985-01-15,1985-01-15,248.436273041464,2,NERC18,62.4472573839663
1985-01-17,1985-01-21,1985-01-20,237.09640461323,5,NERC18,98.9451476793249
1985-01-25,1985-02-08,1985-02-01,238.775417387428,15,NERC18,99.789029535865
1985-02-11,1985-02-15,1985-02-15,244.054908270142,5,NERC18,81.2236286919831
1985-12-02,1985-12-03,1985-12-03,243.139888630029,2,NERC18,92.8270042194093
1985-12-11,1985-12-21,1985-12-13,239.794951963353,11,NERC18,99.1561181434599
1985-12-24,1985-12-31,1985-12-25,242.540774031625,8,NERC18,94.9367088607595
