region,year,cold_dur_temp11,cold_dur_temp12,cold_dur_temp13,cold_dur_temp14,cold_dur_temp21,cold_dur_temp22,cold_dur_temp23,cold_dur_temp24,cold_dur_temp31,cold_dur_temp32,cold_dur_temp33,cold_dur_temp34,cold_dur_temp41,cold_dur_temp42,cold_dur_temp43,cold_dur_temp44,heat_dur_temp11,heat_dur_temp12,heat_dur_temp13,heat_dur_temp14,heat_dur_temp21,heat_dur_temp22,heat_dur_temp23,heat_dur_temp24,heat_dur_temp31,heat_dur_temp32,heat_dur_temp33,heat_dur_temp34,heat_dur_temp41,heat_dur_temp42,heat_dur_temp43,heat_dur_temp44
NERC1,1980,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1
NERC1,1981,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0
NERC1,1982,0,0,0,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0
NERC1,1983,0,2,0,1,0,2,1,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0
NERC1,1984,0,0,2,1,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0
NERC1,1985,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
NERC1,1986,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NERC1,1987,0,0,0,1,0,0,1,0,1,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NERC1,1988,0,0,2,1,0,2,0,2,1,0,2,0,1,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
NERC1,1989,1,1,0,3,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1
NERC1,1990,0,0,1,2,0,1,1,0,0,3,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1
NERC1,1991,0,0,1,2,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NERC1,1992,0,0,1,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
NERC1,1993,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
NERC1,1994,0,2,0,2,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
NERC1,1995,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
NERC1,1996,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
NERC1,1997,0,1,0,2,0,0,0,0,1,0,1,0,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0
NERC1,1998,0,0,0,4,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
NERC1,1999,1,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
NERC1,2000,0,0,1,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
NERC1,2001,0,0,0,2,0,0,0,0,1,0,1,0,3,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
NERC1,2002,0,0,2,0,0,0,2,0,1,0,1,0,2,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0
NERC1,2003,0,1,0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2
NERC1,2004,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
NERC1,2005,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
NERC1,2006,0,0,1,1,0,1,0,1,0,1,2,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
NERC1,2007,0,1,0,1,0,2,0,1,0,1,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
NERC1,2008,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1
NERC1,2009,0,0,1,1,0,1,1,0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1
NERC1,2010,1,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
NERC1,2011,0,1,2,3,0,0,0,0,1,0,0,0,3,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1
NERC1,2012,0,0,3,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1
NERC1,2013,0,0,0,1,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1
NERC1,2014,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
NERC1,2015,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1
NERC1,2016,0,0,0,1,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
NERC1,2017,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1
NERC1,2018,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
NERC1,2019,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0
NERC1,2020,0,0,0,0,0,1,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
NERC1,2021,0,0,0,0,0,1,2,3,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,2
NERC1,2022,0,0,0,0,0,0,1,1,1,0,1,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
NERC1,2023,0,0,0,0,0,0,2,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1
NERC1,2024,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
NERC10,1980,0,1,0,1,1,0,1,0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
NERC10,1981,0,0,1,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,1
NERC10,1982,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0
NERC10,1983,0,1,0,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
NERC10,1984,0,0,0,1,1,2,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
NERC10,1985,0,3,1,0,1,0,0,0,1,0,0,0,4,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NERC10,1986,0,2,2,2,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
NERC10,1987,1,0,5,4,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1
NERC10,1988,0,0,1,0,0,2,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
NERC10,1989,0,0,0,2,0,1,0,2,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0
NERC10,1990,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,3
NERC10,1991,0,2,0,2,1,1,1,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
NERC10,1992,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
NERC10,1993,0,1,2,3,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1
NERC10,1994,0,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NERC10,1995,0,0,3,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,2
NERC10,1996,0,2,2,2,0,0,0,0,0,1,0,1,5,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0
NERC10,1997,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
NERC10,1998,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,0,0,0,1
NERC10,1999,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0
NERC10,2000,0,1,1,1,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NERC10,2001,0,1,3,1,0,0,0,0,0,1,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
NERC10,2002,0,0,1,2,0,0,0,0,2,1,2,0,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0
NERC10,2003,0,2,1,2,0,0,0,0,0,0,2,0,2,1,0,0,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0
NERC10,2004,0,0,0,1,0,0,0,0,2,3,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0
NERC10,2005,0,0,1,2,0,0,0,0,1,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
NERC10,2006,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2
NERC10,2007,0,0,3,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1
NERC10,2008,0,1,0,1,1,0,0,4,2,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
NERC10,2009,0,0,0,0,0,2,0,1,0,0,0,2,4,0,1,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
NERC10,2010,0,0,0,0,0,0,3,3,1,0,0,0,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NERC10,2011,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
NERC10,2012,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0
NERC10,2013,0,0,0,0,0,2,3,3,0,0,2,1,0,2,1,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
