region,year,extreme_type,ground_truth,llm_prediction,regression_prediction,llm_diff,regression_diff,llm_confidence,parse_ok,parse_error
N1,2019,c11,0.0,0.0,0.0545498556090307,0.0,0.0545498556090307,0.9,True,
N1,2019,c12,0.0,0.0,0.318950590260678,0.0,0.318950590260678,0.8,True,
N1,2019,c13,0.0,0.0,0.730280288722083,0.0,0.730280288722083,0.7,True,
N1,2019,c14,0.0,1.0,1.06172180492464,1.0,1.06172180492464,0.6,True,
N1,2019,c21,0.0,0.0,0.201428560473058,0.0,0.201428560473058,0.7,True,
N1,2019,c22,0.0,0.0,0.437443371609206,0.0,0.437443371609206,0.6,True,
N1,2019,c23,1.0,1.0,0.448987579512675,0.0,-0.551012420487325,0.5,True,
N1,2019,c24,1.0,0.0,0.384841199590503,-1.0,-0.615158800409497,0.4,True,
N1,2019,c31,2.0,1.0,0.496664455846098,-1.0,-1.503335544153902,0.5,True,
N1,2019,c32,1.0,0.0,0.577464266846849,-1.0,-0.42253573315315096,0.3,True,
N1,2019,c33,1.0,0.0,0.432495507645523,-1.0,-0.567504492354477,0.2,True,
N1,2019,c34,0.0,0.0,0.19601822378956,0.0,0.19601822378956,0.1,True,
N1,2019,c41,1.0,1.0,1.17986360917935,0.0,0.17986360917934996,0.4,True,
N1,2019,c42,1.0,0.0,0.473658136257773,-1.0,-0.526341863742227,0.2,True,
N1,2019,c43,0.0,0.0,0.153363669904111,0.0,0.153363669904111,0.1,True,
N1,2019,c44,0.0,0.0,0.0161772861373735,0.0,0.0161772861373735,0.1,True,
N1,2020,c11,0.0,0.0,0.0516277693927111,0.0,0.0516277693927111,0.9,True,
N1,2020,c12,0.0,0.0,0.307100209735889,0.0,0.307100209735889,0.8,True,
N1,2020,c13,0.0,1.0,0.70396557526379,1.0,0.70396557526379,0.7,True,
N1,2020,c14,0.0,1.0,1.02525767066136,1.0,1.02525767066136,0.6,True,
N1,2020,c21,0.0,0.0,0.194035940472988,0.0,0.194035940472988,0.7,True,
N1,2020,c22,1.0,0.0,0.43786901310752,-1.0,-0.56213098689248,0.6,True,
N1,2020,c23,2.0,1.0,0.457486590691201,-1.0,-1.5425134093087989,0.5,True,
N1,2020,c24,3.0,0.0,0.408246477232533,-3.0,-2.591753522767467,0.4,True,
N1,2020,c31,1.0,1.0,0.497658524810538,0.0,-0.5023414751894619,0.8,True,
N1,2020,c32,0.0,0.0,0.588589280820919,0.0,0.588589280820919,0.5,True,
N1,2020,c33,2.0,0.0,0.441785293980524,-2.0,-1.558214706019476,0.4,True,
