region,year,model_label,model_name,endpoint_port,version,few_shot,correct %,MAE,confidence,parse_ok,parse_error,raw_response (first 100 char)
N1,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.375,0.44375,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N1,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.6875,0.5625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [1.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N1,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.75,0.5375000000000001,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [1.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N1,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.4375,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N1,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.625,0.710625,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [1.0, 0.85], ""c21"": [0.0..."
N1,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.4375,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [1.0, 0.95], ""c14"": [1.0, 0.95], ""c21"": [0.0..."
N10,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.5,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N10,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.4375,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N10,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.25,0.5125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N10,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.75,0.53125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
