,source_dataset,time_raw,time,net_flow,injection_pressure,tl_interval_pressure,tl_bottom_pressure,tn_interval_pressure,tn_bottom_pressure,tc_interval_pressure,tc_bottom_pressure,tu_interval_pressure,tu_bottom_pressure,ts_interval_pressure,ts_bottom_pressure,flag_duplicate_timestamp,flag_time_gap_gt_expected,tc_injecting,tc_producing,delta_P_delta_Q
0,ftes_1hour,12/10/2024 21:00,2024-12-10T21:00:00,-1.773061394,-1.77952355,-0.341902884,-0.266840143,-0.411991491,-0.000139816,-1.781561701,-0.144135733,-3.385610346,-0.389905241,-0.405437538,-0.365705362,FALSE,FALSE,0,0,-0.000598222
1,ftes_1hour,12/10/2024 22:00,2024-12-10T22:00:00,-1.772745158,-1.779363273,-0.342045121,-0.26688755,-0.411954603,-0.001021231,-1.781568893,-0.144160856,-3.253497394,-0.389546081,-0.405396783,-0.36703323,FALSE,FALSE,0,0,0.017808769
2,ftes_1hour,12/10/2024 23:00,2024-12-10T23:00:00,-1.773554149,-1.779164572,-0.342046393,-0.264707179,-0.411950963,-0.0012058,-1.781428329,-0.144314162,-3.007755842,-0.388740252,-0.405327863,-0.36623033,FALSE,FALSE,0,0,-0.009518464
3,ftes_1hour,12/11/2024 0:00,2024-12-11T00:00:00,-1.773569257,-1.77928562,-0.34191027,-0.263944324,-0.411952598,-0.0019798,-1.781603551,-0.145182929,-3.25946157,-0.389126292,-0.405271719,-0.366550596,FALSE,FALSE,0,0,0.290378702
4,ftes_1hour,12/11/2024 1:00,2024-12-11T01:00:00,-1.773623958,-1.779273694,-0.342023043,-0.264034788,-0.411996023,-0.001495876,-1.781640246,-0.145146855,-3.277161516,-0.389619876,-0.405245993,-0.366733401,FALSE,FALSE,0,0,-0.008516642
5,ftes_1hour,12/11/2024 2:00,2024-12-11T02:00:00,-1.773325299,-1.779271799,-0.342366611,-0.263949832,-0.412071362,-0.002667839,-1.781838746,-0.146245439,-3.284977874,-0.389488609,-0.405245775,-0.366745074,FALSE,FALSE,0,0,-0.0003678
6,ftes_1hour,12/11/2024 3:00,2024-12-11T03:00:00,-1.773242167,-1.779346813,-0.342366443,-0.260538864,-0.412057425,-0.001243429,-1.781920789,-0.145775388,-3.28946743,-0.3878228,-0.40520158,-0.367376317,FALSE,FALSE,0,0,-0.033369602
7,ftes_1hour,12/11/2024 4:00,2024-12-11T04:00:00,-1.773264431,-1.779398308,-0.342328444,-0.260488934,-0.412110493,-0.000889733,-1.781889852,-0.146430018,-3.29287009,-0.387364917,-0.405211021,-0.367030064,FALSE,FALSE,0,0,0.083401784
8,ftes_1hour,12/11/2024 5:00,2024-12-11T05:00:00,-1.773680995,-1.779306129,-0.342373819,-0.262389273,-0.412011313,-0.001465448,-1.781675324,-0.146010881,-3.295132435,-0.387314397,-0.405249382,-0.367228762,FALSE,FALSE,0,0,-0.008634809
9,ftes_1hour,12/11/2024 6:00,2024-12-11T06:00:00,-1.773928507,-1.779748658,-0.342350186,-0.26221781,-0.412123291,-0.002767454,-1.781647297,-0.145182387,-3.296297399,-0.387088477,-0.405212516,-0.36690946,FALSE,FALSE,0,0,0.064335012
10,ftes_1hour,12/11/2024 7:00,2024-12-11T07:00:00,-1.773677608,-1.779745735,-0.342398573,-0.262299673,-0.412128375,-0.00277456,-1.781729203,-0.145080076,-3.297535691,-0.38742522,-0.40517184,-0.36725284,FALSE,FALSE,0,0,-0.000175124
11,ftes_1hour,12/11/2024 8:00,2024-12-11T08:00:00,-1.773586682,-1.779729434,-0.342469895,-0.259963008,-0.412151096,-0.002790502,-1.781753528,-0.145301361,-3.297849181,-0.387115554,-0.405139627,-0.367043952,FALSE,FALSE,0,0,0.005912529
12,ftes_1hour,12/11/2024 9:00,2024-12-11T09:00:00,-1.773781463,-1.779440663,-0.342506602,-0.261137777,-0.412162026,-0.004246842,-1.781994426,-0.145154699,-3.297685345,-0.386842479,-0.405108282,-0.367137611,FALSE,FALSE,0,0,-0.054441
13,ftes_1hour,12/11/2024 10:00,2024-12-11T10:00:00,-1.773586313,-1.77973013,-0.342358704,-0.259933066,-0.412128162,-0.003637127,-1.781966759,-0.146098234,-3.297305179,-0.386927517,-0.405153903,-0.367261654,FALSE,FALSE,0,0,-0.054468823
14,ftes_1hour,12/11/2024 11:00,2024-12-11T11:00:00,-1.773670137,-1.779660021,-0.342374783,-0.258273887,-0.412198712,-0.004772061,-1.781979995,-0.145414165,-3.297791705,-0.387013509,-0.405233989,-0.367766241,FALSE,FALSE,0,0,-0.030974208
15,ftes_1hour,12/11/2024 12:00,2024-12-11T12:00:00,-1.773308903,-1.779588462,-0.342476594,-0.260830037,-0.412211593,-0.003252054,-1.78176549,-0.144346338,-3.298298231,-0.387335777,-0.405174036,-0.366903947,FALSE,FALSE,0,0,0.006596174
