"NERC_ID","MAE_m5.2","MAE_m5.4","n","delta_MAE"
"NERC6",0.46518743879095,0.452168988028387,96,-0.0130184507625639
"NERC1",0.469092595557529,0.466223013684927,96,-0.0028695818726025
"NERC18",0.580399440298746,0.572771265358793,96,-0.00762817493995349
"NERC20",0.577499165394221,0.573450038038769,96,-0.00404912735545182
"NERC2",0.596566747571827,0.597439531565636,96,0.000872783993808413
"NERC17",0.613194299455951,0.602485798048063,96,-0.0107085014078883
"NERC7",0.614528553208642,0.614717930873119,96,0.000189377664477686
"NERC8",0.630546270962708,0.628087610091791,96,-0.00245866087091651
"NERC15",0.658953322529456,0.660913584910037,96,0.00196026238058034
"NERC5",0.65838960538917,0.66433028617772,96,0.00594068078854915
"NERC4",0.658665579438921,0.67113550925803,96,0.0124699298191095
"NERC3",0.678019391795737,0.682611897496853,96,0.00459250570111558
"NERC12",0.683791704385131,0.684208040254267,96,0.000416335869136475
"NERC11",0.684986146395847,0.685483143820126,96,0.000496997424279444
"NERC9",0.724875935756815,0.728938237590074,96,0.00406230183325917
"NERC10",0.734213361806638,0.738257137527072,96,0.0040437757204338
