water_year,month,cal_year,cal_month,mean_flow_cfs,volume_kcfs_days
1928,Jul,1928,7,275021.0,8525.651
1928,Aug,1928,8,131011.0,4061.341
1928,Sep,1928,9,80378.0,2411.34
1929,Oct,1928,10,75075.0,2327.325
1929,Nov,1928,11,70854.0,2125.62
1929,Dec,1928,12,58489.0,1813.159
1929,Jan,1929,1,51699.0,1602.669
1929,Feb,1929,2,54100.0,1514.8
1929,Mar,1929,3,85228.0,2642.068
1929,Apr,1929,4,98673.0,2960.19
1929,May,1929,5,272133.0,8436.123
1929,Jun,1929,6,380051.0,11401.53
1929,Jul,1929,7,175207.0,5431.417
1929,Aug,1929,8,112114.0,3475.534
1929,Sep,1929,9,70998.0,2129.94
1930,Oct,1929,10,54882.0,1701.342
1930,Nov,1929,11,50320.0,1509.6
1930,Dec,1929,12,57567.0,1784.577
1930,Jan,1930,1,38914.0,1206.334
1930,Feb,1930,2,87348.0,2445.744
1930,Mar,1930,3,74378.0,2305.718
1930,Apr,1930,4,188787.0,5663.61
1930,May,1930,5,255212.0,7911.572
1930,Jun,1930,6,305697.0,9170.91
1930,Jul,1930,7,197653.0,6127.243
1930,Aug,1930,8,122237.0,3789.347
1930,Sep,1930,9,78792.0,2363.76
1931,Oct,1930,10,62106.0,1925.286
1931,Nov,1930,11,58421.0,1752.63
1931,Dec,1930,12,50814.0,1575.234
1931,Jan,1931,1,51674.0,1601.894
1931,Feb,1931,2,58324.0,1633.072
1931,Mar,1931,3,81113.0,2514.503
1931,Apr,1931,4,135850.0,4075.5
1931,May,1931,5,292376.0,9063.656
1931,Jun,1931,6,269197.0,8075.91
1931,Jul,1931,7,159475.0,4943.725
1931,Aug,1931,8,100456.0,3114.136
1931,Sep,1931,9,78545.0,2356.35
1932,Oct,1931,10,58575.0,1815.825
1932,Nov,1931,11,64194.0,1925.82
1932,Dec,1931,12,55384.0,1716.904
1932,Jan,1932,1,58736.0,1820.816
1932,Feb,1932,2,58839.0,1706.331
1932,Mar,1932,3,171601.0,5319.631
1932,Apr,1932,4,260603.0,7818.09
1932,May,1932,5,487061.0,15098.891
1932,Jun,1932,6,478715.0,14361.45
1932,Jul,1932,7,242490.0,7517.19
1932,Aug,1932,8,136913.0,4244.303
1932,Sep,1932,9,83978.0,2519.34
1933,Oct,1932,10,67909.0,2105.179
1933,Nov,1932,11,97122.0,2913.66
1933,Dec,1932,12,90151.0,2794.681
1933,Jan,1933,1,82402.0,2554.462
1933,Feb,1933,2,62228.0,1742.384
1933,Mar,1933,3,93146.0,2887.526
1933,Apr,1933,4,169529.0,5085.87
1933,May,1933,5,359619.0,11148.189
1933,Jun,1933,6,667105.0,20013.15
1933,Jul,1933,7,345593.0,10713.383
1933,Aug,1933,8,168349.0,5218.819
1933,Sep,1933,9,103528.0,3105.84
1934,Oct,1933,10,98977.0,3068.287
1934,Nov,1933,11,150225.0,4506.75
1934,Dec,1933,12,209983.0,6509.473
1934,Jan,1934,1,197951.0,6136.481
1934,Feb,1934,2,139052.0,3893.456
1934,Mar,1934,3,167415.0,5189.865
1934,Apr,1934,4,366878.0,11006.34
1934,May,1934,5,435121.0,13488.751
1934,Jun,1934,6,330802.0,9924.06
1934,Jul,1934,7,179010.0,5549.31
1934,Aug,1934,8,120110.0,3723.41
1934,Sep,1934,9,77421.0,2322.63
1935,Oct,1934,10,67232.0,2084.192
1935,Nov,1934,11,107081.0,3212.43
1935,Dec,1934,12,84742.0,2627.002
1935,Jan,1935,1,83255.0,2580.905
1935,Feb,1935,2,100678.0,2818.984
1935,Mar,1935,3,95319.0,2954.889
1935,Apr,1935,4,153525.0,4605.75
1935,May,1935,5,345467.0,10709.477
1935,Jun,1935,6,436255.0,13087.65
1935,Jul,1935,7,274294.0,8503.114
1935,Aug,1935,8,142065.0,4404.015
1935,Sep,1935,9,86412.0,2592.36
1936,Oct,1935,10,62478.0,1936.818
1936,Nov,1935,11,58808.0,1764.24
1936,Dec,1935,12,52347.0,1622.757
1936,Jan,1936,1,61295.0,1900.145
