water_year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,AVE
1928,,,,,,,,,,314355,172871,103740,
1929,87184,79680,65639,58768,58071,86600,104760,214645,384100,219710,136677,94437,132770
1930,69429,62690,62903,48735,83175,75590,147233,247774,296633,230581,149097,100847,131393
1931,76471,64450,59352,54871,56921,76187,132800,245774,272600,193839,126677,99463,121922
1932,70674,65970,59345,64810,59490,158742,236667,441871,479900,308032,164871,112650,185518
1933,78758,93193,94990,90493,70225,94664,152433,310806,619600,422580,211613,130800,197995
1934,103226,146433,191290,214935,156214,156129,295900,422935,379900,216871,148258,102873,211480
1935,74481,97960,93171,85803,105832,97645,143643,289064,439966,312258,188000,112227,170220
1936,77084,64867,56832,63552,55893,91103,201297,431419,414633,212903,137548,97867,158919
1937,70126,57827,52384,42426,51421,69816,117583,244000,348866,246161,142290,97673,128717
1938,72816,92810,99035,96310,87086,134903,228633,395322,513633,312193,140935,103940,190153
1939,92164,75477,68990,68174,66514,107323,183967,347129,305700,233387,143097,98813,149724
1940,76903,86070,81523,73332,88907,133419,209500,272419,317400,206581,127419,108233,148453
1941,92774,95093,81590,80771,82764,105768,148267,238548,245433,141548,123000,123133,130025
1942,121387,123600,164484,111684,112893,103568,197867,268064,388166,282129,161129,104877,178581
1943,82974,87713,102184,109442,117114,124484,334933,355226,487800,396000,185742,101187,207303
1944,88223,88650,76984,77855,76017,79977,98350,174193,290000,169452,123410,92263,119605
1945,87390,81757,73042,81771,90650,89645,115743,290806,426066,247484,128629,94653,150813
1946,76161,86770,89816,109032,87714,139097,237200,456774,495366,296742,157484,115383,196098
1947,93332,92097,144864,102139,124071,137097,192400,455096,454933,269742,151193,102537,193672
1948,125997,131700,112564,121942,115493,109113,175933,476129,835666,318903,180581,124367,235468
1949,99800,90130,88313,82674,112411,151226,223733,487774,408600,191581,127161,94863,180142
1950,86490,87433,99732,97810,127989,161000,214800,334032,592900,487161,192000,120457,217141
1951,109110,134333,142322,154710,195286,166290,253100,468355,458400,344806,179387,109667,226431
1952,121790,111660,115500,119226,131207,148419,254800,464161,406200,265097,142097,95997,198168
1953,85997,84850,80771,112235,139786,137581,155767,251935,509900,320064,155452,118767,179336
1954,100852,102277,103903,112387,124678,131839,159067,376580,502766,421419,215355,151933,209054
1955,109619,112767,103219,102164,108429,118645,142500,200581,448066,403387,181258,113467,178973
1956,103316,124800,152935,153903,129241,167839,339966,530000,639133,306032,158677,115400,243390
1957,109355,109367,112968,112558,120293,154852,188867,517742,479433,203290,125871,96233,194578
1958,99548,95333,96645,99968,148928,152129,210233,395516,453433,201226,120645,96533,180745
1959,99277,109933,128774,146677,144714,159387,209333,349032,511500,359419,166258,152700,211588
1960,174839,162700,143032,117387,125241,132490,261400,299290,386166,287484,151361,102483,195347
1961,96568,105493,94699,101098,165323,162327,174853,335319,591086,229449,123375,93195,189029
1962,92573,91742,89625,109195,128287,112227,215965,305066,395386,238190,156231,97283,169314
1963,108703,115715,137623,126703,163441,129886,167135,259958,392726,250273,138956,100297,174158
1964,91615,90521,95110,93225,108159,104889,139327,288866,576908,354701,162094,105642,184191
1965,121034,107693,165920,172747,234620,184518,244738,402796,486129,292590,167857,115579,224452
1966,107361,107288,114385,117272,122020,129912,149973,261842,336905,260053,135930,98691,162005
1967,96580,99518,116036,126263,131502,136205,146357,253960,578122,347487,154495,108822,191311
