water_year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,AVE
1928,,,,,,,,,,275021,131011,80378,
1929,75075,70854,58489,51699,54100,85228,98673,272133,380051,175207,112114,70998,125645
1930,54882,50320,57567,38914,87348,74378,188787,255212,305697,197653,122237,78792,125972
1931,62106,58421,50814,51674,58324,81113,135850,292376,269197,159475,100456,78545,116800
1932,58575,64194,55384,58736,58839,171601,260603,487061,478715,242490,136913,83978,179958
1933,67909,97122,90151,82402,62228,93146,169529,359619,667105,345593,168349,103528,192557
1934,98977,150225,209983,197951,139052,167415,366878,435121,330802,179010,120110,77421,206353
1935,67232,107081,84742,83255,100678,95319,153525,345467,436255,274294,142065,86412,164879
1936,62478,58808,52347,61295,50228,92539,252219,458565,373214,173517,112602,76378,152155
1937,57185,49214,50967,37598,49589,67317,122172,296331,355164,203403,111497,80062,123671
1938,64660,92091,91151,94023,78948,136301,249987,442797,505716,249520,108782,90905,184043
1939,74791,68199,63217,64210,55802,104377,205248,393968,281684,208829,122551,76756,143861
1940,72195,73914,79070,64018,85226,138389,218248,350646,298964,169323,109225,92961,146074
1941,90281,76700,77899,73314,72674,102911,166504,271059,277476,167681,110178,108551,133164
1942,118845,113393,153241,89063,96088,91085,217107,330667,401155,268714,140688,83443,175630
1943,67904,80662,94220,91486,104942,114874,390574,361584,485444,365552,153610,83579,199650
1944,73632,68971,62574,53200,57141,63436,109478,243016,291524,149440,107105,82481,113539
1945,73845,72017,55305,71161,81737,82649,114509,358677,428438,212890,107829,77502,144920
1946,65361,81579,81320,95415,73325,128848,256699,522208,471759,255648,132535,97038,189005
1947,80293,89311,140171,85996,112689,127694,216680,512676,429015,237178,124428,92278,187768
1948,130158,119832,100381,105833,93447,95861,206291,580052,784118,258245,166081,105054,228699
1949,88656,81159,68357,55664,95944,145065,251910,563703,364813,166962,115773,80172,173583
1950,70145,87694,93681,74827,107022,165289,220441,380875,670101,411684,165581,98403,212384
1951,100811,128153,143721,135682,182627,138177,288456,556535,440082,320812,151272,97343,223813
1952,119582,96300,96156,82251,102122,106151,331810,552550,416973,250333,132438,78487,197246
1953,65201,57564,57062,109495,123651,97791,146537,378448,564809,308868,147746,92279,179180
1954,83169,88239,88509,80423,107475,108787,176005,489527,515207,440189,189473,135837,209179
1955,92051,104800,87156,71387,69742,66317,128708,300013,572666,374083,150823,91202,176084
1956,94764,122293,151144,132256,89420,146417,362175,640500,632247,286548,141696,95232,241379
1957,93320,83701,95171,64966,87207,142190,196330,668328,469108,188478,112698,79456,190738
1958,77119,72604,74935,78616,135924,120098,217506,560605,447800,186329,116452,84375,181132
1959,89024,106885,123544,136149,103703,110906,218711,421318,604113,336995,142816,147262,212044
1960,159502,149197,120523,79901,98969,126563,272738,339216,466016,273510,131683,91422,192375
1961,79211,91200,69875,72268,154684,135926,178750,458387,634633,189768,118809,76083,187953
1962,81560,68356,65989,72344,100103,86587,256289,364193,463496,232487,140891,81422,167823
1963,97477,108078,116513,82112,151629,108049,172805,347786,432764,237564,128150,95569,173067
1964,73203,78067,68525,64804,63997,72170,151885,360320,675092,327027,151279,101860,182241
1965,103966,89992,163393,142079,164905,136842,293280,461143,583311,278169,171653,94846,223657
1966,88773,93340,74874,83403,72460,101242,204018,349626,403490,250339,126338,83558,161297
1967,71983,77484,93227,97685,104689,96183,122947,382989,711408,326534,139158,90663,193005
1968,86156,97544,77950,89220,139135,143524,122202,316600,468429,271062,144144,119641,172835
1969,106388,116172,99764,126488,90646,121880,358917,561046,490738,233708,110291,82738,208607
1970,87035,80471,65801,114691,112104,106617,122150,370579,524249,212783,114694,78502,165858
1971,70944,77262,78138,136926,172043,139117,238777,635121,634374,311873,162883,90573,229128
1972,80133,80110,79850,105922,123048,325162,232702,552664,806713,353200,177684,96123,251232
1973,84529,75658,82685,99744,74380,96572,110425,282898,299295,177682,100601,70253,129911
1974,72054,114971,141876,223070,145811,173070,330647,467468,842986,388219,169571,94150,263727
1975,67250,72103,69824,87530,85802,119103,145775,400307,615442,355729,143238,98985,188778
1976,94670,120013,180522,136530,112731,125842,265133,573484,447152,343939,232042,143293,231789
1977,82344,73289,63887,62874,57271,59141,100310,221839,242248,119400,103898,72793,105144
1978,59243,71954,140259,95168,94737,134832,236684,387129,455000,287682,128490,126708,185150
1979,84724,74717,58857,55886,87020,127047,149507,403591,330038,181477,101275,76153,144514
1980,58974,51733,72093,82036,83438,111413,216446,510039,384998,192631,101141,87992,162931
1981,80010,90220,135750,131597,141988,122345,163902,410526,445850,292422,157949,87087,188592
1982,80856,90741,99552,89672,208805,194210,217398,475875,654901,365772,167774,115563,229835
1983,98528,89212,103620,130240,153554,256502,245546,431976,494264,306183,159691,95087,214005
1984,74381,131159,99012,145344,128563,201215,280112,361029,584057,315146,153424,98871,214181
1985,83636,100009,84233,81279,78826,100406,244854,417780,373491,168855,97715,96751,160853
1986,94786,111715,67976,81220,170034,278102,269168,362070,488373,206626,115995,84171,193901
1987,80515,95812,82018,72115,82661,145019,184188,381401,259684,152794,96452,67856,142083
1988,49235,54077,62055,57651,62010,82544,208269,317897,324460,166861,97001,61064,128593
1989,73660,89001,68106,72306,66706,139385,268222,389348,389847,183748,125369,84030,162768
1990,72722,118805,102118,102106,87872,110354,272617,321196,506128,283094,143624,83165,183763
1991,79049,153973,112057,105512,138571,123766,204796,433934,482745,347743,167987,87933,203383
1992,65279,74754,79526,69950,101044,122799,166902,306866,261039,151799,90514,60182,129249
1993,68196,71614,60447,61999,62797,133707,196870,471957,321455,200232,136855,85425,156587
1994,67891,59952,64231,71700,58461,97926,218496,333078,275335,170594,91538,57561,130912
1995,53143,59826,70109,91302,175384,178218,173676,381010,479736,243192,131940,87352,176835
1996,103039,160074,235733,158848,275564,190786,339005,432354,571934,333969,146116,91433,252708
1997,82175,89170,110301,191203,153362,223823,328377,684563,704617,323301,160002,120451,264682
1998,137506,121753,94240,105988,116337,148120,208860,537296,390145,223771,121197,82923,191177
1999,65070,80499,104621,136263,121705,192402,249329,411287,605066,359172,205768,93958,219138
2000,77025,144682,124436,103551,118202,145327,283351,373111,382670,251714,119629,82900,183810
2001,81056,67824,59115,59769,61207,76878,97963,282217,240447,151545,94996,57271,111210
2002,53632,82496,73776,96752,83549,101890,231370,353402,578959,297044,103064,73189,177496
2003,56777,57643,62403,80738,111969,145879,212458,315793,436175,170107,93588,63739,150464
2004,93360,79206,74794,68794,87140,124680,222730,338280,338560,181695,117603,116911,153619
2005,93957,96114,107102,113569,105344,101866,165823,345893,318486,188133,90356,64069,149456
2006,102277,88629,82341,151789,105986,126227,293874,552547,472677,191957,89810,63438,193785
2007,56562,130978,93362,92617,97273,200408,212955,379011,382047,224721,89262,60150,168553
2008,76197,79533,82681,70041,74386,99230,114431,501429,522940,263161,125044,79078,174284
2009,74165,105384,76254,114700,79554,116704,212171,369904,434795,192076,113296,75343,163913
