year,month,pdo,nino34,pna,amo
1948,1,-0.11,,,-0.021
1948,2,-0.74,,,-0.034
1948,3,-0.03,,,0.022
1948,4,-1.33,,,-0.076
1948,5,-0.23,,,-0.01
1948,6,0.08,,,0.049
1948,7,-0.92,,,-0.046
1948,8,-1.56,,,-0.029
1948,9,-1.74,,,-0.059
1948,10,-1.32,,,0.001
1948,11,-0.89,,,0.128
1948,12,-1.7,,,0.056
1949,1,-2.01,,,0.147
1949,2,-3.6,,,0.154
1949,3,-1.0,,,0.032
1949,4,-0.53,,,0.092
1949,5,-1.07,,,-0.03
1949,6,-0.7,,,-0.005
1949,7,-0.56,,,0.065
1949,8,-1.3,,,0.096
1949,9,-0.93,,,0.064
1949,10,-1.41,,,0.098
1949,11,-0.83,,,0.102
1949,12,-0.8,,,0.112
1950,1,-2.13,-1.99,-3.65,0.105
1950,2,-2.91,-1.69,-1.69,-0.04
1950,3,-1.13,-1.42,-0.06,-0.112
1950,4,-1.2,-1.54,-0.23,-0.137
1950,5,-2.23,-1.75,-0.4,-0.065
1950,6,-1.77,-1.27,-1.99,-0.049
1950,7,-2.93,-1.01,-0.82,-0.062
1950,8,-0.7,-0.97,0.79,0.014
1950,9,-2.14,-0.98,-1.0,0.003
1950,10,-1.36,-1.03,0.7,-0.097
1950,11,-2.46,-1.23,-1.74,0.073
1950,12,-0.76,-1.31,-0.28,0.082
1951,1,-1.54,-1.3,-1.18,0.096
1951,2,-1.06,-1.04,-2.11,-0.008
1951,3,-1.9,-0.38,-1.09,0.006
1951,4,-0.36,-0.23,0.47,0.162
1951,5,-0.25,-0.01,1.19,0.166
1951,6,-1.09,0.0,-0.54,0.283
1951,7,0.7,0.3,-0.44,0.415
1951,8,-1.37,0.17,0.02,0.297
1951,9,-0.08,0.51,-0.08,0.243
1951,10,-0.32,0.49,0.43,0.252
1951,11,-0.28,0.55,0.21,0.168
1951,12,-1.68,0.31,-1.59,0.168
1952,1,-2.01,0.13,-3.19,0.165
