water_year,model_label,model_name,endpoint_port,prompt_version,observed,pred_mlr,pred_xgb,prediction_kcfs_days,parse_ok,parse_error
2013,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,45780.8,43671.90224185053,41102.19921875,35000.0,True,
2014,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,48726.0,47019.58536425538,45512.875,45000.0,True,
2015,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,31185.1,35654.29212248327,43329.171875,35000.0,True,
2016,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,41470.7,46548.38585034403,45824.9921875,45000.0,True,
2017,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,57104.3,57556.880296067415,57363.765625,45000.0,True,
2018,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,52976.8,46320.73981313551,47529.94921875,45000.0,True,
2013,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,v2_few_shot,45780.8,43671.90224185053,41102.19921875,38200.0,True,
2014,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,v2_few_shot,48726.0,47019.58536425538,45512.875,40000.0,True,
2015,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,v2_few_shot,31185.1,35654.29212248327,43329.171875,30000.0,True,
2016,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,v2_few_shot,41470.7,46548.38585034403,45824.9921875,38000.0,True,
2017,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,v2_few_shot,57104.3,57556.880296067415,57363.765625,40000.0,True,
2018,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,v2_few_shot,52976.8,46320.73981313551,47529.94921875,38200.0,True,
2013,gemma-3-12b-it,gemma-3-12b-it,8002,v2_few_shot,45780.8,43671.90224185053,41102.19921875,38500.0,True,
2014,gemma-3-12b-it,gemma-3-12b-it,8002,v2_few_shot,48726.0,47019.58536425538,45512.875,42500.0,True,
2015,gemma-3-12b-it,gemma-3-12b-it,8002,v2_few_shot,31185.1,35654.29212248327,43329.171875,38523.0,True,
2016,gemma-3-12b-it,gemma-3-12b-it,8002,v2_few_shot,41470.7,46548.38585034403,45824.9921875,42350.0,True,
2017,gemma-3-12b-it,gemma-3-12b-it,8002,v2_few_shot,57104.3,57556.880296067415,57363.765625,52345.0,True,
2018,gemma-3-12b-it,gemma-3-12b-it,8002,v2_few_shot,52976.8,46320.73981313551,47529.94921875,42500.0,True,
