Model,Horizon,MSE,R2
Multi-RF,15,0.006292479049150959,0.6774764814255079
Multi-RF,60,0.006251818347227669,0.6798731576658623
Multi-RF,240,0.0076807456273759005,0.6047922214734666
Multi-RF,1440,0.03497772311727707,0.07473351560647634
Multi-XGB,15,0.007034901601708846,0.6394233179505601
Multi-XGB,60,0.006357006052190534,0.6744869794418791
Multi-XGB,240,0.006233439909615598,0.6792623973280231
Multi-XGB,1440,0.03333007819549066,0.11831870321856341
MLP,15,0.007896193238917206,0.5952774722224432
MLP,60,0.01174421752114752,0.39863267582024375
MLP,240,0.015399323099142269,0.20763782996110158
MLP,1440,0.09920072927913938,-1.6241590889615454
LSTM,15,0.007461322579372196,0.6175669409907487
LSTM,60,0.005816091032252423,0.702184747944811
LSTM,240,0.006089301595138539,0.6866789406987608
LSTM,1440,0.04597506061265168,-0.21617929675460656
Transformer,15,0.0056725310869244466,0.7092521610183322
Transformer,60,0.005584071572908192,0.7140653965424913
Transformer,240,0.006189094434064495,0.6815441649753968
Transformer,1440,0.05168391510066977,-0.3671957509798265
Persistent,15,0.007548405278856929,0.6131034825627749
Persistent,60,0.007645442075313436,0.6085121009787529
Persistent,240,0.007630507279841638,0.6073772030220148
Persistent,1440,0.03520355696483288,0.06875952783476214
