model_label,model_name,endpoint_port,version,parse_success_rate,mse_15,mse_60,mse_240,mse_1440,avg_confidence,rows,mse_overall
gemma-3-12b-it,gemma-3-12b-it,8002,verbose_10,1.0,5.203631866251237e-05,0.0001060254929481198,7.092105508222456e-05,0.00018789863683400988,1.0,5,0.00010422037588171665
gemma-3-12b-it,gemma-3-12b-it,8002,compact_10,1.0,6.626545051604311e-05,2.290451304810874e-05,0.00023506237741553277,0.000388438690411772,1.0,5,0.00017816775784786415
gemma-3-12b-it,gemma-3-12b-it,8002,compact_20,1.0,5.291143819282397e-05,0.00021365354304810747,0.00016706388297110992,0.0006147471626339872,1.0,5,0.00026209400671150715
gemma-3-12b-it,gemma-3-12b-it,8002,compact_5,1.0,7.744581728370752e-05,8.047383415922119e-05,0.0001192802740822295,0.0009163296115228664,1.0,5,0.00029838238426200614
gemma-3-12b-it,gemma-3-12b-it,8002,verbose_5,1.0,6.176384518473619e-05,7.359828875922173e-05,0.00010465955404885903,0.0010920593293784486,1.0,5,0.0003330202543428164
gemma-3-12b-it,gemma-3-12b-it,8002,verbose_1,1.0,0.0007485842643332842,0.003750296016170422,0.010608224348349116,0.10605288128631182,0.97,5,0.030289996478791163
gemma-3-12b-it,gemma-3-12b-it,8002,compact_zeroshot,1.0,0.004448590598798997,0.022176057985270507,0.04983583826074909,0.1061743223115228,0.85,5,0.04565870228908535
gemma-3-12b-it,gemma-3-12b-it,8002,compact_1,1.0,0.011445659090415283,0.04430028853304837,0.1333314613374157,0.9099884783370781,0.95,5,0.2747664718244894
gemma-3-12b-it,gemma-3-12b-it,8002,verbose_zeroshot,1.0,32.95658590409928,32.96587022247032,33.502881844581836,34.178272415888344,0.85,5,33.40090259675995
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,verbose_1,1.0,2.1634889882721608e-05,7.157505551478506e-05,4.805656600445149e-05,0.00042945563482289144,0.978,5,0.0001426805365562124
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,compact_1,1.0,0.00016390471698071707,5.091856749256378e-05,0.00022566077741552928,0.00029213159930066655,1.0,5,0.00018315391529736917
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,verbose_zeroshot,1.0,0.00014445971698674048,0.00016892171941479802,0.00011893011912668564,0.0006629641223228949,0.974,5,0.0002738189194627798
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,compact_5,1.0,0.00016390471698071707,7.957587082585868e-05,0.0001864642074155251,0.0007630633148562307,1.0,5,0.0002982520275195829
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,compact_zeroshot,1.0,0.00024607836253626836,0.00034362653082591,0.00022566077741552928,0.000388438690411772,0.978,5,0.0003009510902973699
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,verbose_5,1.0,0.00012100145243017265,4.41103865592046e-05,0.00031851749583777057,0.001115563369511783,1.0,5,0.00039979817608473266
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,compact_10,1.0,0.0003080948872836903,0.00016876950749254664,0.0003810738018599858,0.0010022166393006669,1.0,5,0.0004650387089842224
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,verbose_10,1.0,0.0001871034750503638,0.00012066314081477601,0.00031793107201553533,0.0013005319243562148,1.0,5,0.00048155740305922247
phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,compact_20,0.4,4.107569677323547e-05,3.624636625338513e-05,4.752335788374118e-06,0.00015437799923663143,1.0,5,5.9113099512906536e-05
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,compact_20,1.0,0.00016390471698071707,5.091856749256378e-05,8.311564074886662e-05,0.0003463034237451096,1.0,5,0.00016106058724181426
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,verbose_1,1.0,0.00014445971698674048,5.674510407033788e-05,0.00011837505400446465,0.000552774194767345,1.0,5,0.000218088517457222
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,compact_10,1.0,0.0003204553203140348,0.00015477060415924746,0.00016363694408221398,0.0002815801626339886,1.0,5,0.0002301107577973712
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,verbose_10,1.0,0.00021763749712006838,0.00012979206954809913,0.00070688907179331,0.0005257324390006669,1.0,5,0.0003950127693655361
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,verbose_5,1.0,0.00016881610326451574,5.8892953014759005e-05,0.000440421221748884,0.001627740220567335,1.0,5,0.0005739676246488734
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,compact_5,1.0,0.00015738378031405803,6.930708304808792e-05,0.00028631227408220815,0.0019874209181895714,1.0,5,0.0006251060139084814
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,compact_1,1.0,18.13162944279859,18.094383276176377,18.197849784395192,18.217401111541523,1.0,5,18.16031590372792
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,verbose_zeroshot,0.8,0.00016739982230998442,6.434496328613661e-05,5.958465250700565e-05,0.0004651260580387935,0.95,5,0.00018911387403548004
phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,compact_zeroshot,0.8,3.8900099605344456e+16,1172789079.795006,3.410640743812973,36.30431082376818,0.95,5,9725025194533394.0
