Test_Idx,Baseline,Actual_+15m,Multi-RF_+15m,Multi-XGB_+15m,MLP_+15m,LSTM_+15m,Transformer_+15m,Persistent_+15m,Actual_+60m,Multi-RF_+60m,Multi-XGB_+60m,MLP_+60m,LSTM_+60m,Transformer_+60m,Persistent_+60m,Actual_+240m,Multi-RF_+240m,Multi-XGB_+240m,MLP_+240m,LSTM_+240m,Transformer_+240m,Persistent_+240m,Actual_+1440m,Multi-RF_+1440m,Multi-XGB_+1440m,MLP_+1440m,LSTM_+1440m,Transformer_+1440m,Persistent_+1440m
71606,5.607456603055553,5.595543411388888,5.606949572138876,5.607629319693743,5.607974414681749,5.610460536522524,5.609806829100208,5.607456603055553,5.5706076697222215,5.607444072385038,5.609814444990562,5.609399623438449,5.621955537205295,5.607420318728046,5.607456603055553,5.606483828055552,5.604288848143586,5.6152010685444935,5.6097504652251615,5.618196180989699,5.60952427328165,5.607456603055553,5.576771478055555,5.636592816208311,5.640598722701625,5.638726335918264,5.614443295603351,5.645893079196767,5.607456603055553
71607,5.598087203055556,5.576045694722222,5.597580172138879,5.598259919693746,5.598605014681752,5.601034931205149,5.6004375632106616,5.598087203055556,5.591359211388884,5.5980746723850405,5.600445044990565,5.600030223438452,5.612002058252628,5.5980712588130785,5.598087203055556,5.572343653055555,5.594919448143589,5.605831668544496,5.600381065225164,5.608789333440299,5.600310948043997,5.598087203055556,5.554104319722221,5.627223416208314,5.631229322701628,5.629356935918267,5.600783061534102,5.636366091966565,5.598087203055556
71608,5.568758944722223,5.60448081972222,5.568251913805546,5.568931661360413,5.569276756348419,5.571856226513493,5.5711100275836465,5.568758944722223,5.603992303055556,5.568746414051708,5.571116786657232,5.570701965105119,5.58322105624001,5.568759540768671,5.568758944722223,5.60014124472222,5.565591189810256,5.576039770825165,5.5710528068918315,5.583470792251038,5.571074227543878,5.568758944722223,5.56920799472222,5.597895157874981,5.614532231094646,5.600028677584934,5.577137226911592,5.607046260239887,5.568758944722223
71609,5.6051223530555525,5.582582461388888,5.6046153221388755,5.605295069693742,5.605640164681748,5.607470987469927,5.607470589795188,5.6051223530555525,5.570827328055557,5.605109822385037,5.607480194990561,5.607065373438449,5.617687550478653,5.605129639723376,5.6051223530555525,5.60752568638889,5.601954598143585,5.612866818544493,5.607416215225161,5.619697383710221,5.607572670199946,5.6051223530555525,5.580339169722219,5.6342585662083104,5.638264472701625,5.6363920859182635,5.608465473272876,5.642968176969365,5.6051223530555525
71610,5.582435361388889,5.586700136388885,5.581928330472212,5.582608078027079,5.582953173015085,5.585214770678249,5.58478654110786,5.582435361388889,5.602448469722219,5.582422830718373,5.584793203323898,5.584378381771785,5.596513499785033,5.582413084152904,5.582435361388889,5.563108869722221,5.579267606476922,5.590179826877829,5.584729223558497,5.597019451018241,5.5845937796866565,5.582435361388889,5.552715086388886,5.611571574541647,5.628208647761312,5.6137050942516,5.59319142186996,5.620764392707315,5.582435361388889
71611,5.5805897447222215,5.606140836388885,5.580082713805544,5.580762461360411,5.581107556348417,5.583273384248589,5.5829405221098405,5.5805897447222215,5.60235079472222,5.580577214051706,5.58294758665723,5.5825327651051175,5.59384752204058,5.580591950094078,5.5805897447222215,5.601334453055557,5.577421989810254,5.588334210211162,5.58288360689183,5.596276854624723,5.582949656521652,5.5805897447222215,5.57422814472222,5.609725957874979,5.626363031094645,5.611859477584932,5.589016306673859,5.618655107443903,5.5805897447222215
71612,5.60530484472222,5.56853159472222,5.6047978138055425,5.605477561360409,5.6058226563484155,5.6078586290106855,5.607656873807379,5.60530484472222,5.5659028363888865,5.605292314051704,5.607662686657228,5.607247865105116,5.618514890827306,5.605291821107336,5.60530484472222,5.601503003055555,5.6021370898102525,5.61304931021116,5.607598706891828,5.6198108159453355,5.607557676777311,5.60530484472222,5.577797903055554,5.6344410578749775,5.639305856123634,5.6365745775849305,5.613150142178007,5.643432933881947,5.60530484472222
71613,5.570924294722225,5.5984180697222214,5.570417263805548,5.571097011360415,5.571442106348421,5.57473162708893,5.573278611135628,5.570924294722225,5.60560318638889,5.57091176405171,5.573282136657234,5.572867315105121,5.586506986600305,5.570890215766575,5.570924294722225,5.567817844722221,5.567756539810258,5.5786687602111655,5.5732181568918335,5.585979614947881,5.572930512559559,5.570924294722225,5.553511028055553,5.600060507874983,5.616697581094648,5.602194027584936,5.585752887261059,5.609581427258398,5.570924294722225
71614,5.5937866863888885,5.603963911388888,5.5932796554722115,5.593959403027078,5.5943044980150844,5.59818732059572,5.596141248671451,5.5937866863888885,5.593244186388887,5.593774155718373,5.596144528323897,5.595729706771785,5.609760302780309,5.593750029532352,5.5937866863888885,5.607606994722222,5.5906189314769215,5.601531151877829,5.596080548558497,5.607646001232901,5.595783278076091,5.5937866863888885,5.5823177863888915,5.6229228995416465,5.626928806034961,5.6250564192515995,5.604495927421489,5.6324362565857555,5.5937866863888885
71615,5.6051937280555535,5.567515561388888,5.6046866971388765,5.605366444693743,5.605711539681749,5.609175407733517,5.607548357393341,5.6051937280555535,5.568184994722223,5.605181197385038,5.607551569990562,5.60713674843845,5.62025245226522,5.60517596587141,5.6051937280555535,5.588243086388886,5.602025973143586,5.612938193544494,5.607487590225162,5.619194969940679,5.607354903068142,5.6051937280555535,5.57643521138889,5.634329941208311,5.639194739456968,5.6364634609182644,5.6107900528569985,5.6436310237606335,5.6051937280555535
