iteration,model,monitoring_location_id,flow_rate,rolling_21,true_label,arima_test_rmse,prompt,llm_prediction,llm_confidence,parse_ok,parse_error
1,phi-mini-moe-instruct,USGS-12502500,38.1,43.44285714285714,Low,83.27659503307245,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 38.1 cfs
21-day rolling average: 43.44 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.95,True,
1,phi-mini-moe-instruct,USGS-13348000,5.78,11.08952380952381,Low,136.48781261754797,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 5.78 cfs
21-day rolling average: 11.09 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.99,True,
1,phi-mini-moe-instruct,USGS-14015000,16.8,16.65714285714286,Low,169.295782003557,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 16.8 cfs
21-day rolling average: 16.66 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.95,True,
1,phi-mini-moe-instruct,USGS-12431500,390.0,389.0952380952381,Low,266.07643168612685,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 390.0 cfs
21-day rolling average: 389.10 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Medium,0.95,True,
1,phi-mini-moe-instruct,USGS-12431500,548.0,478.3333333333333,Low,266.07643168612685,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 548.0 cfs
21-day rolling average: 478.33 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Medium,0.95,True,
1,phi-mini-moe-instruct,USGS-12431500,544.0,532.952380952381,Low,266.07643168612685,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 544.0 cfs
21-day rolling average: 532.95 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Medium,0.95,True,
1,phi-mini-moe-instruct,USGS-12505450,19.7,23.357142857142858,Low,28.497420484692174,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 19.7 cfs
21-day rolling average: 23.36 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.95,True,
1,phi-mini-moe-instruct,USGS-12456500,818.0,1197.3333333333333,Low,429.0969748447744,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 818.0 cfs
21-day rolling average: 1197.33 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.91,True,
1,phi-mini-moe-instruct,USGS-12448000,83.6,79.46666666666667,Low,424.7138682386691,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 83.6 cfs
21-day rolling average: 79.47 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.95,True,
1,phi-mini-moe-instruct,USGS-12472600,165.0,159.85714285714286,Low,56.52799863011091,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 165.0 cfs
21-day rolling average: 159.86 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.95,True,
1,phi-mini-moe-instruct,USGS-12508990,5630.0,1916.190476190476,Medium,3228.228865323477,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 5630.0 cfs
21-day rolling average: 1916.19 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",High,0.95,True,
1,phi-mini-moe-instruct,USGS-13344500,371.0,210.82857142857145,Low,183.7302587220333,"Classify this river flow reading into exactly one of the allowed labels.
Allowed labels: [""High"", ""Medium"", ""Low""]

Example input:
Flow rate: 1200.0 cfs
21-day rolling average: 1100.00 cfs
Example output:
{""prediction"": ""Low"", ""confidence"": 0.91}

Now classify this reading:
Flow rate: 371.0 cfs
21-day rolling average: 210.83 cfs
Return ONLY JSON: {""prediction"": ""<label>"", ""confidence"": <0_to_1_float>}
No extra text.",Low,0.95,True,
