model,monitoring_location_id,flow_rate,rolling_21,true_label,arima_test_rmse,llm_prediction,llm_confidence,parse_ok,parse_error
phi-3.5-mini-instruct,USGS-13351000,105.0,179.71428571428572,Low,936.9136059387152,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12452500,2160.0,2151.904761904762,Low,1009.0855554321142,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-13334300,25600.0,21676.19047619048,High,18631.86432537051,High,0.9,True,
phi-3.5-mini-instruct,USGS-14015000,0.09,3.939523809523809,Low,169.295782003557,Low,0.98,True,
phi-3.5-mini-instruct,USGS-12465000,1.27,0.946666666666668,Low,53.21281910789904,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12488500,726.0,599.4761904761905,Low,279.3940058356053,High,0.85,True,
phi-3.5-mini-instruct,USGS-12451000,410.0,483.3333333333333,Low,1255.535243930351,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12456500,102.0,121.47619047619048,Low,429.0969748447744,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12457000,655.0,604.2380952380952,Low,2623.5994617046144,High,0.9,True,
phi-3.5-mini-instruct,USGS-14107000,169.0,99.10952380952382,Low,309.4773905537867,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12431500,413.0,455.4285714285714,Low,266.07643168612685,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-13348000,124.0,77.15714285714286,Low,136.48781261754797,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12502500,104.0,74.73333333333333,Low,83.27659503307245,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-14013000,76.6,100.09523809523814,Low,139.96007401129722,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13351000,5750.0,3194.285714285714,Medium,936.9136059387152,High,0.9,True,
phi-3.5-mini-instruct,USGS-12456500,190.0,227.9047619047619,Low,429.0969748447744,Low,0.85,True,
phi-3.5-mini-instruct,USGS-13344500,235.0,308.8095238095238,Low,183.7302587220333,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12442500,241.0,272.1904761904762,Low,1966.7599058711344,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12447383,11.0,19.857142857142858,Low,673.2079271093021,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12447200,994.0,1024.190476190476,Low,2142.1682734627743,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12488500,56.0,53.61904761904762,Low,279.3940058356053,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12508990,2570.0,2355.2380952380954,Low,3228.228865323477,High,0.9,True,
phi-3.5-mini-instruct,USGS-12472800,175000.0,169142.85714285713,High,31822.81984033152,High,0.9,True,
phi-3.5-mini-instruct,USGS-12447200,2120.0,2091.428571428572,Low,2142.1682734627743,High,0.9,True,
phi-3.5-mini-instruct,USGS-12465400,2.25,4.841428571428572,Low,28.439489028704404,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14107000,875.0,618.2380952380952,Low,309.4773905537867,High,0.9,True,
phi-3.5-mini-instruct,USGS-12488500,623.0,734.0952380952381,Low,279.3940058356053,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14013700,47.8,48.30476190476191,Low,173.22209602109686,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12448000,85.0,98.73809523809524,Low,424.7138682386691,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13335050,40.6,43.46666666666666,Low,87.55100282214526,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12447390,30.2,54.25238095238095,Low,37.20775723529282,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12447200,887.0,867.5714285714286,Low,2142.1682734627743,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-14107000,500.0,511.3809523809524,Low,309.4773905537867,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12472800,121000.0,91647.61904761904,High,31822.81984033152,High,0.9,True,
phi-3.5-mini-instruct,USGS-12448500,229.0,229.28571428571428,Low,1154.4545536589758,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-13344500,90.8,125.7809523809524,Low,183.7302587220333,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12449950,363.0,358.1428571428572,Low,1670.1993533228897,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12447390,18.5,9.60142857142857,Low,37.20775723529282,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12439500,1110.0,994.190476190476,Low,253.09296883655048,High,0.85,True,
phi-3.5-mini-instruct,USGS-12488500,157.0,152.14285714285714,Low,279.3940058356053,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12472800,124000.0,124095.23809523808,High,31822.81984033152,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12488500,94.0,168.71428571428572,Low,279.3940058356053,Low,0.85,True,
phi-3.5-mini-instruct,USGS-13348000,6.5,6.595238095238095,Low,136.48781261754797,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-12462500,10500.0,10304.761904761905,High,3884.520412338176,High,0.95,True,
phi-3.5-mini-instruct,USGS-12439500,289.0,241.47619047619048,Low,253.09296883655048,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-13335050,122.0,94.77619047619048,Low,87.55100282214526,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-14113000,7550.0,3485.714285714286,Medium,1233.3436263976494,High,0.9,True,
phi-3.5-mini-instruct,USGS-12508990,2220.0,2522.8571428571427,Low,3228.228865323477,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12431500,539.0,602.4761904761905,Low,266.07643168612685,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12510500,6270.0,5270.0,Medium,3492.406807749207,High,0.9,True,
phi-3.5-mini-instruct,USGS-12452800,174.0,244.3809523809524,Low,377.8042179976496,Low,0.85,True,
phi-3.5-mini-instruct,USGS-13334300,30300.0,24419.04761904762,High,18631.86432537051,High,0.9,True,
phi-3.5-mini-instruct,USGS-12500450,4000.0,2493.333333333333,Medium,2543.163189720396,High,0.9,True,
phi-3.5-mini-instruct,USGS-12424000,149.0,227.47619047619048,Low,486.192387119909,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12459000,732.0,1087.3333333333333,Low,3552.3653423727915,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14113000,1790.0,2006.190476190476,Low,1233.3436263976494,High,0.95,True,
phi-3.5-mini-instruct,USGS-14013700,511.0,191.1761904761905,Low,173.22209602109686,High,0.9,True,
phi-3.5-mini-instruct,USGS-12465000,4.0,3.447619047619048,Low,53.21281910789904,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-14111400,745.0,722.0,Low,753.8943709183061,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-13335050,24.5,25.047619047619047,Low,87.55100282214526,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12452890,518.0,588.6190476190476,Low,81.48119864454674,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12464800,0.36,0.3195238095238095,Low,10.235605106276356,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12422500,3000.0,2500.0,Low,6063.167585115459,High,0.9,True,
phi-3.5-mini-instruct,USGS-12449500,2590.0,1989.5238095238096,Low,1502.8300317743503,High,0.9,True,
phi-3.5-mini-instruct,USGS-12510500,7000.0,9418.09523809524,Medium,3492.406807749207,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12484500,2110.0,1776.428571428571,Low,2404.9955726944195,High,0.85,True,
phi-3.5-mini-instruct,USGS-12488500,173.0,310.1428571428572,Low,279.3940058356053,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12462500,9520.0,5863.333333333333,Medium,3884.520412338176,High,0.9,True,
phi-3.5-mini-instruct,USGS-12472600,162.0,159.95238095238096,Low,56.52799863011091,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12447383,201.0,140.66666666666666,Low,673.2079271093021,High,0.85,True,
phi-3.5-mini-instruct,USGS-12424000,84.8,56.95714285714286,Low,486.192387119909,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-13351000,73.0,106.42857142857144,Low,936.9136059387152,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12452890,73.3,59.84761904761905,Low,81.48119864454674,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-14107000,224.0,207.47619047619048,Low,309.4773905537867,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12508990,7750.0,3445.714285714286,Medium,3228.228865323477,High,0.9,True,
phi-3.5-mini-instruct,USGS-12510500,2170.0,1489.2857142857142,Low,3492.406807749207,High,0.9,True,
phi-3.5-mini-instruct,USGS-12488500,103.0,206.33333333333337,Low,279.3940058356053,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12465000,36.3,56.0047619047619,Low,53.21281910789904,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12447383,442.0,267.4761904761905,Low,673.2079271093021,High,0.9,True,
phi-3.5-mini-instruct,USGS-13348000,146.0,236.71904761904764,Low,136.48781261754797,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14107000,117.0,142.71428571428572,Low,309.4773905537867,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12431500,740.0,775.2380952380952,Low,266.07643168612685,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12448000,93.7,110.745,Low,424.7138682386691,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12452500,2510.0,2500.9523809523807,Low,1009.0855554321142,High,0.98,True,
phi-3.5-mini-instruct,USGS-14107000,90.7,91.94761904761904,Low,309.4773905537867,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-13344500,73.6,56.35238095238096,Low,183.7302587220333,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12447390,34.2,52.61428571428571,Low,37.20775723529282,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12508990,685.0,721.1904761904761,Low,3228.228865323477,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12465400,1.61,2.431904761904773,Low,28.439489028704404,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12422500,10100.0,5423.333333333333,High,6063.167585115459,High,0.9,True,
phi-3.5-mini-instruct,USGS-12449500,3690.0,1567.3333333333333,Medium,1502.8300317743503,High,0.95,True,
phi-3.5-mini-instruct,USGS-12445000,2290.0,2732.3809523809523,Low,2161.6195853191502,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12452500,1700.0,3553.809523809524,Low,1009.0855554321142,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12452500,2490.0,2541.904761904762,Low,1009.0855554321142,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12510500,2510.0,3046.6666666666665,Low,3492.406807749207,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14018500,949.0,1437.428571428571,Low,918.4129278545872,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12508990,12000.0,11092.857142857143,High,3228.228865323477,High,0.9,True,
phi-3.5-mini-instruct,USGS-12456500,122.0,146.9047619047619,Low,429.0969748447744,Low,0.65,True,
phi-3.5-mini-instruct,USGS-14107000,134.0,123.04761904761904,Low,309.4773905537867,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12448998,1340.0,1107.6190476190477,Low,309.39979389679627,High,0.85,True,
phi-3.5-mini-instruct,USGS-12456500,219.0,328.0,Low,429.0969748447744,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12431500,514.0,594.8095238095239,Low,266.07643168612685,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12422500,5640.0,5925.238095238095,Medium,6063.167585115459,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12452890,142.0,72.37142857142857,Low,81.48119864454674,High,0.9,True,
phi-3.5-mini-instruct,USGS-12464800,0.19,0.1523809523809523,Low,10.235605106276356,Low,0.9,True,
phi-3.5-mini-instruct,USGS-14018500,58.8,122.8,Low,918.4129278545872,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12462500,1080.0,866.3809523809524,Low,3884.520412338176,High,0.9,True,
phi-3.5-mini-instruct,USGS-14111400,816.0,754.1428571428571,Low,753.8943709183061,High,0.85,True,
phi-3.5-mini-instruct,USGS-12448000,277.0,480.2857142857143,Low,424.7138682386691,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12464800,0.35,0.3638095238095238,Low,10.235605106276356,Low,0.98,True,
phi-3.5-mini-instruct,USGS-12472600,160.0,175.76190476190476,Low,56.52799863011091,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-14013700,171.0,346.1428571428572,Low,173.22209602109686,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12508990,2720.0,2825.714285714286,Low,3228.228865323477,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12472800,183000.0,180952.38095238092,High,31822.81984033152,High,0.95,True,
phi-3.5-mini-instruct,USGS-12452890,14.7,14.980952380952385,Low,81.48119864454674,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-14013700,23.5,29.504761904761907,Low,173.22209602109686,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12465000,111.0,76.55238095238094,Low,53.21281910789904,High,0.85,True,
phi-3.5-mini-instruct,USGS-12452890,194.0,450.0952380952381,Low,81.48119864454674,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12457000,1970.0,1380.4761904761904,Low,2623.5994617046144,High,0.9,True,
phi-3.5-mini-instruct,USGS-12456500,972.0,1799.5238095238096,Low,429.0969748447744,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-13351000,164.0,99.76190476190476,Low,936.9136059387152,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12452800,88.0,110.0952380952381,Low,377.8042179976496,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12442500,402.0,386.3333333333333,Low,1966.7599058711344,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12502500,40.1,37.40952380952381,Low,83.27659503307245,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12488500,50.1,59.93809523809523,Low,279.3940058356053,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13335050,99.4,92.83809523809524,Low,87.55100282214526,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12467000,14.0,19.63809523809524,Low,46.87120300321422,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12467000,69.3,61.19047619047619,Low,46.87120300321422,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12431500,468.0,434.95238095238096,Low,266.07643168612685,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-14113000,740.0,772.4761904761905,Low,1233.3436263976494,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12508990,4890.0,2843.333333333333,Medium,3228.228865323477,High,0.9,True,
phi-3.5-mini-instruct,USGS-12431000,171.0,159.61904761904762,Low,230.0085108294793,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12488500,185.0,183.23809523809524,Low,279.3940058356053,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-12458000,240.0,249.42857142857144,Low,778.0209698128198,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12442500,413.0,560.8095238095239,Low,1966.7599058711344,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12448500,855.0,595.7142857142857,Low,1154.4545536589758,High,0.9,True,
phi-3.5-mini-instruct,USGS-12467000,26.1,30.947619047619053,Low,46.87120300321422,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12510500,6150.0,3798.095238095238,Medium,3492.406807749207,High,0.9,True,
phi-3.5-mini-instruct,USGS-12508990,2090.0,1145.0,Low,3228.228865323477,High,0.9,True,
phi-3.5-mini-instruct,USGS-12459000,494.0,531.3333333333334,Low,3552.3653423727915,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12422500,12300.0,10105.238095238095,High,6063.167585115459,High,0.9,True,
phi-3.5-mini-instruct,USGS-12447390,6.6,7.104285714285714,Low,37.20775723529282,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-13348000,8.0,8.27142857142857,Low,136.48781261754797,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12458000,197.0,239.66666666666663,Low,778.0209698128198,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12439500,412.0,442.7142857142857,Low,253.09296883655048,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12422500,9660.0,14142.857142857143,Medium,6063.167585115459,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-14113000,1000.0,873.4761904761905,Low,1233.3436263976494,High,0.9,True,
phi-3.5-mini-instruct,USGS-12447383,102.0,61.71428571428572,Low,673.2079271093021,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12447200,1550.0,947.1428571428572,Low,2142.1682734627743,High,0.9,True,
