start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage
1980-06-24,1980-06-29,1980-06-27,315.248563829787,6,NERC,76.0638297872341
1980-06-27,1980-06-29,1980-06-28,309.355227272727,3,NERC,54.5454545454545
1980-07-01,1980-07-03,1980-07-02,314.100319148936,3,NERC,62.2340425531915
1980-07-08,1980-07-11,1980-07-08,308.424917355372,4,NERC,82.6446280991736
1980-07-08,1980-07-12,1980-07-12,310.519798657718,5,NERC,83.2214765100671
1980-07-09,1980-07-19,1980-07-17,313.12015625,11,NERC,85.9375
1980-07-10,1980-07-16,1980-07-13,311.097479338843,7,NERC,93.801652892562
1980-07-10,1980-07-11,1980-07-11,308.639767932489,2,NERC,52.9535864978903
1980-07-11,1980-07-15,1980-07-14,308.854561403509,5,NERC,91.2280701754386
1980-07-13,1980-07-17,1980-07-16,311.813580246914,5,NERC,96.2962962962963
1980-07-14,1980-07-15,1980-07-14,307.19776371308,2,NERC,57.5949367088608
1980-07-15,1980-07-16,1980-07-15,311.70610738255,2,NERC,83.2214765100671
1980-07-15,1980-07-17,1980-07-16,310.038429752066,3,NERC,87.603305785124
1980-07-16,1980-07-18,1980-07-18,308.923863636364,3,NERC,45.4545454545455
1980-07-16,1980-07-17,1980-07-16,305.998511904762,2,NERC,53.5714285714286
1980-07-17,1980-07-18,1980-07-17,313.414414893617,2,NERC,47.8723404255319
1980-07-20,1980-07-21,1980-07-20,305.601746031746,2,NERC,65.6746031746032
1980-07-25,1980-07-29,1980-07-25,309.197407407407,5,NERC,64.8148148148148
1980-07-31,1980-08-01,1980-07-31,308.810330578512,2,NERC,45.8677685950413
1980-08-01,1980-08-03,1980-08-01,309.652532188841,3,NERC,69.5278969957082
1980-08-08,1980-08-09,1980-08-08,307.596223175966,2,NERC,59.656652360515
1980-08-08,1980-08-10,1980-08-08,309.709597315436,3,NERC,67.7852348993289
1980-08-08,1980-08-10,1980-08-08,308.136198347107,3,NERC,66.9421487603306
1981-06-15,1981-06-16,1981-06-16,308.116909871245,2,NERC,71.2446351931331
1981-06-16,1981-06-17,1981-06-16,309.472456140351,2,NERC,56.140350877193
1981-06-21,1981-06-22,1981-06-22,310.071818181818,2,NERC,54.5454545454545
1981-06-22,1981-06-23,1981-06-22,309.045537190083,2,NERC,41.7355371900826
1981-07-08,1981-07-10,1981-07-08,309.086570247934,3,NERC,56.6115702479339
1981-07-09,1981-07-10,1981-07-09,308.038369098712,2,NERC,69.9570815450644
1981-07-11,1981-07-13,1981-07-12,308.636540084388,3,NERC,62.2362869198312
1981-07-13,1981-07-18,1981-07-14,308.829649122807,6,NERC,66.6666666666667
1981-07-13,1981-07-17,1981-07-14,309.752727272727,5,NERC,89.2561983471074
1981-08-07,1981-08-08,1981-08-07,309.648518518519,2,NERC,55.5555555555556
1982-07-17,1982-07-19,1982-07-17,302.472089552239,3,NERC,79.1044776119403
1982-07-17,1982-07-19,1982-07-18,302.59606557377,3,NERC,65.5737704918033
1983-07-15,1983-07-16,1983-07-15,304.421031746032,2,NERC,62.5
1983-07-16,1983-07-17,1983-07-16,308.618540772532,2,NERC,75.5364806866953
1983-07-17,1983-07-18,1983-07-17,307.795438596491,2,NERC,56.140350877193
1983-07-19,1983-07-21,1983-07-19,307.658080168776,3,NERC,73.8396624472574
1983-07-20,1983-07-23,1983-07-23,309.248926174497,4,NERC,87.248322147651
1983-07-21,1983-07-24,1983-07-23,307.870578512397,4,NERC,86.7768595041322
1983-07-21,1983-07-22,1983-07-21,307.170214592275,2,NERC,51.931330472103
1983-07-22,1983-07-25,1983-07-24,308.262520661157,4,NERC,72.7272727272727
1983-07-24,1983-07-25,1983-07-24,307.594210526316,2,NERC,50.8771929824562
1983-08-06,1983-08-08,1983-08-07,305.392533333333,3,NERC,61.3333333333333
1983-08-06,1983-08-07,1983-08-06,309.3,2,NERC,68.5185185185185
1983-08-18,1983-08-21,1983-08-20,309.88644295302,4,NERC,78.5234899328859
1983-08-19,1983-08-22,1983-08-20,309.794506437768,4,NERC,65.2360515021459
1983-08-20,1983-08-22,1983-08-20,308.299876033058,3,NERC,85.1239669421488
1983-08-20,1983-08-22,1983-08-21,309.035909090909,3,NERC,63.2231404958678
1983-08-26,1983-08-27,1983-08-26,310.020604026846,2,NERC,70.4697986577181
1984-06-08,1984-06-09,1984-06-08,303.156229508197,2,NERC,59.016393442623
