start_date,end_date,centroid_date,highest_temperature_k,duration_days,nerc_id,spatial_coverage,inter_event_recovery_interval_days,cumulative_heat_stress_index,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
1980-04-19,1980-04-22,1980-04-21,302.947588699828,4,NERC,90.7172995780591,-2.0,1211.790354799312,314.808681918287,14,,
1980-04-20,1980-04-22,1980-04-21,302.66746229431,3,NERC,24.6875,-1.0,2119.7927416822417,314.808681918287,14,,
1980-04-21,1980-04-23,1980-04-22,302.782491625602,3,NERC,30.2013422818792,9.0,3028.140216559048,314.808681918287,14,,
1980-05-02,1980-05-05,1980-05-04,300.015097967826,4,NERC,74.8945147679325,49.0,4228.200608430352,314.808681918287,14,,
1980-06-23,1980-07-04,1980-06-27,314.808681918287,12,NERC,88.8297872340426,-10.0,8005.904791449796,314.808681918287,14,,
1980-06-24,1980-06-28,1980-06-27,313.523626155527,5,NERC,60.3125,-2.0,9573.52292222743,314.808681918287,14,,
1980-06-26,1980-06-29,1980-06-28,309.454819862269,4,NERC,50.0,1.0,10811.342201676507,314.808681918287,14,,
1980-06-30,1980-07-02,1980-07-01,312.486387144234,3,NERC,47.8125,5.0,11748.801363109209,314.808681918287,14,,
1980-07-07,1980-07-19,1980-07-17,313.144590644375,13,NERC,77.1875,-12.0,15819.681041486085,314.808681918287,14,,
1980-07-07,1980-07-20,1980-07-15,311.902588810622,14,NERC,84.5637583892618,-11.0,20186.31728483479,314.808681918287,14,,
1980-07-07,1980-07-17,1980-07-16,309.962651055108,11,NERC,87.603305785124,-10.0,23595.90644644098,314.808681918287,14,,
1980-07-09,1980-07-16,1980-07-13,311.181971299496,8,NERC,91.7355371900827,-7.0,26085.362216836947,314.808681918287,14,,
1980-07-09,1980-07-18,1980-07-16,311.92839950628,10,NERC,93.8271604938272,-8.0,29204.646211899748,314.808681918287,14,,
1980-07-10,1980-07-15,1980-07-14,309.572709440498,6,NERC,61.4035087719298,-2.0,31062.082468542736,314.808681918287,14,,
1980-07-13,1980-07-15,1980-07-14,307.255693983143,3,NERC,41.9831223628692,1.0,31983.849550492163,314.808681918287,14,,
1980-07-16,1980-07-18,1980-07-17,312.965394928663,3,NERC,73.936170212766,-2.0,32922.74573527816,314.808681918287,14,,
1980-07-16,1980-07-18,1980-07-18,308.959539830648,3,NERC,50.0,7.0,33849.624354770094,314.808681918287,14,,
