date,lat,lon,tmax,tmin,tmean,HI02,HI05,FHS_c9,maxFRP_c9,BA_km2,pdsi,pdsi_category,spi90d,spei90d,air_sfc,apcp,soilm,lhtfl,shtfl,rhum_2m,uwnd,vwnd,BCOC,LAI,NDVI,FWI
2001-10-09,37.75,-112.75,12.751359,0.60995424,6.6806564,0.0,0.0,0.0,,0.0,-1.1107986,4.0,-1.4228029,-1.507604,283.497,0.15425,477.1125,-25.46975,-67.2265,56.54875,6.8835793,-0.46665764,6.692633500000001e-10,0.8975401,0.380935,40.76705
2001-02-10,36.25,-104.25,3.8533962,-14.40431,-5.275457,0.0,0.0,0.0,,0.0,3.0880039,8.0,1.69,2.0899997,268.50425,0.00025,577.3824999999999,-22.954500000000003,23.703000000000003,74.03275,5.6345673,5.5362587,2.5502439000000003e-10,,0.006221,
2001-05-04,43.25,-105.25,12.528195,1.916886,7.222541,0.0,0.0,0.0,,0.0,0.9575989,5.0,0.38999987,1.0099998,284.24,0.025,511.011,-40.482,-66.108,58.225,-2.2669373,1.8575935,3.6738923e-10,,0.036097,4.3966947
2001-04-21,38.75,-84.25,24.300402,16.246231,20.273315,0.0,0.0,0.0,,0.0,-2.7743878,3.0,-1.45,-1.9300004,290.777,0.0173333333333333,604.0333333333333,-130.07033333333334,-23.82433333333333,78.52866666666667,3.5848637,7.1370335,5.22130125e-10,,0.18977399,2.0489428
2001-09-05,39.75,-100.75,33.90737,16.976198,25.441784,0.0,0.0,0.0,,0.0,0.72840255,5.0,-0.38999704,-0.53999996,300.9165,0.0,325.6685,-25.5255,-96.62,48.8515,-0.952773,6.4547176,1.39442325e-09,0.64489996,0.28223097,68.62106
2001-09-07,41.25,-85.75,30.603994,19.132002,24.867998,0.0,0.0,0.0,,0.0,-1.6527927,4.0,0.5940037,0.41639397,295.82000000000005,1.7165,515.4385,-112.4665,2.4445,81.576,-0.011457086,5.5836277,1.7584171e-09,,0.307589,16.914228
2001-05-22,46.25,-86.75,12.360224,6.908289,9.634256,0.0,0.0,0.0,,0.0,-1.5720483,4.0,0.6212007,0.2480012,286.6575,0.903,499.002,-110.934,-69.9445,86.43299999999999,-1.1311548,7.2819514,4.3954606500000005e-10,4.151,0.2627291,0.011273016
2001-04-29,35.25,-113.25,25.243412,5.5665693,15.404991,0.0,0.0,0.0,,0.0,-0.9807936,5.0,0.099999905,0.12520173,292.00125,0.001,467.76875,-42.23975,-90.233,23.0705,1.172678,6.8298607,6.378350200000001e-10,0.5398078,0.2988,46.467884
2001-03-21,48.75,-105.75,1.532601,-6.6388764,-2.5531378,0.0,0.0,0.0,,0.0,0.90319645,5.0,-1.338805,-0.0060002804,278.489,0.0,431.167,-22.75,-36.345,44.453,2.376789,0.36642265,1.4870524e-10,0.2269143,0.131835,
2001-08-29,48.75,-112.75,25.908564,6.5341763,16.22137,0.0,0.0,0.0,,0.0,-3.6691978,2.0,-0.7316016,-0.9000001,294.6025,0.00125,345.52975000000004,-15.84725,-87.81975,45.271,1.2665176,-0.17750096,2.9537315e-09,0.3867183,0.24105299,
2001-05-26,41.25,-108.25,23.899994,6.6376224,15.268808,0.0,0.0,0.0,,0.0,-2.3431847,3.0,-1.5523888,-0.8075934,296.557,0.001,556.232,-25.717,-104.061,27.635,1.0881844,-2.0757627,5.373966299999998e-10,,0.10735899,17.490692
2001-07-08,45.75,-68.25,23.171638,14.5564375,18.864038,0.0,0.0,0.0,,0.0,-3.5152,2.0,-2.0900002,-2.0900002,289.317,0.0504999999999999,427.5205,-64.9405,-10.0465,85.91499999999999,1.5376698,4.054984,1.4389112e-09,,0.13875797,1.4374195
2001-10-02,32.25,-107.75,26.866144,12.311315,19.58873,0.0,0.0,0.0,,0.0,-1.0784123,4.0,-0.41479757,-0.15879847,296.355,0.0035,306.2265,-10.909,-73.28999999999999,46.5455,0.31967163,2.352438,8.65213015e-10,0.22415002,0.168497,40.25387
2001-05-03,44.75,-119.75,16.976429,-4.735028,6.120701,0.0,0.0,0.0,,0.0,-1.9116182,4.0,-0.53999996,-0.08319879,281.619,0.001,516.5766666666667,-70.36733333333333,-92.83633333333334,52.452,-0.98085403,-1.815225,1.68740575e-10,1.1509929,0.401896,6.5905013
2001-11-11,44.75,-92.75,13.6593485,-2.090523,5.784413,0.0,0.0,0.0,,0.0,1.0171957,6.0,-0.7640002,-0.6883985,276.0265,0.001,488.0115,-9.192,-10.9665,67.109,-0.39819908,1.2875252,1.0298725999999999e-10,0.42214543,0.327174,6.8114405
2001-09-24,31.75,-99.25,22.987429,10.994138,16.990784,0.0,0.0,0.0,,0.0,1.6676008,6.0,0.029999733,0.09999723,296.5675,0.0435,422.4685,-83.2125,-74.9975,62.357,-1.7279663,-6.6573205,6.1769008e-10,1.2162702,0.47458,29.158882
