row_index,model_label,model_name,endpoint_port,prompt_version,ground_truth,ml_lgb_prediction,ml_lgb_probability,llm_prediction,llm_confidence,parse_ok,parse_error
0,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.020860352730132,0,0.2,True,
1,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.2535256673393206,0,0.85,True,
2,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.102602350937172,0,0.85,True,
3,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.85,True,
4,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.25,True,
5,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
6,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0207654275156114,0,0.2,True,
7,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.25,True,
8,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0799409580985262,0,0.85,True,
9,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
10,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,1,0.6618055584406066,0,0.65,True,
11,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.25,True,
12,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
13,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0179755870369861,0,0.85,True,
14,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
15,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0225251116965585,0,0.85,True,
16,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
17,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
18,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0283355274077156,0,0.65,True,
19,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
20,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0178257543653875,0,0.2,True,
21,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
22,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.020226548972622,0,0.85,True,
23,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2,True,
24,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0167182672329199,0,0.2,True,
25,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.2164,True,
26,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0274011967206008,0,0.85,True,
27,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,v1,0,0,0.0159805845857227,0,0.85,True,
